ئافرىقا	Afrique
كىلىس ۋىلايىتى	Kilis (province)
تەكىرداغ ۋىلايىتى	Tekirdağ (province)
سان	Cuisse
مانىسا ۋىلايىتى	Manisa (province)
كىچىك مېڭە	Cervelet
كولوسىلىقلارغا يېزىلغان خەت	Épître aux Colossiens
ياقۇپ يازغان خەت	Épître de Jacques
يۇھاننا يازغان بىرىنچى خەت	Première épître de Jean
فىلىمۇنغا يېزىلغان خەت	Épître à Philémon
سالونىكىلىقلارغا يېزىلغان ئىككىنچى خەت	Deuxième épître aux Thessaloniciens
پاۋىل كرۇگمەنن	Paul Krugman
سالونىكىلىقلارغا يېزىلغان بىرىنچى خەت	Première épître aux Thessaloniciens
پېترۇس يازغان بىرىنچى خەت	Première épître de Pierre
پېترۇس يازغان ئىككىنچى خەت	Deuxième épître de Pierre
تىموتىيغا يېزىلغان بىرىنچى خەت	Première épître à Timothée
ئېسكىموسلار	Esquimaux
چىكاگو ئۇنىۋېرستېتى	Université de Chicago
ماردىن ۋىلايىتى	Mardin (province)
مالاتيا ۋىلايىتى	Malatya (province)
مۇش ۋىلايىتى	Muş (province)
يۇھاننا يازغان ئىككىنچى خەت	Deuxième épître de Jean
يۇھاننا يازغان ئۈچىنچى خەت	Troisième épître de Jean
يەھۇدا يازغان خەت	Épître de Jude
تىموتىيغا يېزىلغان ئىككىنچى خەت	Deuxième épître à Timothée
تىتۇسغا يېزىلغان خەت	Épître à Tite
قىرقلارەلى ۋىلايىتى	Kırklareli (province)
ئاليۇمىن ئوكسىدى	Corindon
مەرسىن ۋىلايىتى	Mersin (province)
ئوتتۇرا ئاسىيا ياۋا تۆگىسى	Chameau de Bactriane
بۇشەھر ۋىلايىتى	Province de Bouchehr
تەكلىماكان قۇملۇقى	Désert du Taklamakan
قاشقىئوغلاق	Chien viverrin
ئاشمورە ۋە كارتىئەر ئاراللىرى	Îles Ashmore-et-Cartier
قىرشەھەر ۋىلايىتى	Kırşehir (province)
ئەردەبىل ۋىلايىتى	Province d'Ardabil
سىنوپ ۋىلايىتى	Sinop (province)
Ajax	Ajax (informatique)
ئاتىلار بايرىمى	Fête des pères
شۆلگەي بېزى	Glande salivaire
سېرىق قاشتېشى	Topaze (minéral)
بىھارى تىلى	Bihari
Teynen shehiri	Tainan
ۋىتامىنE	Vitamine E
سۇلتان توغرۇلبەگ	Toghrul-Beg
Xéngyang shehiri	Hengyang
مالاي ئېيىقى	Ours malais
زامان گېزىتى	Zaman (journal)
مانجۇ مىللىتى	Mandchous
تېرەك	Tremble
ھېيدېلبېرگ ئۇنىۋېرستېتى	Université de Heidelberg
سۇلايمان دېمىرەل	Süleyman Demirel
ۋەيران بولۇش	Cessation de paiements
ج.ۋىللارد گىببس	Willard Gibbs
پۇت بارمىقى	Orteil
ياغاچچى	Charpentier
نىغدە ۋىلايىتى	Niğde (province)
ئوتتۇرا ئاناتولىيە رايونى	Région de l'Anatolie centrale
قارا دېڭىز رايونى	Région de la mer Noire
شەرقىي ئاناتولىيە رايونى	Région de l'Anatolie orientale
يەر ئوتتۇرا دېڭىزى رايونى	Région Méditerranéenne
ئېگېي رايونى	Région Égéenne
مارمارا رايونى	Région de Marmara
شەرقىي جەنۇبىي ئاناتولىيە رايونى	Région de l'Anatolie du Sud-Est
لېيدېن ئۇنىۋېرستېتى	Université de Leyde
مېڭە ئاستى بېزى	Hypophyse
تۈر:سىياسىي جۇغراپىيە	Géopolitique
مۇرادئۈچ	Mourad III
ئىدىنبۇرگ ئۇنىۋېرستېتى	Université d'Édimbourg
فارابى	Al-Fârâbî
كۆك قۇتان	Héron pourpré
گەۋدە	Tronc (anatomie)
ياپونىيىلىك	Japonais (peuple)
پامىر ئېگىزلىكى	Pamir
تولۇق كۇرس	Baccalauréat universitaire
تۆش بېزى	Thymus (anatomie)
دۆڭچە مېڭىنىڭ ئاستى	Hypothalamus
ئېلېكتر سىغىمى	Capacité électrique
يېشىل تاش	Malachite
سولچى	Gauche (politique)
چاناق قەلئە ئۇرۇشى	Bataille des Dardanelles
بىريۇزا(ياقۇت)	Turquoise (pierre)
ئەخمەت نەدجەت سەزەر	Ahmet Necdet Sezer
ۋيېنا ئۇنىۋېرسىتېتى	Université de Vienne
توشقانسىمان سۈلەيسۈن	Chat de Pallas
ئافيون قاراھىسار	Afyonkarahisar
ئوتتۇرا بارماق	Majeur (anatomie)
ئەبۇ مۇسا جابىر بىن ھەييام	Jabir Ibn Hayyan
ئوشۇق	Cheville (anatomie)
ئادىياما	Adıyaman
تاغ ئۆچكىسى	Bouquetin des Alpes
پەنجاب	Pendjab
شىيا سۇلالىسى	Dynastie Xia
جىنەن شەھىرى	Jinan
يول بەلگىسى	Panneau de signalisation routière
چىڭداۋ شەھىرى	Qingdao
كالسېدونىيە	Calcédoine
ئاسىيا تېنچ ئوكيان ئىقتىسادىي ھەمكارلىق تەشكىلاتى	Coopération économique pour l'Asie-Pacifique
Glutséstér	Gloucester
قەشقەر شەھرى	Kachgar
ئىلام ۋىلايىتى	Province d'Ilam
نەنچاڭ شەھىرى	Nanchang
بېشىكتاش گىمناستىكا كۇلۇبى	Beşiktaş Jimnastik Kulübü
تۈرك لىراسى	Livre turque
ئۆچكە	Capra
بورمودىلى	Modèle de Bohr
ھەزىم يولى	Œsophage
چاڭشا شەھىر	Changsha
ئۆكچە	Talon (anatomie)
كېكىردەك	Pharynx
ئۇيغقاشتېشى	Jade
ۋىتامىن D	Vitamine D
قۇتۇبى ناھىيىسى	Xian de Hutubi
2010 دۇنيا لوڭقىسى	Coupe du monde de football de 2010
نەسىرىدىن ئەپەندى	Nasr Eddin Hodja
سۇلايمانىيە جامىى	Mosquée Süleymaniye
كاۋاپ	Kebab
Wéstminstér Shehiri	Cité de Westminster
نەننىڭ شەھىرى	Nanning
Durham	Durham (Angleterre)
تۇرغۇت ئۆزال	Turgut Özal
ﮔﺎﮔﺎﯞﯗﺯ	Gagaouzes
بادام بەز	Tonsille
مۇھەممەد خاتەمى	Mohammad Khatami
تورونتو ئۇنىۋېرستېتى	Université de Toronto
ساردونىكس	Onyx (minéral)
تروچكىزم	Trotskisme
ياڭ جىننىڭ	Chen Ning Yang
Gawshyung	Kaohsiung
بىرىكمە ماتېرىيال	Matériau composite
مېڭە غولى	Tronc cérébral
تاموژنا	Douane
كۈنمىڭ شەھىرى	Kunming
ۋىتامىنB	Vitamine B
ئىسمەت ئىنۆنۈ	İsmet İnönü
مارگارېت ئاتۋود	Margaret Atwood
خۇيزۇ مىللىتى	Hui (ethnie)
لەنجۇ شەھىرى	Lanzhou
Halva	Halva
لى جىڭداۋ	Tsung-Dao Lee
ماگىستىر	Master (diplôme ou grade universitaire)
كۆرسەتكۈچ بارماق	Index (anatomie)
ئوتتۇرا مېڭە	Mésencéphale
ئۇپسالا ئۇنىۋېرستېتى	Université d'Uppsala
Multan	Multan
خېفېي شەھىر	Hefei
ھىيلە	Poignet
ئىپار مۈشۈك ئائىلىسى	Viverridae
ئارقار	Argali
كوپېنھاگېن ئۇنىۋېرستېتى	Université de Copenhague
قارساق	Vulpes corsac
لوياڭ شەھىرى	Luoyang
زئەكئى مئۈرئەن	Zeki Müren
كۇئېنلۇن تاغ تىزمىسى	Cordillère du Kunlun
تىبەت مىللىتى	Tibétains
لوندون ئىمپېرىيە ئىنستېتۇت	Imperial College London
يىلىك	Moelle allongée
گۇيلىن شەھىرى	Guilin
گېئوتىت	Goethite
Xeyko shehir	Haikou
مولتىمىتىر	Multimètre
چىپار بۇغا	Cerf Sika
بەل	Membre (anatomie)
يۇگوسلاۋىيە پادىشاھلىقى	Royaume de Yougoslavie
ئېۋېنكى مىللىتى	Evenks
راھىبە	Nonne
سېرىق ياۋا مۈشۈك	Chat de Temminck
گۇيياڭ شەھىرى	Guiyang
نامسىز بارماق	Annulaire (anatomie)
لىمبىك سىستېما	Système limbique
تۇرپان	Tourfan
ئىلى دەرياسى	Ili
مېڭە كۆۋرۈكى	Pont (système nerveux)
دەريا بۇغىسى	Hydropotes inermis
ﺑﺎﻟﻘﺎﺭ ﻣﯩﻠﻠﯩﺘﻰ	Balkars
ﻧﻮﻏﺎﻱ ﻣﯩﻠﻠﯩﺘﻰ	Nogaïs
كالا گۆشى	Viande bovine
گلاسگوۋ ئۇنىۋېرستېتى	Université de Glasgow
توخارلار	Tokhariens
ئابادە	Abadé
ئىستانبۇل ئۇنىۋېرسىتېتى	Université d'Istanbul
Tuwa	Touvains
بۇرما مۈڭگۈزلۈك بۆكەن	Takin
ئېلېكترون قەۋەت	Couche électronique
كېمىنىڭ يان تىرەكلىرى	Côte (os)
جاڭ خىڭ	Zhang Heng
جاڭ چيەن	Zhang Qian
موڭغۇلكۈرە ناھىيىسى	Xian de Zhaosu
Juko shehiri	Zhoukou
جۇگىلىياڭ	Zhuge Liang
زىبو شەھىرى	Zibo
ۋىتامىن C	Vitamine C
سۇلتان ئالىپ ئارىسلان	Alp Arslan
گوللاندىيىلىكلەر	Néerlandais (peuple)
مەن، ماشىنا ئادەم (كىنو)	I, Robot (film)
جۇڭخۇا خەلق جۇمھۇرىيىتىنىڭ ئاساسىي قانۇنى	Constitution de la République populaire de Chine
قاشتېشى	Jaspe
تگرین اعظم	Tigrane II d'Arménie
كۆكمۇچ	Capsicum
چۆل مۈشۈكى	Chat de Biet
جۇڭگو شىنخۇا ئاگېنتلىقى	Xinhua
Lankastér	Lancaster (Angleterre)
لىجياڭ شەھىرى	Lijiang
چىچىخار شەھىرى	Qiqihar
گەبزە	Gebze
ئەلنى ئىدارە قىلىشقا پايدىلىق ئومۇمىي ئۆرنەكلەر	Zizhi Tongjian
ئۇزۇن قۇيرۇق بۇغا	Cerf du père David
سېرىق تەنلىكلەر	Asiatique (humain)
Keyféng shehiri	Kaifeng
پارىژ ئۇنىۋېرسىتىتى	Université de Paris
بېيخەي شەھىرى	Beihai (Guangxi)
يەنتەي شەھىرى	Yantai
ﻗﯘﻣﯩﻖ	Koumyks
يىنچۈئەن شەھىرى	Yinchuan
سەئىد قۇتوب	Saïd Qotb
ئېيقسىمان ئىپار مۈشۈك	Binturong
ئامستېردام ئۇنىۋېرستېتى	Université d'Amsterdam
ماتېرىيال	Matériau
دۇڭزۇ مىللىتى	Dong (ethnie)
تارىم ئويمانلىقى	Bassin du Tarim
بۈيۈك ئويۇن	Grand Jeu (géostratégie)
لازۇرىت	Lapis-lazuli
قاراماي يۇقىر سۇرئەتلىك يولى	Route du Karakorum
داغۇر مىللىتى	Daur
ساكاريا دەرياسى	Sakarya (fleuve)
ﺭﺍﺩﯨﺸﺸﯧﯟ	Alexandre Radichtchev
ئوۋتېز	Joyce Carol Oates
مۇدەنجياڭ شەھىرى	Mudanjiang
ناشى مىللىتى	Naxi
ۋاشىنگتون ئۇنىۋېرستېتى	Université de Washington
زونگۇلداق ۋىلايىتى	Zonguldak (province)
سېرىق بوغۇز بولغۇن	Martes flavigula
شىزاڭ ياۋا ئېشىكى	Kiang
بىرمىنگام ئۇنىۋېرستېتى	Université de Birmingham
چىمەلتەك	Auriculaire (anatomie)
بىلەك	Avant-bras
ماتېرىيال ئىلمى	Science des matériaux
ھەنبەلىي مەزھىبى	Hanafisme
سەي لۇن	Cai Lun
قوڭۇر بۇغا	Sambar
مىچىگان ئۇنىۋېرستېتى	Université du Michigan
ئىرۇسالىمغا قايتىش ھەركىتى	Back to Jerusalem
ﺋﺎﻗﺴﺎﻱ ﭼﯩﻦ	Aksai Chin
مانچېستېر ئۇنىۋېرستېتى	Université de Manchester
تارپان	Tarpan
امينة ساندال	Emina Jahović
ئاق تەنلىكلەر	Blanc (humain)
تارىم دەرياسى	Tarim (fleuve)
مىننېسوتا ئۇنىۋېرستېتى	Université du Minnesota
فۇكاڭ شەھىرى	Fukang
ئورخان پامۇك	Orhan Pamuk
ئەرتۇغرۇل غازى	Ertuğrul
ﻗﺎﺭﺍ ﭼﺎﻱ ﻣﯩﻠﻠﯩﺘﻰ	Karatchaïs
نەجمەتتىن ئەرباقان	Necmettin Erbakan
ﺋﺎﻟﺘﺎﻱ مىللىتى	Altaïens
Teyjong shehiri	Taichung
ﻛﺎﺷﻜﺎﻱ	Kachkaïs
مىللەتچى ھەركەت پارتىيىسى	Parti d'action nationaliste
ھەيبەلى ئارىلى	Heybeliada
ﭼﯘﯞﺍﺵ ﻣﯩﻠﻠﯩﺘﻰ	Tchouvaches
گيېموسخۇس بۇغىسى	Chevrotain aquatique
ئىسپارتا ۋىلايىتى	Isparta (province)
قوڭۇر يىلپىز	Neofelis
چىقچىق	Marouette poussin
سېرىق ئاغمىخان	Vison de Sibérie
شىزاڭ بۆكىن	Antilope du Tibet
چانقىرى ۋىلايىتى	Çankırı (province)
چورۇم ۋىلايىتى	Çorum (province)
ئىران ئەزەربەيجان	Azerbaïdjan iranien
تۈركىيە بۈيۈك مىللەت مەجلىسى	Grande Assemblée nationale de Turquie
بەيزۇ مىللىتى	Bai (ethnie)
ﻗﺎﺭﺍ ﻗﺎﻟﭙﺎﻕ ﻣﯩﻠﻠﯩﺘﻰ	Karakalpaks
ئوسمانىيە ۋىلايىتى	Osmaniye (province)
تۇرپان ئويمانلىغى	Dépression de Tourfan
1.خاتىرەمدىكى ئامېرىكا	ABC News
Putbol	Football (homonymie)
رابىيە قادىر	Rebiya Kadeer
سەزەن ئاقسۇ	Sezen Aksu
جاندان ارچتین	Candan Erçetin
ۋەن مارۋىجىك	Bert van Marwijk
Hidayet Türkoghli	Hidayet Türkoğlu
داچىڭ شەھىر	Daqing
ئۆزگۈ نامال	Özgü Namal
لىزۇ مىللىتى	Li (ethnie)
سۇلتان مەلىك شاھ	Malik Shah Ier
مەھمەت ئەلىي تالات	Mehmet Ali Talat
ئابدۇراخمان جامى	Djami
مېلبۇرن ئۇنىۋېرستېتى	Université de Melbourne
Dünxuang Shehiri	Dunhuang
لوپنۇر	Lob Nor
Senya shehiri	Sanya
Dostum	Abdul Rachid Dostom
ئەكمەلىتتىن ئىھسان ئوغلۇ	Ekmeleddin İhsanoğlu
مۇستاپا ساندال	Mustafa Sandal
تاغ بورسۇقى	Melogale moschata
ئۈرۈمچى ناھىيىسى	Xian d'Ürümqi
سالار مىللىتى	Salar (ethnie)
كيوتو ئۇنىۋېرستېتى	Université de Kyoto
بادام؛بادام؛بادام	Amygdale (cerveau)
ئىستانبۇل تېخنىكا ئۇنىۋېرسىتېتى	Université technique d'Istanbul
ئىزمىر ۋىلايىتى	İzmir (province)
ئاد قەۋمى	Ad (peuple)
بېڭبۇ شەھەرى	Bengbu
خۇەينەن شەھىرى	Huainan
مائەنشەن شەھىرى	Ma'anshan
ئەنچىڭ شەھىرى	Anqing
ياۋزۇ مىللىتى	Yao (peuple d'Asie)
كرىستىن دەلفى	Christine Delphy
ئەرزۇرۇم ۋىلايىتى	Erzurum (province)
روبوتلار ۋە ئىمپىرىيە	Les Robots et l'Empire
يۇنۇس ئەمرە	Yunus Emre
بىلگە قاغان	Bilge Kaghan
باتۇر تەڭرىقۇت	Modu
پرژىۋالسكى بۆكىنى	Procapra przewalskii
يېڭى تاڭنامە	Nouveau Livre des Tang
سۇلتان بەكيارۇق	Barkyaruq
شانلى ئۇرفا ۋىلايىتى	Şanlıurfa (province)
شهرزاد	Shéhérazade (chanteuse)
ترابزون ۋىلايىتى	Trabzon (province)
برىتانى كولۇمبىيە ئۇنىۋېرستېتى	Université de la Colombie-Britannique
Metta bayan qilghan xush xewer	Évangile selon Matthieu
ئەلبورز ۋىلايىتى	Province d'Alborz
خوجا ئەھمەد يەسەۋى	Ahmed Yasavi
Tekshi choqqiliq tagh shehiri	Pingdingshan
شىنشياڭ شەھىرى	Xinxiang
Nenyang shehiri	Nanyang (Henan)
Shinyang shehiri	Xinyang
ئەفەسلىكلەرگە يېزىلغان خەت	Épître aux Éphésiens
زەمچە	Alun
ﺋﯩﻜﻜﯩﻨﭽﻰ ﻗﯩﺘﯩﻤﻠﯩﻖ ﯬﭘﻴﯘﻥ ﯰﺭﯗﺷﻰ	Seconde guerre de l'opium
ئاقچى ناھىيىسى	Xian d'Akqi
بۇغا	Cerf (homonymie)
ئاقسۇ ۋىلايىتى	Préfecture d'Aksou
ئاقسۇ شەھىرى	Aksou (Xinjiang)
تېتراپىررول	Tétrapyrrole
ئاقتو ناھىيىسى	Xian d'Akto
ميەنياڭ شەھىرى	Mianyang
ھلا رەڭ	Rose (couleur)
نەۋشەھەر ۋىلايىتى	Nevşehir (province)
نازارې	Nazareth
سۇماترا بۆكىنى	Capricornis sumatraensis
دۈزجە ۋىلايىتى	Düzce (province)
ئالتاي شەھىرى	Altay (Xinjiang)
سۈبھىدىكى روبوتلار	Les Robots de l'aube
قۇندۇز ئۇرۇقدىشى	Lutra
بەشىكتاش	Beşiktaş
برىستول ئۇنىۋېرستېتى	Université de Bristol
ئاق بوغۇز بۆكەن	Gazelle à goitre
يىزۇ مىللىتى	Yi (ethnie)
روزا ھېيت	Aïd el-Fitr
كۆكمەت	Pseudois nayaur
شېڭ شىسەي	Sheng Shicai
بۈلەنت ئەرسوي	Bülent Ersoy
يالىڭاچ قۇياش	Face aux feux du soleil
نوتتىڭخام ئۇنىۋېرستېتى	Université de Nottingham
تايلاندلىقلار	Thaïs (peuple)
تۈركىيە جۇمھۇريىتى باش مىنىستىرى	Liste des Premiers ministres de Turquie
نەمەنگان ۋىلايىتى	Province de Namangan
ھانى مىللىتى	Hani
پولات قەلئەلەر	Les Cavernes d'acier
گىرەسۇن ۋىلايىتى	Giresun (province)
گۈمۈشخانە ۋىلايىتى	Gümüşhane (province)
سىئىرت ۋىلايىتى	Siirt (province)
قاھرامان ماراش ۋىلايىتى	Kahramanmaraş (province)
ئومۇرتقا	Colonne vertébrale
قارامان ۋىلايىتى	Karaman (province)
سامسۇن ۋىلايىتى	Samsun (province)
ئۆزبېك مىللىتى	Ouzbeks
ئەسكىشەھەر ۋىلايىتى	Eskişehir (province)
بايبۇرت ۋىلايىتى	Bayburt (province)
ئۇشاق ۋىلايىتى	Uşak (province)
يالوۋا ۋىلايىتى	Yalova (province)
ئەلازىغ ۋىلايىتى	Elazığ (province)
سىۋاس ۋىلايىتى	Sivas (province)
غازى ئانتەپ ۋىلايىتى	Gaziantep (province)
قارابۈك ۋىلايىتى	Karabük (province)
ئەرزىنجان ۋىلايىتى	Erzincan (province)
ئوردۇ ۋىلايىتى	Ordu (province)
كاستامونۇ ۋىلايىتى	Kastamonu (province)
توقات ۋىلايىتى	Tokat (province)
نورۇز بايرىمى	Norouz
كايسەرى ۋىلايىتى	Kayseri (province)
رىزە ۋىلايىتى	Rize (province)
تاجىك مىللىتى	Tadjiks
مۇھەممەد ئىقبال	Mohamed Iqbal
پارسلار	Persans
قاراقالپاقىستان	Karakalpakistan
قىرىققالە ۋىلايىتى	Kırıkkale (province)
قىرغىز مىللىتى	Kirghizes
شاڭخەي ھەمكارلىق تەشكىلاتى	Organisation de coopération de Shanghai
تۈركىيە دەرىجىدىن تاشقىرى ئايلانمىسى	Championnat de Turquie de football
تاركان	Tarkan
ﻳﺎﻗﯘﺕ ﻣﯩﻠﻠﯩﺘﻰ	Iakoutes
فەرغانە ئويمانلىقى	Vallée de Ferghana
فەرغانە	Ferghana
Kanzas Shehiri, Kanzas	Kansas City (Kansas)
پەرغانە ۋىلايىتى	Province de Ferghana
بۇخارا ۋىلايىتى	Province de Boukhara
ئەنجان ۋىلايىتى	Province d'Andijan
سەمەرقەنت ۋىلايىتى	Province de Samarcande
سۇرخاندەريا ۋىلايىتى	Province de Sourkhan-Daria
چاغاتاي خان	Djaghataï (khan)
سىردەريا ۋىلايىتى	Province de Syr-Daria
سىدنېي ئۇنىۋېرستېتى	Université de Sydney
خارەزىم ۋىلايىتى	Province de Khorezm
نەۋايى ۋىلايىتى	Province de Navoï
قاشقادەريا ۋىلايىتى	Province de Kachkadaria
تاشكەنت ۋىلايىتى	Province de Tachkent
ئانا ۋەتەن پارتىيىسى	Parti de la mère patrie
جىزاق ۋىلايىتى	Province de Djizak
ئاۋكلاند ئۇنىۋېرستېتى	Université d'Auckland
قاراخانىيلار خانلىقى	Qarakhanides
چىپار بۆكەن	Nemorhaedus goral
ئوغۇزلار	Oghouzes
كۆمۈرچەك	Cartilage
ئەلشىر ناۋائى	Mir Alisher Navoï
جەنۋە ئۇنىۋېرستېتى	Université de Genève
قىزىل تاغ	Monts Flamboyants
Openoffice	OpenOffice.org
قۇربان ھېيت	Aïd al-Adha
تىمساھ	Alligator
ئىستانبۇل ۋىلايىتى	Istanbul (province)
Kökxot shehiri	Hohhot
بەزگە مۇناسىۋەتلىك	Tonsille pharyngienne
ياقۇب بەگ	Yaqub Beg
يەكەن دەرياسى	Yarkand (fleuve)
مەھمۇد قەشقىرى	Mahmoud de Kachgar
باۋتۇ شەھىر	Baotou
ھېنرىخ ھېينى مۇكاپاتى	Prix Heinrich Heine
كۈنەس ناھىيىسى	Xian de Xinyuan
سوغدى يېزىقى	Alphabet sogdien
كىنالى ئارىلى	Kınalıada
رومبىسىمان كرىستال كاتەكچىسى	Système cristallin trigonal
تۇجيا مىللىتى	Tujias
توقسۇن ناھىيىسى	Xian de Toksun
تېھران ۋىلايىتى	Province de Téhéran
تۆش	Thorax
موناش ئۇنىۋېرستېتى	Université Monash
كىچىك مونتياك	Muntiacus crinifrons
بوکان	Bukan
رېگان ئىقتىسادشۇناسلىقى	Reaganomics
ئۆركەش دۆلەت	Wuer Kaixi
ئۇلۇغچات ناھىيىسى	Xian d'Ulugqat
دۇلۇڭ مىللىتى	Derung
تۇنجەلى ۋىلايىتى	Tunceli (province)
ئارال شەھرى	Aral (Xinjiang)
خوتەن دەرياسى	Hotan (rivière)
چىپار يۈز قوڭغارچا	Paguma larvata
ئارا تۈرۈك ناھىيىسى	Xian de Yiwu (Xinjiang)
مۇز تاغ ئاتا	Mustagh Ata
قابا ناھىيىسى	Xian de Habahe
ئالبېرتا ئۇنىۋېرستېتى	Université de l'Alberta
قوي گۆشى	Viande d'agneau
چەرچەن ناھىيىسى	Xian de Qiemo
تارباغاتاي ۋىلايىتى	Préfecture de Tacheng
قوڭۇر تاغ	Kongur
خەينە بۇغىسى	Cerf d'Eld
شىرناق ۋىلايىتى	Şırnak (province)
چۆچەك شەھىرى	Tacheng
قالقانسىمان يان بەز	Glande parathyroïde
قۇمۇل شەھىرى	Hami
ئوساكا ئۇنىۋېرستېتى	Université d'Osaka
ﺗﻮﻓﺎ ﻣﯩﻠﻠﯩﺘﻰ	Tofalars
قاراماي شەھىرى	Karamay
ئاتۇش شەھىرى	Artux
ئارىشاڭ ناھىيىسى	Xian de Wenquan
بۇيى مىللىت	Buyei
سۈلەيسۈن	Lynx
سەدەف ئارىلى	Sedef Adası
تارماشىرىن	Tarmachirin
نان	Naan
سېرىق مۇنتجاك بۇغىسى	Muntjac de Reeve
دۇنيا ئۇيغۇر قۇرۇلتىيى	Congrès mondial des Ouïghours
بۆرەك ئۈستى بېزى	Glande surrénale
لىمفا ئىشلەپچىقىرىدىغان	Système lymphatique
يانپاش	Bassin (anatomie)
چوسون مىللىتى	Diaspora coréenne en Chine
تەيۋەن بۆكىنى	Capricornis swinhoei
جاڭ چۈنشيەن	Zhang Chunxian
ۋاڭ لېچۈەن	Wang Lequan
ISO 639-2	ISO 639-2
يۇڭ تاجلىق بۇغا	Elaphodus cephalophus
ھىمالايا چۇپۇرلۇق قويى	Jharal
ئاق تۇمشۇق بۇغا	Cerf de Thorold
ئۇرال - ئالتاي تىللىرى سېستىمىسى	Langues ouralo-altaïques
جەم يىلماز	Cem Yılmaz
تيېرى مېيىسسان	Thierry Meyssan
شېزۇ مىللىتى	She
ﺗۈﺭﻛﯩﻲ ﺗﯩﻠﻼﺭ ﺩﯨﯟﺍﻧﻰ	Recueil des langues turques
قەشقەر ۋىلايىتى	Préfecture de Kachgar
نەي	Ney (instrument)
تىن تىننىڭ سەرگۈزەشتىلىرى	Les Aventures de Tintin
يوپۇرغا ناھىيىسى	Xian de Yopurga
دۇڭشياڭ مىللىتى	Dongxiang (ethnie)
XMCD	Dichroïsme circulaire magnétique de rayons X
لاخۇ مىللىتى	Lahu
بازا	Fondation (Asimov)
قارىقۇيرۇق	Procapra gutturosa
چوڭ ئىپار مۈشۈك	Viverra zibetha
مەكىت ناھىيىسى	Xian de Makit
ئۈرۈمچى دىۋوپۇ خەلقئارا ئايروپورتى	Aéroport international d'Ürümqi Diwopu
ئالتاي ۋىلايىتى	Préfecture d'Altay
نەگۈبەئى	Nikpaï Oghoul
ۋۇجياچۈ شەھىرى	Wujiaqu
ئاۋات ناھىيىسى	Xian d'Awat
ئايدىڭكۆل	Lac Aiding
بابۇر	Babur
جەرەنبۇلاق رايونى	District de Baijiantan
باركۆل قازاق ئاپتونوم ناھىيىسى	Xian autonome kazakh de Barkol
باي ناھىيىس	Xian de Baicheng
بايىنغولىن موڭغۇل ئاپتونوم ئوبلاستى	Préfecture autonome mongole de Bayin'gholin
بونان مىللىتى	Bonan
قارا تەنلىكلەر	Noir (humain)
ئورخۇن ئۇيغۇر خانلىقى	Khanat ouïghour
كورلا شەھىرى	Korla
بازا ۋە ئىمپىرىيە	Fondation et Empire
دەيزۇ مىللىتى	Dai (ethnie)
مېنبا مىللىتى	Monba
شەرقىي تۈركىستان	Turkestan oriental
چياڭزۇ مىللىتى	Qiangs
ۋازۇ مىللىتى	Wa (ethnie)
5-ئىيۇل ۋەقەسى	Émeutes au Xinjiang en juillet 2009
تاجىسىمان يۇرەك قان تومۇر كېسىلى	Maladie coronarienne
ISO 639-3	ISO 639-3
شىمالىي ئامېرىكىلىق	Américains (peuple)
ئىلى قازاق ئاپتونوم ۋىلايىتى	Préfecture autonome kazakh d'Ili
قىز مۇنارى	Tour de Léandre
شىخەنزە شەھىرى	Shihezi
دوكتور ئاسپرانتى	Doctorat
ئاچاڭ مىللىتى	Achang
تۇزۇ مىللىتى	Tu (ethnie)
ئېگىز تاغ بۆكىنى	Procapra picticaudata
ئىككىنچى بازا	Seconde Fondation
لوبا مىللىتى	Lhoba
يەكەن ناھىيىسى	Xian de Yarkand
لىسۇ مىللىتى	Lisu
QQ	Tencent QQ
تېڭشۈن شىركىتى	Tencent Holdings
قىزىلسۇ قىرغىز ئاپتونوم ئوبلاستى	Préfecture autonome kirghiz de Kizilsu
بىلكەنت ئۇنىۋېستېتى	Université Bilkent
كۋېنسلاند ئۇنىۋېرستېتى	Université du Queensland
غۇلجا شەھىرى	Yining
نۇزۇ مىللىتى	Nu (ethnie)
مۇلاۋ مىللىتى	Mulao
تۇرپان ۋىلايىتى	Préfecture de Tourfan
Néwkastl Undérlim	Newcastle-under-Lyme
تۇڭگان مىللىتى	Dounganes
بورتالا موڭغۇل ئاپتونوم ئوبلاستى	Préfecture autonome mongole de Börtala
ﺷﻮﺭ ﻣﯩﻠﻠﯩﺘﻰ	Chors (peuple)
پۇمى مىللىتى	Pumi
قئارئاهوجئا	Gaochang
布朗族	Blang
باغراش ناھىيىسى	Xian de Bohu
بورتالا شەھىرى	Bole (Xinjiang)
جىمىسار ناھىيىسى	Xian de Jimsar
تاشقۇرقان تاجىك ئاپتونوم ناھىيىسى	Xian autonome tadjik de Taxkorgan
قىزىل بۆكەن	Nemorhaedus baileyi
ياردەم:ياردەم	Aide:Sommaire
خوتەن ناھىيىسى	Xian de Hotan
لوپ ناھىيىسى	Xian de Lop
بازىنىڭ چېتى	Fondation foudroyée
پارىژ ساھىلى	Paris Plages
يۈسۈپ خاس ھاجىپ	Yusuf Khass Hajib
ئورقۇ رايونى	District d'Urho
لاتىن ھەرپلىرى ئاساسىدىكى ئۇيغۇر يېڭى يېزىقى	Écriture ouïghoure latine
شەرقى تۈركىستان جۇمھۇرىيىتى	Première République du Turkestan oriental
