આફ્રિકા	Afrique
આમળાં	Amla
હિમાલયન પાઈકા	Ochotona himalayana
નેપોલિયન હિલ	Napoleon Hill
રોહુ માછલી	Labeo rohita
કનિષ્ક	Kanishka
સંત કબીર	Kabîr
નથુરામ ગોડસે	Nathuram Godse
મહેશ ભૂપતિ	Mahesh Bhupathi
લોકમાન્ય ટિળક	Bal Gangadhar Tilak
ગુરુ ગોવિંદસિંહ	Guru Gobind Singh
તુલસીદાસ	Tulsîdâs
ગોપાલ કૃષ્ણ ગોખલે	Gopal Krishna Gokhale
ભારતના રાષ્ટ્રપતિ	Président de l'Inde
ડોનાલ્ડ બ્રેડમેન	Donald Bradman
કૂચબિહાર	District de Koch Bihar
જગદીશચંદ્ર બોઝ	Jagadish Chandra Bose
મહાત્મા જ્યોતિરાવ ફુલે	Mahatma Jyotirao Phule
ગુલઝારીલાલ નંદા	Gulzarilal Nanda
સેલ્વાસ	Silvassa
સલામત મૈથુન	Sécuri-sexe
ઇન્વેસ્ટમેન્ટ બેન્કિંગ	Banque d'investissement
બુકર ટી.વોશિંગ્ટન	Booker T. Washington
કાબરો કલકલીયો	Martin-pêcheur pie
જમશેદજી તાતા	Jamsetji Tata
દેવ આનંદ	Dev Anand
પેરુ (ફળ)	Psidium
બદામી વાઘોમડા	Fou brun
અભિનવ બિંદ્રા	Abhinav Bindra
અરીઠાં	Sapindus
કોલ્લમ	Quilon
ઓદાલગુરિ જિલ્લો	District d'Udalguri
ભારત રત્ન	Bharat Ratna
ઘી	Ghi
સારનાથ	Sarnath
સ્વાટ	Special Weapons And Tactics
ચંદ્ર યાન	Chandrayaan-2
રાકેશ શર્મા	Rakesh Sharma
દાલ સરોવર	Lac Dhal
વિક્રમ સારાભાઈ	Vikram Sarabhai
હોમી ભાભા	Homi Jehangir Bhabha
બોસ કોર્પોરેશન	Bose (entreprise)
ભારતીય સિનેમા	Cinéma indien
મેરી કોમ	Mary Kom
બાંયધરી (વોરંટી)	Garantie
ઓમ શાંતિ ઓમ	Om Shanti Om
વ્યાસ	Vyāsa
કોટા	Kota (Rajasthan)
મુરાદાબાદ	Moradabad
અનુષ્કા શેટ્ટી	Anushka Shetty
ભીમ બેટકાની ગુફાઓ	Bhimbetka
સામાન્ય તપાસની કક્ષાની બહારનું	Paranormal
શંકર દયાલ શર્મા	Shankar Dayal Sharma
અમરીશ લાલ પુરી	Amrish Puri
રાજા રવિ વર્મા	Ravi Varmâ
રતન તાતા	Ratan Tata
ભરતનાટ્યમ	Bharata natyam
આર. કે. નારાયણ	R. K. Narayan
અબુલ ફઝલ	Abul al-Fazl ibn Mubarak
પેપ્સીકો	PepsiCo
ગ્યાની ઝૈલસીંઘ	Giani Zail Singh
રાહુલ બોસ	Rahul Bose
રાજા રામમોહનરાય	Râm Mohan Roy
ગીર રાષ્ટ્રીય ઉદ્યાન અને અભયારણ્ય	Parc national et sanctuaire faunique de Gir
રજપુત	Rajput
દિવેલ	Huile de ricin
ગુરુદ્વારા	Gurdwārā
નોબેલ પારિતોષિક વડે સન્માનીત મહાનુભાવો	Liste des lauréats du prix Nobel
સમય વ્યવસ્થાપન	Gestion du temps
આદિવાસી	Aborigènes de l'Inde
અડદ	Haricot urd
સયૌં થુંગા ફુલકા	Sayaun Thunga Phool Ka
ક્રેડિટ સૂઈસ	Crédit suisse
કૃત્રિમ પેસમેકર	Stimulateur cardiaque
રાયપુર (છત્તીસગઢ)	Raipur
શંકરાચાર્ય	Shankaracharya
ચિત્તાગોંગ	Chittagong
રૅનબૅક્સી લેબોરેટરીઝ લિમિટેડ	Ranbaxy Laboratories
દિલીપ કુમાર	Dilip Kumar
ભગત સિંહ	Bhagat Singh
મેઘનાદ સહા	Meghnad Saha
સુનિલ દત્ત	Sunil Dutt
સી રાજગોપાલાચારી	Chakravarti Rajagopalachari
કરૌલી	Karauli
ધર્મેન્દ્ર	Dharmendra
થાઇલેન્ડનો ઇતિહાસ	Histoire de la Thaïlande
મોતીલાલ નહેરૂ	Motilal Nehru
માર્કો કાસાગ્રાન્ડ	Marco Casagrande
અઝીમ પ્રેમજી	Azim Premji
ઊર્જા બચત	Économies d'énergie
વિડિયો કેસેટ રેકોર્ડર (વીસીઆર)	Magnétoscope
કાર્તિકેય	Kârttikeya
મોલિનીઊ સ્ટેડિયમ	Molineux Stadium
સોજી	Semoule
અનિલ અંબાણી	Anil Ambani
સુશ્રુત	Sushruta
વસ્તીવધારો	Croissance démographique
અગસ્ત્ય	Agastya
બેસિલિકા ઑફ બોમ જીસસ	Basilique du Bon Jésus de Goa
યુઇએફએ યૂરો ૨૦૧૨ સમયક્રમ	Phase à élimination directe du championnat d'Europe de football 2012
માથ્થીની લખેલી સુવાર્તા	Évangile selon Matthieu
અગ્નિ	Agni (dieu)
મરાઠી	Marathi
અમદાવાદ જિલ્લો	District d'Ahmedabad
અહમદનગર જિલ્લો	District d'Ahmadnagar
કારગિલ યુદ્ધ	Conflit de Kargil
ડાર્ટ (પ્રોગ્રામિંગ ભાષા)	Dart (langage informatique)
એર ઈન્ડિયા ફ્લાઇટ ૧૮૨	Vol 182 Air India
એર ઇન્ડિયા એક્સપ્રેસ	Air India Express
સદી	Century
ઇલેક્ટ્રોપ્લેટિંગ (વિદ્યુતવિઘટન દ્વારા ઢોળ ચઢાવવાની પ્રક્રિયા)	Galvanisation
અજમેર જિલ્લો	District d'Ajmer
અજમો	Ajowan
યુ.જી.કૃષ્ણમુર્તિ	U. G. Krishnamurti
કારેલું	Momordica charantia
સાંગલી	Sangli
જન્માષ્ટમી	Janmashtami
લોપકચિહ્ન	Apostrophe (typographie)
અલવાર જિલ્લો	District d'Alwar
અમરનાથ (તીર્થધામ)	Grottes d'Amarnath
આંબેડકર નગર જિલ્લો	District d'Ambedkar Nagar
આમેરનો કિલ્લો	Amber
ઝિટ્ટારા	IMI Tavor TAR-21
ફેડએક્સ	FedEx
હસ્તિનાપુર	Hastināpur
સોલન	Solan
દમણ	Daman (Inde)
મહાબળેશ્વર	Mahabaleshwar
નિલગીરી માઉન્ટેઇન રેલ્વે	Nilgiri Mountain Railway
દાર્જીલીંગ હિમાલયન રેલ્વે	Darjeeling Himalayan Railway
સાયના નેહવાલ	Saina Nehwal
મમતા સોઢા	Mamata Banerjee
પૂર્વ ઘાટ	Ghats orientaux
મીરા નાયર	Mira Nair
અપર્ણા સેન	Aparna Sen
મીરાંબાઈ	Mirabaï
અલકા યાજ્ઞિક	Alka Yagnik
કિરણ મઝુમદાર-શો	Kiran Mazumdar-Shaw
ગુરુ હરકિશન	Guru Har Krishan
વેરાઇઝન કમ્યુનિકેશન્સ	Verizon Communications
જીમ કોર્બેટ	Jim Corbett
સંત તુકારામ	Toukaram
ધીરુભાઈ અંબાણી	Dhirubhai Ambani
ચેસ્ટર કાર્લસન	Chester Carlson
તાનસેન	Tansen
હેરી બ્રેર્લી	Harry Brearley
મહેન્દ્ર સિંઘ ધોની	Mahendra Singh Dhoni
વિજેન્દર સિંઘ	Vijender Singh
સોનૂ નિગમ	Sonu Nigam
રીકી પોન્ટીગ	Ricky Ponting
રામફળ	Annona reticulata
બળદ	Bœuf (animal)
કલ્કિ	Kalkî
વિશ્વકર્મા	Vishvakarma
ભારતનું બંધારણ	Constitution de l'Inde
નવરોઝ	Norouz
એશિયાઈ રમતોત્સવ	Jeux asiatiques
એલન શીયરર	Alan Shearer
અનુકૂલન	Adaptation (biologie)
એલિસ ઇન ચેઇન્સ	Alice in Chains
ગુરુ	Guru (maître spirituel)
એન્ડ્રુ કાર્નેગી	Andrew Carnegie
મગ	Haricot mungo
ઇ-કોમર્સ	Commerce électronique
ઔરંગઝેબ	Aurangzeb
રાની મુખર્જી	Rani Mukherjee
આણંદ જિલ્લો	District d'Anand
હુમાયુ	Humayun
દુનિયાની પ્રાચીન સાત અજાયબીઓ	Sept merveilles du monde
ગંગાનગર	Sri Ganganagar
સમોસા	Samoussa
વી. ઓ. ચિદમ્બરમ પિલ્લઈ	V. O. Chidambaram Pillai
મઊ	Mau
ડી. ડબલ્યુ. સ્ટેડિયમ	DW Stadium
ચોળા	Vigna unguiculata
કાલિમપોંગ	Kalimpong
બ્રિટાનિયા સ્ટેડિયમ	Britannia Stadium
ઋષિકેશ	Rishikesh
વર્ણકોષાશય	Chromatophore
રાયડો	Moutarde brune
માનસ રાષ્ટ્રીય ઉદ્યાન	Parc national de Manas
ઇલેક્ટ્રોમાયોગ્રાફી	Électromyogramme
દેશી કાગડો	Corbeau familier
જંતર મંતર	Yantra Mandir
મણિપુરી નૃત્ય	Manipuri (danse)
મઠ	Haricot mat
કવ્વાલી	Qawwalî
બકરી ઈદ	Aïd al-Adha
વિશ્વ ક્ષય દિન	Journée mondiale de lutte contre la tuberculose
અકોલા જિલ્લો	District d'Akola
ભૂસ્તરશાસ્ત્રી	Géologue
સિરસા જિલ્લો	District de Sirsa
ગુલાબી પેણ	Pélican gris
રોનાલ્ડો	Ronaldo (football)
સુંદરવન	Parc national des Sundarbans
બાવળ	Gomme arabique
લિમ્બો(પ્રોગ્રામિંગ ભાષા)	Limbo (langage)
ઉધઈ	Termite
નાશ પામેલા કપોત	Raphidae
શેન વોર્ન	Shane Warne
સુનીલ ગાવસકર	Sunil Gavaskar
કપિલ દેવ	Kapil Dev
એમ એફ હુસૈન	Maqbool Fida Husain
ભરતપુર	Bharatpur (Rajasthan)
વિશ્વ મહાસાગરો દિવસ	Journée mondiale de l'océan
ચિત્તરંજનદાસ	Chitta Ranjan Das
સેન્ટ મેરી સ્ટેડિયમ	St Mary's Stadium
દૂધરાજ	Tchitrec de paradis
કપિલ	Kapila
ડેની ડેન્ઝોંગ્પા	Danny Denzongpa
ક્રિકેટનું બૅટ	Batte de cricket
વડોદરા જિલ્લો	District de Vadodara
ઉત્તર કન્નડ જિલ્લો	District de Uttara Kannada
કોસી વિભાગ (પ્રમંડલ)	Division de Kosi
પાટણ	Patan (Inde)
ગોલપારા	Goalpara
લિબર્ટી સ્ટેડિયમ	Liberty Stadium (Swansea)
માલેગાંવ	Malegaon
સાતારા	Satara (ville)
શીખ	Sikh
ઉડ્ડપી	Udupi
એલેપ્પી	Alleppey
અલંગ	Alang
અરાહ	Arrah (Inde)
બદ્રીનાથ	Badrinath
અનૂપપુર	Anuppur
અરિયાલુર	Ariyalur
અમરેલી	Amreli
ઔરંગાબાદ જિલ્લો	District d'Aurangabad
કુરુક્ષેત્ર	Kurukshetra
સિટી ગ્રાઉન્ડ	City Ground
પીલ ડિસ્ટ્રિક્ટ સ્કૂલ બોર્ડ	Conseil scolaire de district de Peel
રાજસમન્દ જિલ્લો	District de Rajsamand
ખાનદેશ પ્રાંત	Khandesh
મલાગીર કસ્તુરો	Grive à tête orange
ખીલ (રોગ)	Pustule
સરસ્વતી લિપિ	Écriture de l'Indus
શ્યામમુખ વાઘોમડા	Fou masqué
ભારતીય માનક સમય	Heure normale de l'Inde
મધિયો	Bondrée orientale
વેલી ઓફ ફ્લાવર્સ રાષ્ટ્રીય ઉદ્યાન	Parc national de la Vallée des fleurs
હિતોપદેશ	Hitopadesha
આગ્રા જિલ્લો	District d'Agra
સોનભદ્ર જિલ્લો	District de Sonbhadra
કરનાલ જિલ્લો	District de Karnal
કાંકેર	Kanker
કાનપુર દેહાત જિલ્લો	District de Kanpur Dehat
પશ્ચિમ સિક્કિમ જિલ્લો	District du Sikkim occidental
છોટાઉદેપુર	Chhota Udaipur
કૈથલ જિલ્લો	District de Kaithal
કન્નોજ	Kânnauj
સોનાક્ષી સિંહા	Sonakshi Sinha
એલેન્ડ રોડ	Elland Road
કિંગ પાવર સ્ટેડિયમ	King Power Stadium
દહીં	Caillé
પ્રિફર્ડ સ્ટોક	Action de priorité
બાલાસિનોર	Balasinor
ઓનલાઈન વિજ્ઞાપન	Publicité en ligne
અરવલ્લી	Aravalli
કન્નોજ જિલ્લો	District de Kannauj
કે સી સ્ટેડિયમ	KC Stadium
સાબરમતી નદી	Sabarmati
જબલપુર જિલ્લો	District de Jabalpur
તુવેર	Pois d'Angole
હંગ્રી પેઢીના	Hungry generation
વાંસવાડા	Bânsvâra
દીમાપૂર જિલ્લો	District de Dimapur
અરમાની	Giorgio Armani (entreprise)
ડેરી	Laiterie (agriculture)
માહે જીલ્લો	District de Mahé
અર્ધનારીશ્વર	Ardhanarishvara
ભારતમાં મહિલાઓ	Condition des femmes en Inde
બાલેશ્વર	Balasore
હિલ્સબોરો સ્ટેડિયમ	Hillsborough (stade)
ઉજળો ગીધ	Vautour de l'Himalaya
રાષ્ટ્રીય ધોરીમાર્ગ 5 (ભારત)	Route nationale 5 (Inde)
રાષ્ટ્રીય ધોરીમાર્ગ 4 (ભારત)	Route nationale 4 (Inde)
રાષ્ટ્રીય ધોરીમાર્ગ 2 (ભારત)	Route nationale 2 (Inde)
માઇક્રોસોફ્ટ ઓફિસ ૨૦૦૭	Microsoft Office 2007
ભિવંડી	Bhiwandi
મુંબઈ મેટ્રો	Métro de Mumbai
એલિફન્ટાની ગુફાઓ	Grottes d'Elephanta
ખંભાતનો અખાત	Golfe de Cambay
સિરમૌર જિલ્લો	District de Sirmaur
બાજરો	Mil à chandelle
સિમ્બાદ (SIMBAD)	Simbad
સાધુ	Sâdhu
અપરિગ્રહ	Aparigraha
કોટ્ટયમ	Kottayam
હીજડા	Hijra (Inde)
ખોર્ધા જિલ્લો	District de Khordha
કાંગડા	Kangra
મહિષાસુર	Mahishasura
મસૂરી	Mussoorie
તાપી જિલ્લો	District de Tapi
ઘંટી	Meule à grains
શ્રીકાકુલમ	Srikakulam
પદ્મવિભૂષણ	Padma Vibhushan
સ્વિસ બેંક	Système bancaire suisse
માચુ પીચુ	Machu Picchu
વિપશ્યના	Vipassanā
તેલંગાણા	Télangana
ટ્રાન્સપોર્ટ ફોર લંડન	Transport for London
ક્રિકેટનું મેદાન	Terrain de cricket
શ્રીમદ્ ભાગવતમ્	Bhagavata Purana
ટર્ફ મૂરે	Turf Moor
મહેન્દ્રગઢ જિલ્લો	District de Mahendragarh
પક્ષી અવલોકન	Observation ornithologique
બાતુ ગુફાઓ (મલેશિયા)	Grottes de Batu
વૃંદાવન	Vrindavan
રિંગટોન	Sonnerie téléphonique
વિકેટ કીપર	Gardien de guichet
માઉન્ટ આબુ	Mont Abu
ચોલામંડલમ	Grands temples vivants Chola
ભારતીય સંસદ	Parlement de l'Inde
તાપી નદી	Tapti
વર્ધમાન	Bardhaman
કલિંગનુ યુધ્ધ	Guerre du Kalinga
બસ્તી	District de Basti
૧૦૨ (અંક)	102 (nombre)
વાલ્મીકિ	Vâlmîki
લેડો રોડ	Route de Ledo
આર્ય સમાજ	Ārya-Samāj
વાંદરું	Semnopithecus
મુઝફ્ફર વંશ	Muzaffarides (Gujarat)
કાંગડા જિલ્લો	District de Kangra
ટિંડોળી	Coccinia grandis
ઋગ્વેદ	Rig-Véda
ગાયત્રી	Gāyatrī mantra
દેવરિયા જિલ્લો	District de Deoria
ગુજરાતી લિપિ	Alphasyllabaire gujarati
હઠ યોગ	Hatha yoga
વેરિસાઇન	Verisign
વીંજ	Civette indienne
જયપ્રકાશ નારાયણ	Jayaprakash Narayan
રાજમોહન ગાંધી	Rajmohan Gandhi
સ્ટીવ વોઘ	Steve Waugh
વિશ્વ સંભાષણ અક્ષમતા જાણકારી દિન	Journée mondiale de la sensibilisation à l'autisme
યેઘીશે ચારેન્ત્સ	Yéghiché Tcharents
હુગલી નદી	Hooghly
ગ્લોક પિસ્તોલ	Glock (pistolet)
કેદારનાથ	Kedarnath
ભારતીય જ્યોતિષવિદ્યા	Astrologie indienne
ડુંગરપુર	Dungarpur
ઇન્દૌર જિલ્લો	District d'Indore
ચિકમંગલૂર જિલ્લો	District de Chikmagalur
વેક્યૂમ પંપ	Pompe à vide
પુષ્કર	Pushkar
કાળો જળ કાગડો	Cormoran à cou brun
પાપલેટ માછલી	Bramidae
કોણાર્ક સૂર્ય મંદિર	Temple de Sûrya (Konârak)
કાયામ્બે (જ્વાળામુખી)	Cayambe
જળ માર્જર	Loutre à pelage lisse
તાંગ્ગુલા રેલ્વે સ્ટેશન (તિબેટ)	Gare de Tanggula
વિશ્વ સાક્ષરતા દિન	Journée internationale de l'alphabétisation
અશોક (વનસ્પતિ)	Arbre ashoka
માલદિવ્સ ના ટાપુઓ	Liste des atolls des Maldives
ભરૂચ	Bharuch
ભાગલપુર	Bhagalpur
ધ્રુવ હેલીકોપ્ટર	HAL Dhruv
અલીગઢ જિલ્લો	District d'Aligarh
સિંધુદુર્ગ જિલ્લો	District de Sindhudurg
દાંતનો વિકાસ	Développement dentaire
દક્ષિણ એશિયા	Asie du Sud
મહાદેવભાઇ દેસાઇ	Mahadev Desai
નૈનિતાલ	Nainital
ખેડા	Kheda
ગંજામ જિલ્લો	District de Ganjam
કપૂરથલા	Kapurthala
કંપની (કાયદો)	Compagnie (entreprise)
આઝમગઢ જિલ્લો	District d'Azamgarh
અઝટેક ચિત્રલિપિ	Écriture aztèque
દરજીડો	Couturière à longue queue
ભુસાવળ	Bhusawal
બિજનૌર	Bijnor
બીએસઈ સેન્સેક્સ	BSE Sensex
કાઠમંડુ જિલ્લો, નેપાળ	District de Katmandou
બાબર	Babur
ભુજ	Bhuj
કોયલ	Coucou koël
બનારસ હિંદુ યુનિવર્સિટી	Université hindoue de Bénarès
બનાસકાંઠા જિલ્લો	District de Banaskantha
વાંસવાડા જિલ્લો	District de Bansvara
શિન્તો	Shintoïsme
સમઘન	Cube
બીડ	Bid (Maharashtra)
બીડ જિલ્લો	District de Bid
બેલગામ જિલ્લો	District de Belgaum
કરુર	Karur
સામાજિક સાહસિકતા	Entrepreneuriat social
દ્વારકા	Dwarka
પત્તાદકલ	Pattadakal
તાલુકો	Tehsil
ગંગોત્રી	Gangotrî
સેન્ટ એન્ડ્રુ સ્ટેડિયમ	St Andrew's
ભારતીય રેલ	Indian Railways
બ્રાહ્મણ ગ્રંથો	Brahmana
જમ્મુ અને કાશ્મીરના મુખ્યમંત્રીઓ	Liste des Premiers ministres et des Ministres en chef du Jammu-et-Cachemire
પરશુરામ	Parashurama
વેબ ઓન્ટોલોજિ ભાષા	Web Ontology Language
નાનો કરકરીયો	Rousserolle isabelle
હવા મહેલ	Palais des vents
લાહૌલ અને સ્પીતી જિલ્લો	District de Lahul et Spiti
કથકલી	Kathakali
ચાતક	Coucou jacobin
સ્મૃતિ	Smriti
પુરુષનું પ્રજનનતંત્ર	Appareil reproducteur masculin
એસ્કેરિયાસિસ	Ascaridiose
ડાંગર	Rizière
નારદ મુનિ	Nârada
કચ્છનો અખાત	Golfe de Kutch
મછલીપટનમ	Machilipatnam
વિકિપીડિયાની યાદી	ISO 639-3
ભારતીય તારક કાચબો	Tortue étoilée d'Inde
શરણાઈ	Shehnai
ચંદ્રગુપ્ત પ્રથમ	Chandragupta Ier
ધોતીયું	Dhoti
દત્તાત્રેય	Dattātreya
બુંદેલખંડ	Bundelkund
વીઝેડ ૫૮	Sa Vz 58
અશ્વગંધા (વનસ્પતિ)	Withania somnifera
ભાગલપુર વિભાગ (પ્રમંડલ)	Division de Bhagalpur
કાલ ભૈરવ	Bhairava
ભજન	Bhajan
ભરતપુર જિલ્લો	District de Bharatpur
ભરૂચ જિલ્લો	District de Bharuch
ભાવનગર જિલ્લો	District de Bhavnagar
ભૃગુ	Bhrigu
વિશ્વ જનસંખ્યા દિન	Journée mondiale de la population
રુદ્ર	Rudra
ઝભ્ભો	Kurta
વરૂ	Canis indica
આંતરરાષ્ટ્રીય નૃત્ય દિવસ	Journée internationale de la danse
પાંડુ	Pandu
વીર્ય દાન	Don de sperme
વરાહમિહિર	Varahamihira
ચંદ્રપૂર	Chandrapur
બુંદી	Bundi (Inde)
ચામરાજનગર જિલ્લો	District de Chamarajanagar
રાજગીર	Rajgir
ઘોરાડ	Outarde à tête noire
ભારતનું પ્રવેશદ્વાર	Porte de l'Inde (Bombay)
નોબેલ પારિતોષિક વડે સન્માનીત મહિલાઓ	Liste des lauréates du prix Nobel
કાર્ડિફ સિટી સ્ટેડિયમ	Cardiff City Stadium
ટ્વેન્ટી20	Twenty20
ચૈતન્ય મહાપ્રભુ	Chaitanya Mahaprabhu
ઈટાવા	Etawah
વેળાવદર કાળિયાર રાષ્ટ્રીય ઉદ્યાન	Parc national de Velavadar
બ્લેકપૂલનો ટાવર	Tour de Blackpool
વસુદેવ	Vasudeva
દ્રોણ	Drona
કાંશીરામ નગર જિલ્લો	District de Kanshiram Nagar
બ્રહ્મોસમાજ	Brahmo Samaj
શૂદ્ર	Shudra
દહનશીલતા	Inflammabilité
તુમકુર	Tumkur
ખનીજ તેલનું ઉત્પાદન કરતા દેશોની યાદી	Liste des pays par production de pétrole
મદદ:સૂચિ	Aide:Sommaire
ટોંક જિલ્લો	District de Tonk
વેદાંગ	Védanga
લક્ષ્મણ	Lakshmana
પાપડ	Papadum
ઢોસા	Dosa
કનરા બુલબુલ	Bulbul à joues blanches
બિન-નિવાસી ભારતીય અને ભારતીય મૂળની વ્યક્તિ	Diaspora indienne
લઘુ ધિરાણ	Microfinance
અરડૂસી	Justicia adhatoda
ધ્રોલ	Dhrol
હોશિયારપુર	Hoshiarpur
એલેપ્પી જિલ્લો	District d'Alappuzha
ગણેશ ચતુર્થી	Ganesh Chaturthi
ગુના જિલ્લો	District de Guna
વિશ્વ રક્તદાન દિવસ	Journée mondiale du donneur de sang
સ્વામિનારાયણ	Swaminarayan
નાગલી	Éleusine
પદ્મભૂષણ	Padma Bhushan
શિંગોડા (ફળ)	Châtaigne d'eau chinoise
તીતર	Francolin gris
સિરોહી	Sirohi
લોટસ ટેમ્પલ, દિલ્હી	Temple du Lotus
મોહિનીયટ્ટમ	Mohiniattam
થાણા જિલ્લો	District de Thane
ભારતીય રિઝર્વ બેંક	Banque de réserve de l'Inde
સિલચર	Silchar
ભારતીય વિજ્ઞાન સંસ્થા	Indian Institute of Science
પર્યાવરણીય શિક્ષણ	Éducation à l'environnement et au développement durable
શાસ્ત્રીય ભાષા	Langue classique
પદ્મશ્રી	Padma Shri
શોલે	Sholay
કથક	Kathak
જીમ કોર્બેટ રાષ્ટ્રીય ઉદ્યાન	Parc national Jim Corbett
પાલનપુર	Palanpur
ગોરડ	Acacia Sénégal
કોહિમા જિલ્લો	District de Kohima
મિર્જાપુર	Mirzapur
કોપ્પલ જિલ્લો	District de Koppal
ફોર્બ્સ	Forbes (magazine)
ઈડલી	Idli
હસન જિલ્લો	District de Hassan
મલપ્પુરમ	Malappuram
વીણા	Vînâ
તુલસી	Ocimum tenuiflorum
વાંસળી	Bansurî
મારુતિ સુઝુકી	Maruti Suzuki
રોહતક જિલ્લો	District de Rohtak
ગૂડિસન પાર્ક	Goodison Park
યમનોત્રી	Yamunotri
કુરુક્ષેત્ર જિલ્લો	District de Kurukshetra
વર્ધા જિલ્લો	District de Wardha
ઇયાન બોથમ	Ian Botham
ફઇ ઝીઓ-તોગ	Fei Xiaotong
મૃણાલ સેન	Mrinal Sen
યુધિષ્ઠિર	Yudhishthira
ગોરખનાથ	Gorakhnath
કર્ટની વોલ્સ	Courtney Walsh
કોટા જિલ્લો	District de Kota
રાયબરેલી	Rae Bareli
વરૂણ	Varuna
પલક્કડ	Palakkad
તવાંગ	Tawang
સાગર	Sagar (Madhya Pradesh)
વઢવાણ	Wadhwan
મુનાર	Munnar
શિવગંગાઇ	Sivaganga
એર્નાકુલમ	Ernakulam
જૌનપુર	Jawnpur
શ્રવણબેલગોડા	Shravanabelagola
સુવર્ણપુર	Sonepur (Odisha)
પ્રતાપગઢ	Pratapgarh
ચક દે ઇન્ડિયા	Chak De ! India
મલપ્પુરમ જિલ્લો	District de Malappuram
હેલ બેરી	Halle Berry
અબાબીલ લટોરો	Langrayen brun
કરમદાં	Carissa carandas
જેટકનેક્ટ	JetLite
દ્રૌપદી	Draupadi
દરિયાઈ પ્રદૂષણ	Pollution marine
ચંબા જિલ્લો	District de Chamba
ચંબલ નદી	Chambal
આઇ એસ ઓ ૯૦૦૧	ISO 9001
ચામુંડા	Châmundâ
બલરામ	Balarâma
ઇન્દ્રરાજ	Arrenga de Malabar
કચ્છ જિલ્લો	District de Kutch
આંતરરાષ્ટ્રીય યુવાદિન	Journée internationale de la jeunesse
સેલહર્સ્ટ પાર્ક	Selhurst Park
ચાટ મસાલો	Chāt masālā
યોગસૂત્ર	Yoga-sûtra
ફિંગર ઇલેવન	Finger Eleven
છત્રપતિ શાહુજીમહારાજ નગર જિલ્લો	District d'Amethi
ચીપકો આંદોલન	Mouvement Chipko
કંસારો (પક્ષી)	Barbu à plastron rouge
ચિત્તોડગઢ જિલ્લો	District de Chittorgarh
વાલ	Lablab
તીર્થંકર	Tîrthankara
નવગ્રહ	Navagraha
અગન ચંડુલ	Alouette de Java
ચુરુ જિલ્લો	District de Churu
ભારતનો સ્વાતંત્ર્ય સંગ્રામ	Mouvement pour l'indépendance de l'Inde
ઓમકારેશ્વર	Omkareshwar
હરીયલ	Colombar commandeur
કાઠિયાવાડી ઘોડા	Kathiawari
લલિતપુર જિલ્લો, નેપાળ	District de Lalitpur (Népal)
કચ્છનું મોટું રણ	Rann de Kutch
જેકુઝી	Jacuzzi (entreprise)
પકોડી	Pakora
ક્રિકેટ વિશ્વ કપ ૨૦૦૭	Coupe du monde de cricket de 2007
લીડ્ઝ યુનાઈટેડ ફૂટબૉલ ક્લબ	Leeds United Association Football Club
લિવરપૂલ ફૂટબોલ ક્લબ	Liverpool Football Club
ટેક મહિન્દ્રા	Tech Mahindra
જયપુર જિલ્લો	District de Jaipur
સાતારા જિલ્લો	District de Satara
ડાંગ જિલ્લો	District de Dang (Gujarat)
ઈન્સીડ	Institut européen d'administration des affaires
સૂર્યનમસ્કાર	Salutation au Soleil
દાળ	Dal
પ્રજાસત્તાક દિન (ભારત)	Jour de la République (Inde)
પનીર	Panir
ક્રિકેટનો બૉલ	Balle de cricket
કોઝીક્કોડ જિલ્લો	Kozhikode (district)
સોમનાથ	Somnāth
મિર્જાપુર જિલ્લો	District de Mirzapur
પંચાયતી રાજ	Panchayat raj
ગોરખપુર જિલ્લો	District de Gorakhpur
હઠયોગ પ્રદીપિકા	Hatha yoga pradipika
આંતરરાષ્ટ્રીય પરીચારિકા દિવસ	Journée internationale des infirmières
ટાટા ઇન્ડિકા	Tata Indica
કુચિપુડી નૃત્ય	Kuchipudi
પુરી (વાનગી)	Puri (pain)
ઈન્ટરનેટ એક્ટીવિઝમ (ચળવળ)	Cybermilitantisme
ગોળ	Jaggery
દરભંગા વિભાગ (પ્રમંડલ)	Division de Darbhanga
વાઇસ સિટી	Vice City
દીક્ષાભૂમિ	Deekshabhoomi
ડેનિસ લીલી	Dennis Lillee
દતિયા	Datia
અગિયારશ	Ekadashi
સિગ પ્રો	SIG-Sauer Pro
સંભાર	Sambar (homonymie)
આહાર સુરક્ષા	Sécurité alimentaire
કુંભલગઢ	Kumbhalgarh
મીન રાશી	Poissons (astrologie)
પંચશીલના સિદ્ધાંતો	Accord de Panchsheel
નાયર	Nayars
નિશા ગણાત્રા	Nisha Ganatra
વન કાબર	Martin forestier
ધોલપુર	Dholpur (Inde)
ડુંગરપુર જિલ્લો	District de Dungarpur
દ્વાપરયુગ	Dvapara Yuga
વિક્રમાદિત્ય	Vikramâditya
દૂધી	Lagenaria siceraria
જમદગ્નિ	Jamadagni
નાનકશાહી પંચાંગ	Calendrier Nanakshahi
શનિદેવ	Shani
કમ્પ્યુટર નેટવર્ક	Réseau informatique
કરમદીનું લલેડુ	Timalie à ventre roux
કરાડ અબાબીલ	Hirondelle fluviatile
આકાશવાણી	All India Radio
સમય માપવાનાં સાધનોનો ઇતિહાસ	Histoire de la mesure du temps
વારાણસી જિલ્લો	District de Vārānasī
