अफ्रीका	Afrique
इटियाही	Itiyahi
पित्ताशय-उच्छेदन	Cholécystectomie
संगीतकार	Musicien
कालो धनेश	Calao pie
विसुनपुर्वा	Bishunpurwa
कम्युनिष्ट संघ	Ligue des communistes
ला निना	La Niña (météorologie)
हिमाली गिद्ध	Vautour de l'Himalaya
पिउरा	Torquéole à collier
सेतोटाउके चील	Milan sacré
सुनचश्मे फिस्टो	Seicercus
फुस्रेकण्ठे बगेडी	Bruant à cou gris
फाराबुन्दो मार्टि राष्ट्रिय मुक्ति मोर्चा	Front Farabundo Martí de libération nationale
फ्याउमुसो	Marmota bobak
अल इन्डिया अन्ना द्रविड मुनेत्र कडगम	All India Anna Dravida Munnetra Kazhagam
कुभिण्डो	Courge cireuse
जलकुम्भी	Pistia stratiotes
जेम्स एन्डरसन	James Anderson (cricket)
बाबरी मस्जिद	Mosquée de Babri
कोट्टायम	Kottayam
जुनिया	Juniya
हिजडा	Hijra (Inde)
कांगडा	Kangra
शिरिष	Albizia
दिल्ली विश्वविद्यालय	Université de Delhi
सिमोन येम	Simon Yam
मसूरी	Mussoorie
सन् २०७३	2073
विश्वका अग्ला हिमालहरू	Liste des plus hauts sommets
श्रीकाकुलम	Srikakulam
पद्म विभूषण	Padma Vibhushan
ड्रयु ब्यारिमोर	Drew Barrymore
माचू पिचू	Machu Picchu
विपश्यना	Vipassanā
इटाली राष्ट्रिय फुटबल टिम	Équipe d'Italie de football
तेलङ्गाना	Télangana
लुङ्गी	Longhi (vêtement)
भारतीय राष्ट्रपति भवन	Rashtrapati Bhavan
देउकौवा	Râle de forêt
नार	Nar (Népal)
कागभेला सुगा	Perruche à moustaches
श्रीमद्भागवत् पुराण	Bhagavata Purana
सत्यानासी झार	Argémone mexicaine
सिसहनीया	Sisahaniya (Bara)
पिपला	Poivrier long
मुनाल	Tragopan satyre
विधेयक	Proposition de loi
वृन्दावन	Vrindavan
अन्तर्राष्ट्रिय कृषि विकास कोष	Fonds international de développement agricole
गुरुमुखी लिपि	Gurmukhi
प्रसेप्ट्रोन	Perceptron
गिब्राल्टारको चट्टान	Rocher de Gibraltar
सन् २०९७	2097
समाजवादी विरुद्ध असाधारण कानुन	Lois antisocialistes
सिरु	Imperata cylindrica
ग्रेनिच	Borough royal de Greenwich
साँढे	Taureau
मार्च २०१२	Mars 2012
भारतीय संसद	Parlement de l'Inde
कोशी नदी	Kosi (rivière)
वामन अवतार	Vamana
सिपाही	Sepoy
पहेंलोखुट्टे गंगाचील	Goéland leucophée
तामे ढुकुर	Tourterelle orientale
आर्थ्रोस्कोपी	Arthroscopie
किलुङ्ग नदी	Keelung (rivière)
आधुनिक विश्वका सात आश्चर्यहरू	Sept nouvelles merveilles du monde
निया सलामिस फम्गुस्ता एफसी	Nea Salamina Famagouste
बस्ती जिल्ला	District de Basti
वाल्मीकि	Vâlmîki
शिक्रा	Épervier shikra
ढाँचा:Bubble tea	Thé aux perles
सिमल	Bombax
इटालीको संविधान	Constitution de l'Italie
लंगुर	Semnopithecus
अन्तर्राष्ट्रिय क्रिकेट परिषद	International Cricket Council
रसिया राष्ट्रिय फुटबल टिम	Équipe de Russie de football
दुख	Dukkha
सतिसाल	Dalbergia latifolia
दोहरी	Dohari
रूख चुइयाँ	Pipit à dos olive
नेपाली सेना	Forces armées népalaises
ऋग्वेद	Rig-Véda
झारल	Jharal
गायत्री	Gāyatrī mantra
१९८२ एशियाली खेल	Jeux asiatiques de 1982
महाकौशिक	Grand-duc du Népal
अ क्यारिबियन मिस्ट्री	Le major parlait trop
आर. माधवन	Madhavan
सुजी नाकामुरा	Shuji Nakamura
पाण्डुनयनी लेकचरी	Accenteur immaculé
बनरझुला	Banarjhula
चालु सम्पत्ति	Actif circulant
मर्जर	Fusion-acquisition
सिन्डी होप	Cindy Hope
ग्वाटेमाला गणतान्त्रिक मोर्चा	Front républicain guatémaltèque
देवरिया जिल्ला	District de Deoria
फरदीन खान	Fardeen Khan
डेमी डेलिया	Demi Delia
माथ्यु रिका	Matthieu Ricard
देवदास गान्धी	Devdas Gandhi
मनमोहन अधिकारी	Man Mohan Adhikari
खगेन्द्र थापा मगर	Khagendra Thapa Magar
जाँ ग्राभ	Jean Grave
फिलिप्पो तुरती	Filippo Turati
गुजराती लिपि	Alphasyllabaire gujarati
ए	Voyelle mi-fermée antérieure non arrondie
सानो निरबिरालो	Civette indienne
जयप्रकाश नारायण	Jayaprakash Narayan
मुक्ली	Mukali
बुद्ध एयर	Buddha Air
हासिम आमला	Hashim Amla
सेतोकण्ठे माटीकोरे	Martin-chasseur de Smyrne
मनाङ गाविस	Manang
कुमार संगाकारा	Kumar Sangakkara
रितेश देशमुख	Ritesh Deshmukh
रातोटाउके बौंडाई	Faucon chicquera
ठूलोखैरटवा	Thulo Khairatawa
पहरे बाँदर	Macaque d'Assam
दुम्रे	Dumre
गौर नगरपालिका	Gaur (Népal)
केदारनाथ	Kedarnath
खुकुरी	Khukuri
देवहाँस	Fuligule de Baer
ठूलो सिलसिले	Dendrocygne fauve
जुरे दुम्सी	Hystrix indica
अतिसूक्ष्म तरंग	Extrêmement basse fréquence
घरपालुवा हाँस	Canard domestique
डाँफे	Lophophore resplendissant
सुँगुरे भालु	Arctonyx collaris
अ मर्डर इज एनाउन्स्ड	Un meurtre sera commis le...
अचर फलन	Fonction constante
बीजीय फलन	Fonction algébrique
ब्राह्मण	Brahman
कोङ्मा हिउँकुखुरा	Tétraogalle du Tibet
गोब्रेसल्ला	Pin de l'Himalaya
पुस्कर	Pushkar
इन्टरनेट सोसाइटी	Internet Society
रातो शिरिष	Albizia julibrissin
करेत	Bungarus
हुटिट्याउँ	Vanneau indien
'सलिम'स लट	Salem (roman)
लामाऔंले	Jacana bronzé
बाथज्वरो	Rhumatisme articulaire aigu
लेकाली मलेवा	Pigeon des rochers
खैरो ओत	Loutre à pelage lisse
पौरी बाज	Fauconnet à collier
माला	Guirlande
टिमुर	Poivre du Sichuan
बाङ्ला लिपि	Alphasyllabaire bengali
ठुलो निरबिरालो	Viverra zibetha
अशोक वृक्ष	Arbre ashoka
आँखाको शल्यक्रिया	Chirurgie oculaire
अगस्त २०१२	Août 2012
पचमुखे	Xanthosoma
कालोटाउके मुनियाँ	Capucin à tête noire
अलीगढ जिल्ला	District d'Aligarh
क्याम्बोडिया जनता पार्टी	Parti du peuple cambodgien
सानो तामे बाँसमुसो	Cannomys badius
मेहंदी	Mehndī
निकोलाइ मिखाइलोभ्स्की	Nikolaï Mikhaïlovski
दक्षिण एसिया	Asie du Sud
रुगा	Ruga (Népal)
ठूलो माकुरीचरी	Grand Arachnothère
पीतकृष्ण महाँठुँड	Gros-bec noir et jaune
लालकण्ठे पिउरा	Torquéole à gorge rousse
रमन म्याग्सेसे पुरस्कार	Prix Ramon Magsaysay
रायपुर, सप्तरी	Rayapur (Saptari)
भारद्वाज (चरा)	Alouette d'Assam
अधिकार	Droits et libertés
स्टिभ फोर्ब्स	Steve Forbes
अष्ट्रीयन एयरलाइन्स	Austrian Airlines
चिरान्तक बाज	Faucon aldrovandin
कुमछिर्के कुथुर्के	Barbu à tête brune
कम्पनी	Compagnie (entreprise)
बीएमसी रेसिङ्ग टीम	Équipe cycliste BMC Racing
फलन	Fonction
राजेन्द्र विक्रम शाह	Rajendra Bir Bikram Shah Dev
सानो ढाडेमुसा	Bandicota bengalensis
बार्थोलिन ग्रन्थी	Glande de Bartholin
सुन्तलेछाती हलेसो	Colombar à double collier
द्रोणक चील	Aigle noir (oiseau)
सुनटाउके फिर्फिरे	Cisticole à couronne dorée
कांकीर	Zostérops oriental
पातसिउने फिस्टो	Couturière à longue queue
हारील ढुकुर	Colombine turvert
कल्की बसेरा	Autour huppé
अंडमान अनि निकोबार द्वीपका जिल्लाहरु	Liste des districts des îles Andaman et Nicobar
अहिल्या	Ahalya
भुसावल	Bhusawal
काठमाडौं जिल्ला	District de Katmandou
वृतासुर	Vritra
बाबर	Babur
बेलि ब्रिज	Pont Bailey
काशी हिन्दू विश्‍वविद्यालय	Université hindoue de Bénarès
बन्दीपुर	Bandipur
बंगलादेश राष्ट्रिय क्रिकेट टिम	Équipe du Bangladesh de cricket
बर्दिया राष्ट्रिय निकुञ्ज	Parc national de Bardia
खरमुजुर	Outarde du Bengale
कालोकुरो	Bidens pilosa
जुन २०१२	Juin 2012
मे २०१२	Mai 2012
हुचिल	Grand-duc indien
संयुक्त गर्भनिरोघक चक्की	Pilule combinée
गंगोत्री	Gangotrî
ओपेरा मिनी	Opera Mini
अस्थि विज्ञान	Ostéologie
भारतीय रेल	Indian Railways
राजतितु	Roselin tacheté
प्रगतिवाद	Progressisme
चिली समाजवादी पार्टी	Parti socialiste du Chili
पोर्टो प्रिन्सिस भूमिगत नदी राष्ट्रिय निकुञ्ज	Parc national de la rivière souterraine de Puerto Princesa
परशुराम अवतार	Parashurama
भिरगौंडी	Coix lacryma-jobi
सेतोपुच्छ्रे हुटिट्याउँ	Vanneau à queue blanche
लस्सी	Lassi
सानो ट्याकट्याके	Rousserolle isabelle
मलाहा हुचील	Kétoupa brun
बेसीसहर नगरपालिका	Besisahar
इभ	Ève
मझौला माटीकोरे	Martin-pêcheur de Blyth
लरवान	Lerva des neiges
बोमन इरानी	Boman Irani
एर्फर्ट कार्यक्रम	Programme d'Erfurt
शिशु मृत्युदर	Mortalité infantile
भारत कम्युनिष्ट पार्टी	Parti communiste d'Inde
धर्के मुसेफिस्टो	Locustelle lancéolée
मंगलको उपनिवेशन	Colonisation de Mars
शेबेरघन	Chéberghân
रोम सन्धि	Statut de Rome
नास्पाती	Nashi
इरिटेबल बउल सिन्ड्रोम	Syndrome de l'intestin irritable
कथकली	Kathakali
कोचलगाँडे लाटोकोसेरो	Chevêche brame
चिबे	Dicruridae
हरिहाँस	Anserelle de Coromandel
चिलिमे (चरा)	Ithagine ensanglantée
नादुन हाँस	Canard à bec tacheté
कन्नड लिपी	Alphasyllabaire kannada
राष्ट्रिय प्रजातान्त्रिक एकता	Rassemblement national démocratique (Algérie)
कोइरालो	Bauhinia variegata
कालिज	Faisan leucomèle
स्मृति	Smriti
हिमाली मलेवा	Pigeon des neiges
पुरुष प्रजनन प्रणाली	Appareil reproducteur masculin
ग्लूकोमीटर	Glucomètre
जनसंख्याको आधारमा शहरहरुको सूची	Liste des villes par population
भक्तपुर	Bhaktapur
स्त्री प्रजनन प्रणाली	Appareil reproducteur féminin
सानो सुँगुरे भालु	Melogale personata
सन् २०६१	2061
मछलीपट्टनम	Machilipatnam
लागर बाज	Faucon laggar
लामाऔंले जलरङ्क	Bécasseau à longs doigts
महाजनपद	Mahajanapadas
अवर्धनात्मक रक्त अल्पता	Insuffisance médullaire
गुलाम वंश	Dynastie des esclaves
सहनाई	Shehnai
भेनेजुएला कम्युनिष्ट पार्टी	Parti communiste du Venezuela
मीमांसा	Mîmâmsâ
धूपी महाँठुँड	Gros-bec à ailes blanches
कालीगण्डकी नदी	Gandaki (rivière)
चन्द्रगुप्त	Chandragupta Ier
ज्याकेट	Veste
दत्तात्रेय	Dattātreya
सादाकण्ठे मुसेफिस्टो	Locustella
पहाडी श्येनबाज	Buse de Chine
सेम	La Honte (roman)
अश्वगन्धा	Withania somnifera
यौनकर्मी	Travailleur du sexe
आमसञ्चार	Communication de masse
घोवा	Procapra picticaudata
संयुक्त राष्ट्रका स्वतंत्र संस्थाहरु	Système des Nations unies
भागलपुर प्रमण्डल	Division de Bhagalpur
काल भैरव (काठमाडौं)	Bhairava
भक्ति योग	Bhakti yoga
एयरटेल	Bharti Airtel
भृकुटी	Bhrikuti
गुर्जो	Menispermaceae
नांदेड़	Nanded
पेपरोनी	Pepperoni
विश्व जनसंख्या दिवस	Journée mondiale de la population
विद्यूतीय प्रजातन्त्र	Cyberdémocratie
कुर्था सुरुवाल	Kurta
कालपेचक	Ninoxe hirsute
फुन्छोलिङ्ग	Phuntsholing
भृङ्गीराज	Mahakanni
शुक्राणु दान	Don de sperme
भेडेकुरो	Lampourde d'Orient
हिमाली धर्के लोखर्के	Tamiops macclellandi
अ थाउजेन्ड स्पेलेन्डिड् सनस्	Mille soleils splendides
घनमूल	Cube (algèbre)
सानो खैरो गिद्ध	Vautour à long bec
ठूलो माटीकोरे	Martin-chasseur gurial
सिमकुखुरा	Râle à poitrine blanche
छिर्के कुथुर्के	Barbu rayé
पूर्वोत्तर भारत	Nord-Est de l'Inde
लामोठुँडे माकुरीचरी	Petit Arachnothère
टि-ब्याग	Sachet de thé
वालडेन	Walden ou la Vie dans les bois
राजगीर	Rajgir
जैतुन (रङ्ग)	Olive (couleur)
कल्प	Kalpa (temps)
रेसम खेती	Sériciculture
जवाहरलाल नेहरू रंगशाला, दिल्ली	Jawaharlal Nehru Stadium (Delhi)
नोबेल पुरस्कार विजेता महिलाहरूको सूची	Liste des lauréates du prix Nobel
वीरेन्द्रनगर नगरपालिका	Birendranagar
गर्दनथोप्ले लाहाँचे	Pic sultan
ट्वान्टी२०	Twenty20
एनडीएम-१	New Delhi métallo-beta-lactamase
चैतन्य महाप्रभु	Chaitanya Mahaprabhu
फाहिता	Fajita
कैलकोखे चुइयाँ	Pipit d'Amérique
भगांकुर	Clitoris
पाकेटमार	Vol à la tire
यौन दासत्व	Esclavage sexuel
विकिपीडिया समुदाय	Communauté wikipédienne
इन्चिलाडा	Enchilada
नेपालका अञ्चलहरू	Zones du Népal
मायादेवी	Māyā (reine)
इटावा	Etawah
कैलो लाहाँचे	Pic grantia
मधुमक्षी भक्षका	Guêpier à barbe bleue
पृथ्वी वीर विक्रम शाह	Prithvi Bir Bikram Shah
बौद्धनाथ	Bodnath
द्रोणाचार्य	Drona
सन् २०७५	2075
सन् २०७६	2076
सन् २०७७	2077
सन् २०७८	2078
सन् २०७२	2072
सन् २०७४	2074
सन् २०६९	2069
सन् २०६८	2068
सन् २०६७	2067
सन् २०७१	2071
सन् २०६५	2065
सन् २०६६	2066
सन् २०७०	2070
काशीरामनगर जिल्ला	District de Kanshiram Nagar
पब्लिक कम्पनी	Société anonyme avec appel public à l'épargne
ब्रह्मचर्य	Brahmacharya
अग्नि रेखा	Pare-feu (lutte contre l'incendie)
फोक्रास	Eulophe koklass
रणवीर सिंह	Ranveer Singh
हिउँदे चुइयाँ	Pipit de Richard
जनता दल (संयुक्त)	Janata Dal (United)
रातोठुँडे पुष्पकोकिल	Dicée à bec rouge
राई जाति	Rai (peuple)
कागती (रङ्ग)	Lime (couleur)
खाद्य सुरक्षा	Hygiène des aliments
हिमाली वनलोखेर्के	Dremomys
साल	Sal (plante)
मुल्तानी माटो	Argile smectique
२०११ क्रिकेट विश्वकप	Coupe du monde de cricket de 2011
नक्सलवादी आन्दोलन	Naxalisme
डुन्डुल	Chevêchette de jungle
वेस्ट इन्डिज राष्ट्रिय क्रिकेट टिम	Équipe des Indes occidentales de cricket
तृणमूल कांग्रेस	All India Trinamool Congress
लामठुँडे राजपुत्रिका	Pluvier à long bec
टुइँसी सुगा	Perruche à tête prune
मद्दत:सहायता विषयसूचि	Aide:Sommaire
थान्का	Thangka
वेदांग	Védanga
राज लोखर्के	Écureuil géant oriental
पापड	Papadum
खिलजी वंश	Dynastie des Khaldjî
घाटगाउँ	Ghat Gaun
तार्के जुरेली	Bulbul à joues blanches
हिमाली फ्याउमुसो	Marmota himalayana
बमनगामाकट्टी	Bamangamakatti
कनकासुन्दरी	Kanakasundari
महालङ्गुर हिमश्रृङ्खला	Mahalangur Himal
होमराई	Calao à cou roux
साल्दाङ	Saldang
धृतराष्ट्र	Dhritarashtra
हिउँ नृत्य	Danse sur glace
असुरो	Justicia adhatoda
होशियारपुर	Hoshiarpur
गणेश चतुर्थी	Ganesh Chaturthi
दालभात	Dal bhat
भोजपत्र	Betula utilis
घनश्याम पाण्डे	Swaminarayan
कोदो	Éleusine
भासोलूक	Grand-duc de Coromandel
पद्मभूषण	Padma Bhushan
पानीगौंथली	Glaréole lactée
भार्का चाहा	Bécassine solitaire
उत्क्रोशी फ्यालफ्याले	Sterne à ventre noir
खयर	Acacia à cachou
ढोलक	Dholak
कैलाशमाण्डौ	Kailashmandau
अल्मोदोबार	Almodôvar
हितोमी कोबायासी	Hitomi Kobayashi
कपिञ्जल तित्रा	Francolin gris
कांडा	Kanda (Bajura)
सिरोही	Sirohi
कमल मंदिर	Temple du Lotus
कालासयवालहरू	Cent-Noirs
मोहिनीअट्टम	Mohiniattam
काँसी अमला	Girembellier
लिन्ड्से मिडोस	Lindsey Meadows
छनक बट्टाई	Caille nattée
सनी देओल	Sunny Deol
सिलचर	Silchar
सल्यान, सोलुखुम्बु	Salyan (Solukhumbu)
फेन्टम	Le Fantôme (bande dessinée)
ध्वाँसे चिबे	Drongo à ventre blanc
सरसफाइ	Assainissement
कथक	Kathak
पालनपुर	Palanpur
इलाम नगरपालिका	Ilam (Népal)
जुरे गौंथली	Hémiprocné couronné
रबिन लेकचरी	Accenteur rougegorge
काउसो	Pois mascate
बाणगंङ्गा	Kapilavastu
चुवा (वनस्पति)	Plumeria obtusa
फोर्ब्स	Forbes (magazine)
खोले हुटिट्याउँ	Vanneau pie
कर्नाटक संगीत	Musique carnatique
इजाबेल आइस	Isabel Ice
अनुमा सित्थिरक	Onuma Sittirak
तुलसी	Ocimum tenuiflorum
गोडैता	Godeta
बाँसुरी	Bansurî
दिल्लिचौर	Dillichaur
पंतनगर	Pantnagar
गुगल कोड	Google Code
प्रजनन (फर्टिलिटी)	Fertilité
राजकपोत	Carpophage à manteau brun
चारघरे	Charghare
कम्युनिष्ट पार्टी (स्वीडेन)	Parti communiste (Suède)
खाँबु	Khanbu
मिक्सोडेमा	Myxœdème
काठमाडौं उपत्यका	Vallée de Katmandou
आइसिसी च्याम्पियन्स ट्रफी	Trophée des champions de l'ICC
सन् २०८६	2086
सन् २०८७	2087
सन् २०८८	2088
सन् २०९८	2098
सन् २०८०	2080
सन् २०९३	2093
सन् २०९२	2092
सन् २०८१	2081
सन् २०९०	2090
सन् २०९९	2099
सन् २०९६	2096
सन् २०९५	2095
झाँझर चिउवा	Bec-en-ciseaux à collier
सन् २०९१	2091
सन् २०८५	2085
सन् २०८३	2083
सन् २०८४	2084
लेप्चा	Lepchas
सुइरोपुच्छ्रे हलेसो	Colombar à longue queue
नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी)	Parti communiste du Népal (marxiste-léniniste) (2002)
सूत्र	Formule (mathématiques)
आइसिसी वर्ल्ड ट्वान्टी२०	ICC World Twenty20
दोयम हुटिट्याउँ	Vanneau de Malabar
ढाँचा:ज्ञानसन्दूक फिलिम	Lage Raho Munna Bhai
गारफिल्ड सोबर्स	Garfield Sobers
रघुराम राजन	Raghuram Rajan
युधिष्ठिर	Yudhishthira
नेपाली नागरिक	Démographie du Népal
सूर्यबहादुर थापा	Surya Bahadur Thapa
जोनी लिवर	Johnny Lever
सेनानी	Major
पॉण्डिचेरीका जिल्लाहरु	District de Pondichéry
कुमधर्के तितु	Roselin d'Edwards
रक्तनली	Vaisseau sanguin
मुद्रा सटही	Changeur
२०१२ आइसिसी वर्ल्ड ट्वान्टी-ट्वान्टी	ICC World Twenty20 2012
हिउँटाउके बगेडी	Bruant de Stewart
गाजले लेकचरी	Accenteur brun
बाख्रे जुरेली	Bulbul noir
छिरबिरे वनपरेवा	Pigeon de Hodgson
रायबरेली	Rae Bareli
पंखथोप्ले महाँठुँड	Gros-bec à ailes tachetées
रकेट महोत्सव	Fête des fusées
लालवदन तितु	Roselin vineux
बुरुली अल्सर	Ulcère de Buruli
बल्ड्याङ्ग्रा	Caesalpinia bonduc
चिकबलपुर	Chikkaballapur
एकीकृत राष्ट्रिय कंग्रेस	Congrès national uni
नेपालगञ्ज उपमहानगरपालिका	Nepalganj
मुक्तिनाथ	Muktinath
नगरकोट	Nagarkot
जौनपुर	Jawnpur
प्रतापगढ जिल्ला	Pratapgarh
ढाँचा:Location map Sri Lanka	Modèle:Géolocalisation/Sri Lanka
घ्याम्पे रूख	Ceiba speciosa
इभा हेङ्गर	Éva Henger
विपरीत लैङ्गिकता	Hétérosexualité
मदना सुगा	Perruche de l'Himalaya
अल्ताई लेकचरी	Accenteur de l'Himalaya
शीताङ्ग	Hypothermie
झिङ्गे माछा	Nephropidae
चार्ली हेब्डो	Charlie Hebdo
तेन्जिङ-हिलारी विमानस्थल	Aéroport Tenzing-Hillary
मोबाइल इन्टरनेट	Web mobile
सन् २०६४	2064
सन् २०६३	2063
सन् २०६२	2062
राजहुटिट्याउँ	Vanneau à tête grise
कालोटाउके माटीकोरे	Martin-chasseur à coiffe noire
राक्षस	Rakshasa
वाट्सऐप	WhatsApp
गुलाबी ताल	Lac Pink
कोज प्रमेय	Théorème de Coase
माछापुच्छ्रे हिमाल	Machapuchare
पुरुष	Purusha
केन्द्रीय अन्वेषण ब्यूरो	Bureau central d'enquête
साधारण भाषा दर्शन	Philosophie du langage ordinaire
द्रौपदी	Draupadi
मुसे लेकचरी	Accenteur à poitrine rousse
पाटागोनियन मरुभूमि	Steppe patagonienne
चामुण्डा	Châmundâ
मधुमालती फूल	Quisqualis indica
पेटिकोट	Jupon
शाक्य	Shakya (clan)
रणबीर कपुर	Ranbir Kapoor
हिमाली पिउरा	Perdrix de Hodgson
सिरक	Courtepointe
कुमारी ( जीवित देवी)	Kumari (déesse)
टीमभ्यूअर	TeamViewer
लघु महाचील	Aigle lancéolé
सूचना प्रौद्योगिकी संस्थान LNM	Réseau de télécommunications
ठूलो डुन्डुल	Chevêchette cuculoïde
माछाकुल	Pygargue à tête grise
मिलचरा	Barbu à plastron rouge
बौद्ध धर्ममा पञ्चशील	Cinq Préceptes
चितवन राष्ट्रिय निकुञ्ज	Parc national de Chitawan
चित्रक पिट्टा	Brève à capuchon
मिश्रको सशस्त्र बल	Forces armées égyptiennes
महाविद्या	Mahâvidyâ
सिलाम	Perilla frutescens
धर्मशास्त्र	Dharmashastra
घोल कस्दरी	Marouette brune
सफ्टवेयर स्वतन्त्रता	Mouvement du logiciel libre
साधारण सभा	Assemblée générale des actionnaires
टाटे सिमी	Lablab
नेपाल अधिराज्य	Royaume du Népal
डाना वेसपोली	Dana Vespoli
बाह्य भगोष्ठ	Grande lèvre
छुर्पी	Chhurpi
पीतनिर्गम पुष्पकोकिल	Dicée cul-d'or
सोफिया रोसी	Sophia Rossi
भारतीय स्वतन्त्रता संग्राम	Mouvement pour l'indépendance de l'Inde
ॐकारेश्वर	Omkareshwar
हलेसो	Colombar commandeur
भारतका शहरहरुको सूची	Liste des villes d'Inde
द पिल्ग्रिमेज	Le Pèlerin de Compostelle
टी.एन.टी एक्सप्रेस	TNT Express
ललितपुर जिल्ला	District de Lalitpur (Népal)
ऐतरेय उपनिषद्	Aitareya Upanishad
कठोपनिषद्	Katha Upanishad
कटुसवदन माटीकोरे	Martin-chasseur violet
मरिचमान सिंह श्रेष्ठ	Marich Man Singh Shrestha
अण्ड दान	Donneuse d'ovule
तुगलक वंश	Dynastie des Tughlûq
नक्षत्र	Nakshatra
आँदो	Indotyphlops braminus
लिभरपुल फुटबल क्लब	Liverpool Football Club
कोक्रो	Berceau
टेस्ट क्रिकेट	Test cricket
तराई	Terraï
दार्जीलिङ जिल्ला	District de Darjeeling
रोगन जोस	Rogan Josh
सौर्य पानी हिटर	Chauffe-eau solaire
भेरोनिका डिसाइडस् टु डाइ	Veronika décide de mourir (roman)
भारतमा गणतन्त्र दिवस	Jour de la République (Inde)
नुप्त्से	Nuptse
पनीर	Panir
१९७९ क्रिकेट विश्वकप	Coupe du monde de cricket de 1979
१९७५ क्रिकेट विश्वकप	Coupe du monde de cricket de 1975
१९८३ क्रिकेट विश्वकप	Coupe du monde de cricket de 1983
१९८७ क्रिकेट विश्वकप	Coupe du monde de cricket de 1987
१९९६ क्रिकेट विश्वकप	Coupe du monde de cricket de 1996
१९९२ क्रिकेट विश्वकप	Coupe du monde de cricket de 1992
२०१५ क्रिकेट विश्वकप	Coupe du monde de cricket de 2015
मइमी यजिमा	Maimi Yajima
संयुक्त राष्ट्रसंघीय आर्थिक र सामाजिक आयोग एसिया र प्रशान्त	Commission économique et sociale pour l'Asie et le Pacifique
नामिबिया राष्ट्रिय क्रिकेट टिम	Équipe de Namibie de cricket
जैर	Jaïr
भारत राष्ट्रिय क्रिकेट टिम	Équipe d'Inde de cricket
न्युजिल्यान्ड राष्ट्रिय क्रिकेट टिम	Équipe de Nouvelle-Zélande de cricket
सोमनाथ मन्दिर	Somnāth
मीर्जापुर जिल्ला	District de Mirzapur
गोरखपुर जिल्ला	District de Gorakhpur
स्वयम्भूनाथ	Swayambunath
तामाङ जाति	Tamang
अन्तर्राष्ट्रिय नर्सिङ दिवस	Journée internationale des infirmières
गरम मसला	Curry
सर्पगन्धा	Rauvolfia serpentina
कलकत्ता विश्वविद्यालय	Université de Calcutta
हिमालचुली	Himalchuli
दुर्गा पूजा	Durgā pūjā
रात्रीकमिज	Chemise de nuit
पुरी (खाना)	Puri (pain)
जवाहरलाल नेहरू विश्वविद्यालय	Université Jawaharlal-Nehru
धर्ना	Sit-in
असारे फूल	Lagerstroemia indica
भुक्तानी	Moyen de paiement
चुक्चुके चैतेचरा	Engoulevent indien
आगम बौद्ध	Agama (sanskrit)
अशोक स्तंभ , दिल्ली	Piliers d'Ashoka
रिना नाकानिसी	Rina Nakanishi
दक्ष प्रजापति	Daksha
सिसौ	Dalbergia sissoo
डमरू	Damaru
दान	Dāna
जून सूची	Liste de Juin (Suède)
मलयालम लिपि	Alphasyllabaire malayalam
दरभंगा प्रमण्डल	Division de Darbhanga
दशरथ रंगशाला	Stade Dasarath Rangasala
जुरे बगेडी	Bruant huppé
दतिया	Datia
फेवा ताल	Lac Phewa
हिन्दू धर्मको इतिहास	Histoire de l'hindouisme
नेपाली व्यञ्जन	Cuisine népalaise
विकेट	Guichet (cricket)
एकादशी	Ekadashi
विकिपीडिया:नेपाली दूतावास	Wikipédia:Ambassade
अ स्क्यानर डार्क्ली	Substance mort
द फिफ्थ् माउन्टेन	La Cinquième Montagne
डेस्टिनेसन अननोअन (उपन्यास)	Destination inconnue (roman)
अरबाज खान	Arbaaz Khan
आई ईजिमा	Ai Iijima
फेटावाल लंगुर	Semnopithecus hector
जनवरी २०१३	Janvier 2013
ध्यान (बौद्ध)	Méditation bouddhique
ढोल	Dohol
राजघाट समाधि परिसर	Raj Ghat
महिलारोग शास्त्र	Gynécologie
डिम्बबाहिनी नली	Trompe utérine
इसाई जनता पार्टी	Parti populaire chrétien (Pérou)
रानी	Queen (homonymie)
परिमेय संख्या	Nombre rationnel
विमानस्थल	Aéroport
सुजे	Suse
पञ्चशील	Accord de Panchsheel
नयाँ लोकतान्त्रिक पार्टी (सेन्ट भिन्सेन्ट र ग्रेनाडिन्स)	Nouveau Parti démocratique (Saint-Vincent-et-les-Grenadines)
कुक्लुङ्ग	Barbu de Franklin
चींचिका गौंथली	Salangane de l'Himalaya
ठूलो बगरबट्टाई	Grand Œdicnème
कुथुर्के	Barbu à gorge bleue
सतार जाति	Santals
चाँदीढाडे गौंथली	Martinet de Cochinchine
लोखर्के उल्लू	Petit-duc d'Orient
तामे लाहाँचे	Pic à oreillons rouges
सिम तित्रा	Francolin multiraie
सेतोगर्दने लाहाँचे	Pic de Goa
धर्के गट्टेबट्टाई	Turnix combattant
पहाडी शदलचील	Aigle montagnard
सारौं	Martin forestier
वन चाहा	Bécassine des bois
गैरीकलाव बट्टाई	Perdicule rousse-gorge
लेकाली उल्लू	Petit-duc tacheté
न्याउली	Barbu géant
खैरोटाउके काष्ठकुट	Pic à tête jaune
बेसरा	Épervier besra
सानो वन गौंथली	Martinet indien
तीनऔंले लाहाँचे	Pic de Shore
राजलाहाँचे	Pic meunier
