Aprika	Afrique
Grup:Ol kapitol bilong Esia	Catégorie:Capitale d'Asie
Grup:Ol tokples bilong Vanuatu	Catégorie:Langue du Vanuatu
Grup:Ol tokples bilong Papua Niugini	Catégorie:Langue de Papouasie-Nouvelle-Guinée
Templet:CompactTOC	Modèle:Compacttoc
Templet:FOTW	Modèle:FOTW
Templet:H:title	Modèle:H:title
Templet:WAL	Modèle:Pays de Galles
Templet:Country data Spain	Modèle:Country data Espagne
Templet:User tpi-3	Modèle:Utilisateur tpi-3
Templet:User info	Modèle:Info utilisateur
Templet:Country data Canada	Modèle:Country data Canada
Templet:Flag	Modèle:Pays
Templet:Country data Anguilla	Modèle:Country data Anguilla
Templet:Country data Burma	Modèle:Country data Birmanie
Templet:Country data Cocos (Keeling) Islands	Modèle:Country data Îles Cocos
Templet:Country data Isle of Man	Modèle:Country data Île de Man
Templet:Country data Singapore	Modèle:Country data Singapour
Templet:Tok-pl	Modèle:Lang-pl
Saina (kainkain mining)	China
Trojany	Trojany (Mazovie)
Grup:Ol kantri long Esia	Catégorie:Pays d'Asie
Grup:Ol kantri long Amerika	Catégorie:Pays d'Amérique
Templet:Tok-is	Modèle:Lang-is
Grup:Westen Provins	Catégorie:Province ouest
Grup:Westen Hailans	Catégorie:Hautes-Terres méridionales
Grup:Ol plak templet	Catégorie:Modèle du système Country
Grup:Bogenvil	Catégorie:Bougainville
Grup:Sentral Provins	Catégorie:Province centrale
Grup:Is Niu Briten	Catégorie:Nouvelle-Bretagne occidentale
Grup:Is Sepik	Catégorie:Sepik oriental
Grup:Isten Hailans	Catégorie:Hautes-Terres occidentales
Grup:Enga	Catégorie:Enga
Templet:Precision	Modèle:Precision/tz
Grup:Gulf	Catégorie:Province du Golfe
Grup:Aialan	Catégorie:Irlande (île)
Grup:Linux	Catégorie:Linux
Grup:Madang	Catégorie:Madang
Grup:Manus	Catégorie:Manus
Halivim:Disembigyuesen	Aide:Homonymie
Grup:Milen Be	Catégorie:Baie Milne
Grup:Sandaun	Catégorie:Sandaun
Grup:Oro	Catégorie:Province nord
Grup:Simbu	Catégorie:Simbu
Grup:León provins	Catégorie:Province de León
Grup:Valencia provins	Catégorie:Province de Valence
Grup:Burgos provins	Catégorie:Province de Burgos
Grup:Kala	Catégorie:Couleur
Grup:Ol yunit bilong taim	Catégorie:Unité de temps
Grup:Alicante provins	Catégorie:Province d'Alicante
Grup:Morobe	Catégorie:Morobe
Grup:Niu Ailan	Catégorie:Nouvelle-Irlande
Grup:Politikis long Osenia	Catégorie:Politique en Océanie
Templet:EUR	Modèle:Union européenne
Grup:Ol siti na taun	Catégorie:Ville
Grup:Wes Niu Briten	Catégorie:Nouvelle-Bretagne orientale
Grup:Yusa tpi-0	Catégorie:Utilisateur tpi-0
Grup:Yusa en-1	Catégorie:Utilisateur en-1
Grup:Yusa de-1	Catégorie:Utilisateur de-1
Grup:Protected templates	Catégorie:Modèle protégé
Templet:Nowrap begin	Modèle:Nowrap begin
Templet:Start date	Modèle:Date début
Templet:Ol taun bilong León provins	Modèle:Palette Communes de la province de León
Templet:Begin flag row	Modèle:Début ligne drapeau
Templet:User dsb-1	Modèle:Utilisateur dsb-1
Templet:User hu-2	Modèle:Utilisateur hu-2
Templet:User th-2	Modèle:Utilisateur th-2
Templet:User tpi-1	Modèle:Utilisateur tpi-1
Templet:User hu-4	Modèle:Utilisateur hu-4
Templet:End flag row	Modèle:Fin ligne drapeau
Templet:End flag gallery	Modèle:Fin galerie drapeau
Templet:User hu-3	Modèle:Utilisateur hu-3
Templet:User tpi-4	Modèle:Utilisateur tpi-4
Templet:User no-5	Modèle:Utilisateur no-5
Templet:User tpi-2	Modèle:Utilisateur tpi-2
Templet:Yunaitet Kingdom ol konstituent na afiliesion	Modèle:Palette Royaume-Uni
Templet:Style/IPA	Modèle:Style/IPA
Templet:Style/yid	Modèle:Style/yid
Templet:Country data Cameroon	Modèle:Country data Cameroun
Kampung Titingan	Kampung Titingan
Sipesol:Nupela senis	Spécial:Modifications récentes
Jovian	Jovian
