Afraga	Afrique
Salm 68	Psaume 68 (67)
Fish Holm	Fish Holm
Deòrsa Mac Iain Dheòrsa	George Campbell Hay
Tomás Gómez Franco	Tomás Gómez
Àite nan Sùbhagan-Craoibh	Framboise (Cap-Breton)
10an	Années 10
Baile Udain	Uddingston
Jorge Holguín Jaramillo	Jorge Holguín
Santos Acosta Castillo	Santos Acosta
Julián Trujillo Largacha	Julián Trujillo Largacha
Manuel Antonio Sanclemente	Manuel Antonio Sanclemente
José Vicente Concha	José Vicente Concha
Punc Gàidhlig	Gaelic punk
Gallaicis	Gallaïque
Stèisean Dhùn Dèagh	Gare de Dundee
South Havra	South Havra
Hascosay	Hascosay
Samphrey	Samphrey
Eilean a' Chlèirich	Priest (Écosse)
Eilean Mhoire	Lady Isle
Balley Keeil Eoin	Saint John's (île de Man)
Llandegla	Llandegla
Glasbaidh	Glace Bay
Glas-leac Beag	Glas-leac Beag
Glas-leac Mòr	Glas-leac Mòr
Gleann na Cille	Glenkiln
Gloup Holm	Gloup Holm
Lobith	Lobith
Pran	Pran
Ceann na Creige	Kennacraig
Groot-Ammers	Groot-Ammers
Grunay	Grunay
Baile Mhainisdeir	Guysborough
William Forbes Skene	William Forbes Skene
Haaf Gruney	Haaf Gruney
Hansford, Alba Nuadh	Hansford (Nouvelle-Écosse)
Havre Boucher	Havre-Boucher
Tairbeart Loch Fìne	Tarbert
Herbrandston	Herbrandston
Highland Airways	Highland Airways
Tomás Cipriano de Mosquera	Tomás Cipriano de Mosquera
Santos Gutiérrez Prieto	Santos Gutiérrez
Salm 45	Psaume 45 (44)
José de Obaldía	José de Obaldía
Ramón González Valencia	Ramón González Valencia
Santiago Pérez de Manosalbas	Santiago Pérez de Manosalbas
Manuel María Mallarino	Manuel María Mallarino
Eilean nan Eich	Horse Island (Summer Isles)
Sandaigh	Sanda (Écosse)
Monadh Fèithe	Monifieth
An Herald	The Herald (Glasgow)
Pàrtaidh Làbarach na h-Alba	Parti travailliste écossais
Pladaigh	Pladda
Loch Abar	Lochaber (Écosse)
Urras Iain Muir	John Muir Trust
Passamaquoddy (cànan)	Malécite-passamaquoddy
Jorge Robledo (ceannsaiche)	Jorge Robledo
Joshua Fishman	Joshua Fishman
Juan José Nieto Gil	Juan José Nieto Gil
Juan de Dios Aranzazu	Juan de Dios Aranzazu
Vementry	Vementry
Goilear	Chaudière
Baile an Rìgh, Alba Nuadh	Kingston (Nouvelle-Écosse)
Lady's Holm	Lady's Holm
Trelales	Laleston
Bigear	Biggar (South Lanarkshire)
Little Roe	Little Roe
Loch Shubhairne	Loch Hourn
Loch Lìomhann	Loch Lyon
Loch Nibheis	Loch Nevis
Loch Sgamhain	Loch Scaven
Loch Mhabain	Lochmaben
Lockeport, Alba Nuadh	Lockeport
Loireag	Loireag
Louisbourg, Alba Nuadh	Louisbourg (Nouvelle-Écosse)
Main-à-Dieu	Main-à-Dieu
Manafon	Manafon
Màrtainn MacGilleMhàrtainn	Martin Martin
Merthyr Tudful	Merthyr Tydfil (county borough)
Jim MacGilleEathain	Jim McLean
Am Baile Meadhanach, Alba Nuadh	Middleton (Nouvelle-Écosse)
Baile Mhuilinn, Alba Nuadh	Milton (Nouvelle-Écosse)
Sruth na Maoile	Détroit de Moyle
An Abaid Ùr	New Abbey
North Havra	North Havra
Aran-coirce	Oatcake
Orfasay	Orfasay
Stenhousemuir	Stenhousemuir
Fàsach dathte	Painted Desert (homonymie)
Pàrras	Paradis
Eduard Frankfort	Eduard Frankfort
Dùthaich nam Basgach (ceàrn fèin-riaghlaidh)	Pays basque (homonymie)
Pieter Stoop	Pieter Stoop
Cydweli	Kidwelly
Pontarddulais	Pontarddulais
Còbh a' Phlàstair	Port Hastings
Port Joli, Alba Nuadh	Port Joli
Port Medway, Alba Nuadh	Port Medway
Port Mouton, Alba Nuadh	Port Mouton
Portobello	Portobello (Édimbourg)
Tiers Cross	Tiers Cross
Caerwys	Caerwys
Llanbadrig	Llanbadrig
Pen-tywyn	Pendine
Bangor Is-coed	Bangor-on-Dee
Sark	Sercq
Abhainn Àd	Rivière Add
Abhainn Annapolis	Rivière Annapolis
Abhainn Carrann, Ros an Iar	Rivière Carron (Wester Ross)
Abhainn Shubenacadie	Rivière Shubénacadie
Abhainn Sin	Rivière Shin
Conservatoire Rìoghail na h-Alba	Royal Scottish Academy of Music and Drama
Ruadhail	Ruthwell
Eilean Ninian	Saint-Ninian
Baile Pheadair	Saint-Pierre (Cap-Breton)
Gobhar-adhair	Bécassine (oiseau)
Harrison, Eabhraig Nuadh	Harrison (New York)
Sgùrr na Cìche	Sgurr na Cìche
Na Sidhbheanntan	Sidlaw Hills
South Isle of Gletness	South Isle of Gletness
Mèinnean na h-Albann	Stellarton
Stewiacke	Stewiacke
Abhainn Shidni	Sydney River (Nouvelle-Écosse)
Bòrd-sgrìobhaidh	Table bureau
Baile na Stàilinn	Trenton (Nouvelle-Écosse)
Tulaigh Óg	Tullyhogue
South Walls	South Walls
Castell Gwalchmai	Walwyn's Castle
Uisge Lìte	Water of Leith
Baile an Iar, Siorrachd Phiogto	Westville (Nouvelle-Écosse)
Weymouth, Alba Nuadh	Weymouth (Nouvelle-Écosse)
Bhuia	Wiay
Y Ferwig	Y Ferwig
Zipa	Zipa
An t-Eilean Mòr, Alba Nuadh	Île Boularderie
An Caidreachas	Alliés
Roinn-seòrsa:Wikipedia bots	Catégorie:Bot Wikipédia
Mòr-roinnean Chanada	Administration territoriale du Canada
Eilean Mhàrtainn	Martin (Écosse)
Iorras	Erris
Loch Gheallaidh	Lochgelly
Roinn-seòrsa:Cleasaichean nam film	Catégorie:Acteur
Roinn-seòrsa:LCDT	Catégorie:Lesbiennes, gays, bisexuels et transgenres
Teamplaid:Userbox	Modèle:BUtilisateur
Saturn	Saturn
Baile nan Gall	Galston (Écosse)
Oilthigh an Rosario	Université du Rosaire
Bean-nighe	Bean nighe
Roinn-seòrsa:Lagh	Catégorie:Droit
Roinn-seòrsa:Dùthchannan	Catégorie:Pays
Roinn-seòrsa:Eaconomachd	Catégorie:Économie
Uicipeid:Administrators	Wikipédia:Administrateur
Uicipeid:Bot policy	Wikipédia:Bot
Roinn-seòrsa:Eadar-lìon	Catégorie:Internet
Uicipeid:WikiProject Check Wikipedia	Projet:Correction syntaxique
Roinn-seòrsa:Poileataigs	Catégorie:Politique
Roinn-seòrsa:Foghlam	Catégorie:Éducation
Roinn-seòrsa:Ealain	Catégorie:Art
Kaunas	Kaunas
Cunntasachd	Comptabilité d'entreprise
Königsberg	Königsberg
Cinn-suidhe Choloimbia	Liste des présidents de Colombie
An Èipheit	Égypte
Roinn-seòrsa:Feallsanaiche	Catégorie:Philosophe
Teamplaid:Bot	Modèle:Bot
Trafaig	Circulation routière
Canada	Canada
Roinn-seòrsa:An Ungair	Catégorie:Hongrie
Roinn-seòrsa:A' Bheilg	Catégorie:Belgique
Roinn-seòrsa:An t-Seic	Catégorie:République tchèque
Roinn-seòrsa:An Danmhairg	Catégorie:Danemark
Roinn-seòrsa:Eastòinia	Catégorie:Estonie
Roinn-seòrsa:Suòmaidh	Catégorie:Finlande
Roinn-seòrsa:A' Ghrèig	Catégorie:Grèce
Roinn-seòrsa:Innis Tìle	Catégorie:Islande
Roinn-seòrsa:Lucsamburg	Catégorie:Luxembourg
Roinn-seòrsa:Liotuàinia	Catégorie:Lituanie
Roinn-seòrsa:An t-Suain	Catégorie:Suède
Roinn-seòrsa:An t-Slòbhac	Catégorie:Slovaquie
Roinn-seòrsa:Sloibhìnia	Catégorie:Slovénie
Roinn-seòrsa:Poblachd na h-Èireann	Catégorie:Irlande
Nèamh	Ciel (religion)
Teamplaid:Flagicon	Modèle:Drapeau
Roinn-seòrsa:An Roinn-Eòrpa	Catégorie:Europe
Teamplaid:Documentation	Modèle:Documentation
Ball-gineamhainn	Organe sexuel
Uicipeid:Doras na coimhearsnachd	Wikipédia:Accueil de la communauté
Roinn-seòrsa:Cànain an luchd-cleachdaidh	Catégorie:Wikipédiens par langue
Sung Jae-gi	Sung Jae-ki
Arieh Warshel	Arieh Warshel
Gnothachas	Entreprise
Instituto Federal da Bahia	École polytechnique fédérale de Bahia
Teamplaid:Softredirect	Modèle:Redirection douce
Teamplaid:Delete	Modèle:Suppression Immédiate
Rìghrean Breatainn Mhòr agus an Rìoghachd Aonaichte	Liste des monarques britanniques
Beinn Bhreagh	Beinn Bhreagh
Roinn-seòrsa:Teicneòlas	Catégorie:Technologie
Breug	Mensonge
Roinn-seòrsa:Cànain	Catégorie:Langue
Cairgean	Chondrus crispus
Uicipeid:General disclaimer	Wikipédia:Avertissements généraux
Saighdear	Militaire
Teamplaid:Navbox	Modèle:Méta palette de navigation
Teamplaid:Shortcut	Modèle:Raccourci
Saoidhean	Pollachius
Don Keefer	Don Keefer
Teamplaid:Fact	Modèle:Citation nécessaire
Pana	Pan (homonymie)
Teamplaid:!	Modèle:!
Teamplaid:!-	Modèle:!-
Teamplaid:=	Modèle:=
Teamplaid:Navbar	Modèle:Tnavbar
Teamplaid:Code	Modèle:Code
Teamplaid:Unicode	Modèle:UCode
Teamplaid:Clear	Modèle:Clr
Teamplaid:Col-begin	Modèle:Col-début
Teamplaid:Col-end	Modèle:Col-fin
Fàirlidh	Fairlie
Roinn-seòrsa:Afraga	Catégorie:Afrique
Roinn-seòrsa:Bìoball	Catégorie:Bible
Teamplaid:Babel	Modèle:Boîte Babel
Teamplaid:Commons	Modèle:Commons
Teamplaid:Reflist	Modèle:Références
Teamplaid:Bun	Modèle:Ébauche
Teamplaid:User af-1	Modèle:Utilisateur af-1
Teamplaid:User als-1	Modèle:Utilisateur als-1
Teamplaid:User ar-1	Modèle:Utilisateur ar-1
Teamplaid:User az	Modèle:Utilisateur az
Teamplaid:User eo-1	Modèle:Utilisateur eo-1
Teamplaid:See also	Modèle:Article connexe
Teamplaid:User da-2	Modèle:Utilisateur da-2
Teamplaid:User da	Modèle:Utilisateur da
Teamplaid:User be-2	Modèle:Utilisateur be-2
Teamplaid:User da-1	Modèle:Utilisateur da-1
Teamplaid:User eo-3	Modèle:Utilisateur eo-3
Teamplaid:User de	Modèle:Utilisateur de
Teamplaid:User de-1	Modèle:Utilisateur de-1
Teamplaid:User et-1	Modèle:Utilisateur et-1
Teamplaid:User el	Modèle:Utilisateur el
Teamplaid:User es	Modèle:Utilisateur es
Teamplaid:User de-3	Modèle:Utilisateur de-3
Teamplaid:User en-3	Modèle:Utilisateur en-3
Teamplaid:User en-1	Modèle:Utilisateur en-1
Teamplaid:User en-2	Modèle:Utilisateur en-2
Teamplaid:User fa-1	Modèle:Utilisateur fa-1
Teamplaid:User eo-2	Modèle:Utilisateur eo-2
Teamplaid:User en-4	Modèle:Utilisateur en-4
Teamplaid:User fi	Modèle:Utilisateur fi
Teamplaid:User en	Modèle:Utilisateur en
Teamplaid:User de-2	Modèle:Utilisateur de-2
Teamplaid:User es-1	Modèle:Utilisateur es-1
Teamplaid:User fr-1	Modèle:Utilisateur fr-1
Y Clas-ar-wy	Glasbury
Teamplaid:User he-2	Modèle:Utilisateur he-2
Teamplaid:User id-3	Modèle:Utilisateur id-3
Teamplaid:User io-3	Modèle:Utilisateur io-3
Teamplaid:User it-3	Modèle:Utilisateur it-3
Teamplaid:User grc-1	Modèle:Utilisateur grc-1
Teamplaid:User ja-4	Modèle:Utilisateur ja-4
Teamplaid:User tr-2	Modèle:Utilisateur tr-2
Teamplaid:User fr-2	Modèle:Utilisateur fr-2
Teamplaid:User tr	Modèle:Utilisateur tr
Teamplaid:User ja	Modèle:Utilisateur ja
Teamplaid:User ja-1	Modèle:Utilisateur ja-1
Teamplaid:User it-1	Modèle:Utilisateur it-1
Teamplaid:User hr-1	Modèle:Utilisateur hr-1
Teamplaid:User fr	Modèle:Utilisateur fr
Greenwood, Alba Nuadh	Greenwood (Nouvelle-Écosse)
Roinn-seòrsa:Moldàibhia	Catégorie:Moldavie
Roinn-seòrsa:Àisia	Catégorie:Asie
Roinn-seòrsa:An t-Sile	Catégorie:Chili
Roinn-seòrsa:21mh linn	Catégorie:XXIe siècle
Roinn-seòrsa:User uk	Catégorie:Utilisateur uk
Roinn-seòrsa:Aimearaga a Deas	Catégorie:Amérique du Sud
Roinn-seòrsa:Castilla y León	Catégorie:Castille-et-León
Roinn-seòrsa:User uk-N	Catégorie:Utilisateur uk-M
Roinn-seòrsa:Malaysia	Catégorie:Malaisie
Roinn-seòrsa:Ball-coise	Catégorie:Football
Teamplaid:Mod	Modèle:Mod
Teamplaid:User sv	Modèle:Utilisateur sv
Teamplaid:User it	Modèle:Utilisateur it
Teamplaid:User uk	Modèle:Utilisateur uk
Teamplaid:User es-2	Modèle:Utilisateur es-2
Roinn-seòrsa:Cànanachas	Catégorie:Linguistique
Teamplaid:Edit	Modèle:Éditer
Teamplaid:Dàta brataich A' Phòlainn	Modèle:Country data Pologne
Teamplaid:Userbox-2	Modèle:Userbox-2
Roinn-seòrsa:User fr-1	Catégorie:Utilisateur fr-1
Teamplaid:Dùthaich showdata	Modèle:Country showdata
Teamplaid:Infobox musical artist	Modèle:Infobox Musique (artiste)
Teamplaid:Ambox	Modèle:Méta bandeau d'avertissement
Teamplaid:Babel field	Modèle:Babel field
Teamplaid:Navigational templates	Modèle:Palette Modèles navigationnels
Teamplaid:Dùthaich	Modèle:Infobox Pays
Teamplaid:Cogadh	Modèle:Infobox Conflit militaire
Teamplaid:Str left	Modèle:Str left
Teamplaid:Str sub long	Modèle:Str sub long
Teamplaid:Infobox/docname	Modèle:Documentation/docname
Teamplaid:Cleanup	Modèle:À recycler
Teamplaid:Exzellent	Modèle:Article de qualité
Roinn-seòrsa:User en-4	Catégorie:Utilisateur en-4
Roinn-seòrsa:User en	Catégorie:Utilisateur en
Roinn-seòrsa:User zh	Catégorie:Utilisateur zh
Roinn-seòrsa:Croàisia	Catégorie:Croatie
Roinn-seòrsa:User zh-N	Catégorie:Utilisateur zh-M
Roinn-seòrsa:User en-2	Catégorie:Utilisateur en-2
Teamplaid:TOCright	Modèle:Sommaire à droite
Teamplaid:User zh	Modèle:Utilisateur zh
Roinn-seòrsa:Aibidil	Catégorie:Alphabet
Teamplaid:Template other	Modèle:Template other
Roinn-seòrsa:Sgrìobhadairean Breatannach	Catégorie:Écrivain britannique
Teamplaid:Cite web	Modèle:Lien web
Teamplaid:Country data	Modèle:Country data
Bonn-a-sia	Halfpenny
Teamplaid:Loch ann an Alba	Modèle:Infobox Étendue d'eau
Teamplaid:User ru-4	Modèle:Utilisateur ru-4
Teamplaid:Coor URL	Modèle:Coord/URL
Teamplaid:Pp-template	Modèle:Protection
Teamplaid:User nl-1	Modèle:Utilisateur nl-1
Teamplaid:Wiktionary	Modèle:Wiktionnaire
Teamplaid:User nl-2	Modèle:Utilisateur nl-2
Roinn-seòrsa:Àiteachas	Catégorie:Agriculture
Teamplaid:Bun na Gearmailte	Modèle:Ébauche/paramètres Allemagne
Teamplaid:User ru	Modèle:Utilisateur ru
Roinn-seòrsa:20mh linn	Catégorie:XXe siècle
Teamplaid:IPA	Modèle:Prononciation API
Teamplaid:Cinn-suidhe nan Stàitean Aonaichte	Modèle:Palette Président des États-Unis
Roinn-seòrsa:Teamplaid:Cànan	Catégorie:Langue pour les boîtes utilisateurs
Teamplaid:LangWithName	Modèle:Langue avec nom
Teamplaid:Babel field N	Modèle:Babel field M
Roinn-seòrsa:Washington (stàit)	Catégorie:Washington (État)
Teamplaid:Beinn	Modèle:Infobox Montagne
Teamplaid:Birth date and age	Modèle:Date de naissance
Teamplaid:Babel field 1	Modèle:Babel field 1
Teamplaid:MONTHNAME	Modèle:MONTHNAME
Teamplaid:Neach-poileataigs	Modèle:Infobox Politicien
Teamplaid:Death date and age	Modèle:Date de décès
Teamplaid:MONTH	Modèle:MONTHNUMBER
Roinn-seòrsa:Teamplaidean dàta brataich	Catégorie:Modèle Country data
Roinn-seòrsa:19mh linn	Catégorie:XIXe siècle
Roinn-seòrsa:Sgrìobhadairean	Catégorie:Écrivain
Roinn-seòrsa:Oilthighean	Catégorie:Université
Teamplaid:Hidden begin	Modèle:Boîte déroulante/début
Teamplaid:Tlc	Modèle:Tlc
Teamplaid:User pt-1	Modèle:Utilisateur pt-1
Roinn-seòrsa:Sgiobanan ball-coise Edailteach	Catégorie:Club italien de football
Teamplaid:Hidden	Modèle:Boîte déroulante
Teamplaid:User pl	Modèle:Utilisateur pl
Teamplaid:User nl	Modèle:Utilisateur nl
Teamplaid:User no-2	Modèle:Utilisateur no-2
Teamplaid:Duais Nobel ann an Litreachas	Modèle:Palette Prix Nobel de littérature
Teamplaid:Documentation subpage	Modèle:Sous-page de documentation
Uicipeid:Nospam	Wikipédia:Pages protégées à la création
Teamplaid:Tlx	Modèle:Lien vers modèle avec paramètres
Teamplaid:Str len	Modèle:Str len
Teamplaid:Purge	Modèle:Purger le cache
Teamplaid:Country flag2	Modèle:Drapeau/callback
Teamplaid:Lorem	Modèle:Lorem ipsum
Teamplaid:Babel field 4	Modèle:Babel field 4
Teamplaid:User pl-1	Modèle:Utilisateur pl-1
Teamplaid:Babel field 0	Modèle:Babel field 0
Teamplaid:User fr-3	Modèle:Utilisateur fr-3
Teamplaid:Redirect	Modèle:Redirect
Teamplaid:User nds-1	Modèle:Utilisateur nds-1
Teamplaid:Coord/link	Modèle:Coord/link
Teamplaid:Infobox UK place	Modèle:Infobox Ville du Royaume-Uni
Còbh nan Èireannach	Irish Cove
Teamplaid:User is-1	Modèle:Utilisateur is-1
Teamplaid:User en-5	Modèle:Utilisateur en-5
Teamplaid:Làithean na seachdain	Modèle:Palette Jours de la semaine
Roinn-seòrsa:Carolina a Tuath	Catégorie:Caroline du Nord
Roinn-seòrsa:User ja-N	Catégorie:Utilisateur ja-M
Teamplaid:User als	Modèle:Utilisateur als
Teamplaid:Dàta brataich A' Ghearmailt an Iar	Modèle:Country data Allemagne de l'Ouest
Teamplaid:Dàta brataich A' Ghearmailt an Ear	Modèle:Country data Allemagne de l'Est
Teamplaid:URL	Modèle:URL
Roinn-seòrsa:Buidseachd	Catégorie:Sorcellerie
Teamplaid:No	Modèle:Pas fait.
Roinn-seòrsa:Teamplaid:Infobox	Catégorie:Modèle infobox
Roinn-seòrsa:An Ear Mheadhanach	Catégorie:Moyen-Orient
Teamplaid:Dàta brataich A' Ghearmailt Nàsach	Modèle:Country data Allemagne nazie
Teamplaid:Dàta brataich Impireachd na Gearmailte	Modèle:Country data Empire allemand
Teamplaid:Para	Modèle:Para
Teamplaid:Death year and age	Modèle:Année de décès et âge
Teamplaid:User no	Modèle:Utilisateur no
Roinn-seòrsa:Carolina a Deas	Catégorie:Caroline du Sud
Ailigeutair	Alligatoridae
Teamplaid:Resize	Modèle:Resize
Teamplaid:Babel field 3	Modèle:Babel field 3
Roinn-seòrsa:Ailtireachd	Catégorie:Architecture
Teamplaid:User sv-2	Modèle:Utilisateur sv-2
Teamplaid:User it-2	Modèle:Utilisateur it-2
Teamplaid:Age	Modèle:Âge
Teamplaid:Mòr-roinnean	Modèle:Palette Masses continentales
Teamplaid:Convert	Modèle:Conversion
Teamplaid:Coord	Modèle:Coord
Roinn-seòrsa:Aibhnichean na h-Alba	Catégorie:Cours d'eau d'Écosse
Teamplaid:User pt-2	Modèle:Utilisateur pt-2
Roinn-seòrsa:Wyoming	Catégorie:Wyoming
Teamplaid:User fr-4	Modèle:Utilisateur fr-4
Teamplaid:User la-1	Modèle:Utilisateur la-1
Roinn-seòrsa:User szl	Catégorie:Utilisateur szl
Roinn-seòrsa:User az	Catégorie:Utilisateur az
Roinn-seòrsa:User be	Catégorie:Utilisateur be
Roinn-seòrsa:User hr	Catégorie:Utilisateur hr
Roinn-seòrsa:User kw	Catégorie:Utilisateur kw
Roinn-seòrsa:User sco	Catégorie:Utilisateur sco
Roinn-seòrsa:User sk	Catégorie:Utilisateur sk
Roinn-seòrsa:User sl	Catégorie:Utilisateur sl
Roinn-seòrsa:User eo	Catégorie:Utilisateur eo
Roinn-seòrsa:User et	Catégorie:Utilisateur et
Roinn-seòrsa:User fr	Catégorie:Utilisateur fr
Roinn-seòrsa:User gl	Catégorie:Utilisateur gl
Roinn-seòrsa:User cy	Catégorie:Utilisateur cy
Roinn-seòrsa:User gd	Catégorie:Utilisateur gd
Roinn-seòrsa:User gv	Catégorie:Utilisateur gv
Roinn-seòrsa:User id	Catégorie:Utilisateur id
Roinn-seòrsa:User ga	Catégorie:Utilisateur ga
Roinn-seòrsa:User ja	Catégorie:Utilisateur ja
Roinn-seòrsa:User la	Catégorie:Utilisateur la
Roinn-seòrsa:User nn	Catégorie:Utilisateur nn
Roinn-seòrsa:User pt	Catégorie:Utilisateur pt
Roinn-seòrsa:User rm	Catégorie:Utilisateur rm
Roinn-seòrsa:User ro	Catégorie:Utilisateur ro
Roinn-seòrsa:User sv	Catégorie:Utilisateur sv
Roinn-seòrsa:User cs-3	Catégorie:Utilisateur cs-3
Roinn-seòrsa:User fr-3	Catégorie:Utilisateur fr-3
Roinn-seòrsa:User gd-3	Catégorie:Utilisateur gd-3
Roinn-seòrsa:User gv-3	Catégorie:Utilisateur gv-3
Roinn-seòrsa:User it-3	Catégorie:Utilisateur it-3
Roinn-seòrsa:User ja-3	Catégorie:Utilisateur ja-3
Roinn-seòrsa:User nl-3	Catégorie:Utilisateur nl-3
Roinn-seòrsa:User kw-1	Catégorie:Utilisateur kw-1
Roinn-seòrsa:User da-1	Catégorie:Utilisateur da-1
Roinn-seòrsa:User et-1	Catégorie:Utilisateur et-1
Roinn-seòrsa:User cy-1	Catégorie:Utilisateur cy-1
Roinn-seòrsa:Cleachdaiche gd-1	Catégorie:Utilisateur gd-1
Roinn-seòrsa:User ga-1	Catégorie:Utilisateur ga-1
Roinn-seòrsa:User nl-1	Catégorie:Utilisateur nl-1
Roinn-seòrsa:User pl-1	Catégorie:Utilisateur pl-1
Roinn-seòrsa:User rm-1	Catégorie:Utilisateur rm-1
Roinn-seòrsa:User ro-1	Catégorie:Utilisateur ro-1
Roinn-seòrsa:User tr-1	Catégorie:Utilisateur tr-1
Roinn-seòrsa:User ar-1	Catégorie:Utilisateur ar-1
Roinn-seòrsa:User fr-4	Catégorie:Utilisateur fr-4
Roinn-seòrsa:Cleachdaiche gd-4	Catégorie:Utilisateur gd-4
Roinn-seòrsa:User gv-4	Catégorie:Utilisateur gv-4
Roinn-seòrsa:User be-2	Catégorie:Utilisateur be-2
Roinn-seòrsa:User da-2	Catégorie:Utilisateur da-2
Roinn-seòrsa:User sco-2	Catégorie:Utilisateur sco-2
Roinn-seòrsa:User sk-2	Catégorie:Utilisateur sk-2
Roinn-seòrsa:User fr-2	Catégorie:Utilisateur fr-2
Roinn-seòrsa:User gd-2	Catégorie:Utilisateur gd-2
Roinn-seòrsa:User it-2	Catégorie:Utilisateur it-2
Roinn-seòrsa:User la-2	Catégorie:Utilisateur la-2
Roinn-seòrsa:User nl-2	Catégorie:Utilisateur nl-2
Roinn-seòrsa:User pl-2	Catégorie:Utilisateur pl-2
Roinn-seòrsa:User sv-2	Catégorie:Utilisateur sv-2
Roinn-seòrsa:User tr-2	Catégorie:Utilisateur tr-2
Roinn-seòrsa:User cs-N	Catégorie:Utilisateur cs-M
Roinn-seòrsa:User sl-N	Catégorie:Utilisateur sl-M
Roinn-seòrsa:User fr-N	Catégorie:Utilisateur fr-M
Roinn-seòrsa:User cy-N	Catégorie:Utilisateur cy-M
Roinn-seòrsa:User it-N	Catégorie:Utilisateur it-M
Roinn-seòrsa:User nl-N	Catégorie:Utilisateur nl-M
Roinn-seòrsa:User no-N	Catégorie:Utilisateur no-M
Roinn-seòrsa:User nn-N	Catégorie:Utilisateur nn-M
Roinn-seòrsa:User ru-N	Catégorie:Utilisateur ru-M
Roinn-seòrsa:Prìomh-bhailtean ann an Roinn a' Chuain Shèimh	Catégorie:Capitale d'Océanie
Roinn-seòrsa:Gàidhlig	Catégorie:Langue écossaise
Roinn-seòrsa:2070an	Catégorie:Années 2070
Roinn-seòrsa:Templates using ParserFunctions	Catégorie:Modèle utilisant les ParserFunctions
Roinn-seòrsa:User af	Catégorie:Utilisateur af
Roinn-seòrsa:User af-1	Catégorie:Utilisateur af-1
Roinn-seòrsa:User af-2	Catégorie:Utilisateur af-2
Roinn-seòrsa:User als	Catégorie:Utilisateur als
Roinn-seòrsa:User als-1	Catégorie:Utilisateur als-1
Roinn-seòrsa:User ar	Catégorie:Utilisateur ar
Roinn-seòrsa:User az-N	Catégorie:Utilisateur az-M
Roinn-seòrsa:User cs	Catégorie:Utilisateur cs
Roinn-seòrsa:User da	Catégorie:Utilisateur da
Roinn-seòrsa:User de	Catégorie:Utilisateur de
Roinn-seòrsa:User de-2	Catégorie:Utilisateur de-2
Roinn-seòrsa:User de-3	Catégorie:Utilisateur de-3
Roinn-seòrsa:User de-4	Catégorie:Utilisateur de-4
Roinn-seòrsa:User de-N	Catégorie:Utilisateur de-M
Roinn-seòrsa:User dsb	Catégorie:Utilisateur dsb
Roinn-seòrsa:User dsb-1	Catégorie:Utilisateur dsb-1
Roinn-seòrsa:User el	Catégorie:Utilisateur el
Roinn-seòrsa:User el-N	Catégorie:Utilisateur el-M
Roinn-seòrsa:User en-3	Catégorie:Utilisateur en-3
Roinn-seòrsa:User en-5	Catégorie:Utilisateur en-5
Roinn-seòrsa:User en-N	Catégorie:Utilisateur en-M
Roinn-seòrsa:User eo-1	Catégorie:Utilisateur eo-1
Roinn-seòrsa:User eo-2	Catégorie:Utilisateur eo-2
Roinn-seòrsa:User eo-3	Catégorie:Utilisateur eo-3
Roinn-seòrsa:User es	Catégorie:Utilisateur es
Roinn-seòrsa:User es-1	Catégorie:Utilisateur es-1
Roinn-seòrsa:User es-2	Catégorie:Utilisateur es-2
Roinn-seòrsa:User es-3	Catégorie:Utilisateur es-3
Roinn-seòrsa:User es-N	Catégorie:Utilisateur es-M
Roinn-seòrsa:User fa	Catégorie:Utilisateur fa
Roinn-seòrsa:User fa-1	Catégorie:Utilisateur fa-1
Roinn-seòrsa:User fi	Catégorie:Utilisateur fi
Roinn-seòrsa:User fi-N	Catégorie:Utilisateur fi-M
Roinn-seòrsa:User fur	Catégorie:Utilisateur fur
Roinn-seòrsa:User fur-1	Catégorie:Utilisateur fur-1
Roinn-seòrsa:User ga-3	Catégorie:Utilisateur ga-3
Roinn-seòrsa:1680an	Catégorie:Années 1680
Roinn-seòrsa:User he	Catégorie:Utilisateur he
Roinn-seòrsa:User he-2	Catégorie:Utilisateur he-2
Teamplaid:N/a	Modèle:N/A
Roinn-seòrsa:User hr-1	Catégorie:Utilisateur hr-1
Roinn-seòrsa:User hu	Catégorie:Utilisateur hu
Roinn-seòrsa:User hu-1	Catégorie:Utilisateur hu-1
Roinn-seòrsa:User id-3	Catégorie:Utilisateur id-3
Roinn-seòrsa:User io	Catégorie:Utilisateur io
Roinn-seòrsa:User io-3	Catégorie:Utilisateur io-3
Roinn-seòrsa:User is	Catégorie:Utilisateur is
Roinn-seòrsa:User is-1	Catégorie:Utilisateur is-1
Roinn-seòrsa:User als-N	Catégorie:Utilisateur als-M
Teamplaid:User la-3	Modèle:Utilisateur la-3
Roinn-seòrsa:Aibidil Eabhra	Catégorie:Alphabet hébreu
Easbaigeachas	Anglicanisme
Roinn-seòrsa:User pl-N	Catégorie:Utilisateur pl-M
Roinn-seòrsa:User pt-1	Catégorie:Utilisateur pt-1
Teamplaid:Dàta brataich A' Ghearmailt	Modèle:Country data Allemagne
Roinn-seòrsa:Sgrìobhadairean Portagaileach	Catégorie:Écrivain portugais
Roinn-seòrsa:Geoimeatras	Catégorie:Géométrie
Roinn-seòrsa:Na h-Eileanan Canàrach	Catégorie:Îles Canaries
