Āfrika	Afrique
Hojņices apriņķis	Powiat de Chojnice
Redīmeids	Ready-made
PSG Zlín	HC Zlín
Swans	Swans (groupe)
Valters Leistikovs	Walter Leistikow
Entonijs Stjuarts	Anthony Stewart
1991. gada Pasaules čempionāts šosejas riteņbraukšanā	Championnats du monde de cyclisme sur route 1991
Badmintons 2008. gada Vasaras Olimpiskajās spēlēs — Sieviešu vienspēles	Badminton aux Jeux olympiques d'été de 2008 - Simple dames
Terņivka	Ternivka
Mars Climate Orbiter	Mars Climate Orbiter
Tērzētava	Salon de discussion
Bada spēles: Spēle ar uguni	Hunger Games : L'Embrasement (film)
Anti-Flag	Anti-Flag
Ķirmju dzimta	Anobiidae
Dionīsiji	Dionysies
Antiatlass	Anti-Atlas
Antikrists (filma)	Antichrist (film)
Maiks Ričardss	Mike Richards
FIFA valstu kodi	Projet:Football/Logistique/Modèle de pays
Čada ieplaka	Bassin du Tchad
Alan Wake	Alan Wake
Sandhērstas Karaliskā militārā akadēmija	Académie royale militaire de Sandhurst
Kortnija Kardašjana	Kourtney Kardashian
Karaliskie Antigvas un Barbudas aizsardzības spēki	Forces armées antiguaises
Bāze	Base
Mars Polar Lander	Mars Polar Lander
Monogeneji	Monogenea
Deep Space 2	Deep Space 2
Alvasetes @@@u0026Balompie"	Albacete Balompié
Malasledus	Banquise côtière
Luiss Aragoness	Luis Aragonés
1978. gada Pasaules čempionāts basketbolā	Championnat du monde de basket-ball masculin 1978
Hahn	Hahn
1992. gada UCI šosejas riteņbraukšanas Pasaules kauss	Coupe du monde de cyclisme sur route 1992
Janomamu valodas	Langues yanomami
Čehu vista	Poule Tchèque
Žņinas apriņķis	Powiat de Żnin
Viļnohirska	Vilnohirsk
1904. gada Tour de France	Tour de France 1904
Kaldera kauss	Coupe Calder
Kazahijas PSR ģerbonis	Armoiries de la RSS kazakhe
Raibkakla ūdrs	Loutre à cou tacheté
Plateresko	Plateresque
Kleščele	Kleszczele
Doktors Astoņkājis	Docteur Octopus
Kontinentālie štati	États-Unis contigus
Brazīlijas sieviešu basketbola izlase	Équipe du Brésil de basket-ball féminin
Nokia tune	Nokia Tune
Seda	Seda (Lettonie)
Deniss Kokarevs	Denis Kokarev
Medzilaborce	Medzilaborce
Plakangliemeņu dzimta	Tellinidae
Londonas maratons	Marathon de Londres
Factory Records	Factory Records
Standartatmosfēra	Atmosphère normalisée
Gāzu uzbrukums Halabdžai	Massacre de Halabja
Viktors	Victor
Sojuz (kosmosa kuģu sērija)	Soyouz (véhicule spatial)
JFK Olimps	JFK Olimps
1957. gada Eiropas čempionāts basketbolā	Championnat d'Europe de basket-ball 1957
Cēzars Ozers	Cēzars Ozers
Hermods	Hermód
Dzeltenpieres jakāns	Jacana du Mexique
Memoirs of an Imperfect Angel	Memoirs of an Imperfect Angel
Oulujervi	Lac Oulu
Opel Insignia	Opel Insignia
Baltijas vairogs	Bouclier scandinave
Vingrošana 2008. gada Vasaras Olimpiskajās spēlēs	Gymnastique aux Jeux olympiques d'été de 2008
Klemens Bauers	Klemen Bauer
FK Vindava	FK Vindava
Ilūkste	Ilūkste
Indekss (datubāze)	Index (base de données)
Parastā aktīnija	Actinia equina
Norma	Norma
Indriķa hronika	Henri le Letton
Reičela Grīna	Rachel Green
Žubītes	Fringilla
Kritušie eņģeļi	Ange déchu
1975. gada Tour de France	Tour de France 1975
Františeks Kaberle	František Kaberle
Rail Baltica	Rail Baltica
Ščirka	Szczyrk
Skubijs Dū 2: Briesmoņi savā vaļā	Scooby-Doo 2 : Les monstres se déchaînent
Shenzhou 9	Shenzhou 9
Programmētāju diena	Journée des programmeurs
NASDAQ OMX Helsinki	OMX Helsinki
Zolote	Zolote
Zellis	Compagnon
Augstspiedums	Typographie (technique d’impression)
Antifosfolipīdu sindroms	Syndrome des antiphospholipides
Aleksandrs Maļcevs	Aleksandr Maltsev
Vingrošana 2012. gada Vasaras Olimpiskajās spēlēs	Gymnastique aux Jeux olympiques d'été de 2012
ITT Corporation	International Telephone and Telegraph
Gūss Teitums	Reece Tatum
Islandes ķērpis	Cetraria islandica
Maskarēnu žņaudzējčūskas	Bolyeriidae
Vladimirs Kamešs	Vladimirs Kamešs
Kuunkuiskaajat	Kuunkuiskaajat
Pursuit of Happiness (Kid Cudi dziesma)	Pursuit of Happiness
Ancirabe	Antsirabe
Uda	Tchouna
Duelis (filma)	Duel (téléfilm)
Naklo apriņķis	Powiat de Nakło
Zivju dzenīši	Alcedo
Gibraltāra futbola izlase	Équipe de Gibraltar de football
Jūras ūdele	Vison de mer
Ermita salas	Îles L'Hermite
Garvolina	Garwolin
Sakrālā ģeometrija	Géométrie sacrée
Nūbijas savvaļas ēzelis	Âne sauvage de Somalie
Jānis Jaunsudrabiņš	Jānis Jaunsudrabiņš
Radzjonkova	Radzionków
Zivju cauna	Martes pennanti
Amadeiusa ezers	Lac Amédée
Underclass Hero	Underclass Hero
Betesda	Bethesda (Maryland)
Kapteinis (sports)	Capitaine (sport)
Krievijas Konstitucionālā tiesa	Cour constitutionnelle de la Fédération de Russie
Čarna Bjalostocka	Czarna Białostocka (ville)
Padomju pils	Palais des Soviets
Kari Lehtonens	Kari Lehtonen
Aleksejs Jašins	Alekseï Iachine
Eiropas autoceļš E03	Route européenne 3
Noderīgais idiots	Idiot utile
Pagrīdes impērija	Boardwalk Empire
Timokrātija	Timocratie
Antuāns Karons	Antoine Caron
Korijs Mērfijs	Cory Murphy
Attack on Titan	L'Attaque des Titans
Ziemeļeiropas basketbola līga	Ligue nord européenne de basket-ball
Madona	Madona
Komārno apriņķis	District de Komárno
Pottermore	Pottermore
FIBA slavas zāle	FIBA Hall of Fame
1978. gada NHL drafts	Repêchage amateur de la LNH 1978
Toms Tibodo	Tom Thibodeau
Eiropas autoceļš E10	Route européenne 10
Južne	Youjne
Verušovas apriņķis	Powiat de Wieruszów
Antuāns Rusels	Antoine Roussel
Rezāvi Horasāna	Khorasan-e Razavi
MenuetOS	MenuetOS
Ivaceviči	Ivatsevitchy
Mohelnice	Mohelnice
28 (skaitlis)	28 (nombre)
Džeks Balmers	Jack Balmer
Tonijs Galopēns	Tony Gallopin
Antons Kurjanovs	Anton Kourianov
Antons Volčenkovs	Anton Voltchenkov
2002. gada Pasaules čempionāts basketbolā	Championnat du monde de basket-ball masculin 2002
Antons Babčuks	Anton Babtchouk
Trigonālā singonija	Système cristallin trigonal
Roberts Ķīlis	Roberts Ķīlis
Prinseselizabete	Station Princesse-Élisabeth
IRIS (Saules observatorija)	Interface Region Imaging Spectrograph
Kirovska	Kirovsk
Turner	Turner
2001. gada NBA drafts	Draft NBA 2001
Telšu rajona pašvaldība	Municipalité du district de Telšiai
2 cm FlaK 30	Canon antiaérien de 20 mm
2003. gada Pasaules čempionāts šosejas riteņbraukšanā	Championnats du monde de cyclisme sur route 2003
Dolni Kubīna	Dolný Kubín
Olimpiskais stadions	Stade olympique
Karaliskā dēka	Royal Affair
Stickwitu	Stickwitu
Militārais identifikācijas žetons	Plaque d'identité militaire
Varenais no Oza zemes	Le Monde fantastique d'Oz
Eduards VIII Vindzors	Édouard VIII
World of Tanks	World of Tanks
Teherāna (ostāns)	Province de Téhéran
Kino	Cinéma
Nepilnas pārvērtības kukaiņi	Exopterygota
Pašu kapitāla atdeve	Rentabilité des capitaux propres
Golčevo	Golczewo
Debesu ugunis	Firelight
Šūmanis	Schumann (homonymie)
Cekulainie pingvīni	Eudyptes
Urugvajas futbola izlase 2010. gada Pasaules kausa finālturnīrā	Équipe d'Uruguay de football à la Coupe du monde 2010
Muse singlu diskogrāfija	Discographie de Muse
Sojuz TMA-9	Soyouz TMA-9
Maska (datorzinātnē)	Masquage
Novovolinska	Novovolynsk
Laņivci	Lanivtsi
Kepler-7b	Kepler-7 b
Bobrineca	Bobrynets
Znamjanka	Znamianka
Antons Buts	Anton Bout
Krūškurvis	Thorax
Antons Škapļerovs	Anton Chkaplerov
Baborova	Baborów
Spišska Stara Vesa	Spišská Stará Ves
Drīmpops	Dream pop
TKS	TKS (chenillette)
Dons Čerijs	Don Cherry (hockey sur glace)
Malogošča	Małogoszcz
59 (skaitlis)	59 (nombre)
Veragvasa	Veraguas (province)
Arga leduskupols	Dôme A
Gouda (siers)	Gouda (fromage)
Artemijs Panarins	Artemi Panarine
62 (skaitlis)	62 (nombre)
Dinamika	Dynamic
SMART Board	SMART Board
Ribņikas apriņķis	Powiat de Rybnik
Antons Belovs	Anton Belov
2011. gada Spānijas Grand Prix	Grand Prix automobile d'Espagne 2011
Dumpīgo eņģeļu krišana	La Chute des anges rebelles
Baru	Barú
Mitišču arēna	Mytichtchi Arena
Aleksandrs Vanags (sportists)	Aleksandrs Vanags
Sibujanas jūra	Mer de Sibuyan
Slūžu kamera	Sas (passage)
Antons Hudobins	Anton Khoudobine
Mokša	Mokcha
Dziesmotā revolūcija	Révolution chantante
Kāli meteorīta krāteris	Cratère de Kaali
2007. gada Eiropas čempionāts basketbolā sievietēm	Championnat d'Europe de basket-ball féminin 2007
Kanādas Masters	Masters du Canada
Dzjaržinskas rajons	Raïon de Dziarjynsk
Velosipēds	Vélocipède
Rīgas aplenkums (1656)	Siège de Riga (1656)
Ābece	Livre d'alphabétisation
Klaburčūsku apakšdzimta	Crotalinae
Strupvaboļu dzimta	Histeridae
Zaļā savvaļas vista	Coq de Java
Hiršs	Hirsch
Ruandas prezidenti	Liste des présidents du Rwanda
Xandros	Xandros
Riests	Rut
Fils Simmss	Phil Simms
Mercury septītnieks	Mercury Seven
Hačinsonīts	Hutchinsonite
Drūkšu ezers	Lac Drūkšiai
Lielvārde	Lielvārde
Superkauss XLI	Super Bowl XLI
Sempulno apriņķis	Powiat de Sępólno
Tuholas apriņķis	Powiat de Tuchola
1998. gada Pasaules čempionāts šosejas riteņbraukšanā	Championnats du monde de cyclisme sur route 1998
Alina Orlova	Alina Orlova
Sistēmdinamika	Dynamique des systèmes
2010.—2011. gada NHL sezona	Saison 2010-2011 de la LNH
Olimpiskais muzejs	Musée olympique
Postpankroks	Post-punk
Vladimīrs Sobotka	Vladimír Sobotka
E3 Harelbeke	Grand Prix E3
Tramvaju satiksme Daugavpilī	Tramway de Daugavpils
Topoļčanu apriņķis	District de Topoľčany
Brugadas sindroms	Syndrome de Brugada
Peņiki	Peniki
1984. gada NHL drafts	Repêchage d'entrée dans la LNH 1984
Viroterapija	Virothérapie
Asaru ģints	Perca (poisson)
Cupola (SKS)	Cupola (station spatiale internationale)
1990.—1991. gada NBA sezona	Saison NBA 1990-1991
Pilot (Radīti skatuvei)	L'Effet Glee
Krievijas Superlīga basketbolā	Superligue de Russie de basket-ball
Kortežs	N-uplet
Durbes kauja	Bataille de Durbe
38 (skaitlis)	38 (nombre)
Jokelas skolas apšaude	Fusillade du centre scolaire de Jokela
Japānas heraldika	Mon (héraldique)
Sakne (matemātika)	Racine d'un nombre
Tirdzniecība	Commerce
Hokejs 1972. gada Ziemas Olimpiskajās spēlēs	Hockey sur glace aux Jeux olympiques de 1972
LADEE	Lunar Atmosphere and Dust Environment Explorer
Pelēkais zorro	Renard gris d'Argentine
Džordina Vībere	Jordyn Wieber
1969.—1970. gada NBA sezona	Saison NBA 1969-1970
Cyrus	Cyrus
M29 Weasel	M29 Weasel
Nilgiri cauna	Martes gwatkinsii
Latvijas futbola Virslīga 2011	Championnat de Lettonie de football 2011
Balvu rajons	Rajons de Balvi
2013. gada GP3 sezona	Championnat de GP3 Series 2013
Rāznas ezers	Lac Rāzna
Explorer programma	Programme Explorer
Sergejs Kosticins	Siarheï Kastsitsyne
MSQL	MSQL
Mogilno apriņķis	Powiat de Mogilno
Novi Dvora Gdaņska	Nowy Dwór Gdański
Eds Rīds	Ed Reed
Mihails Grabovskis	Mikhail Hrabowski
Peršotravenska	Perchotravensk
Life Starts Now	Life Starts Now
Spišska Bela	Spišská Belá
Bābola	Babol
Cilvēku virsģints	Hominina
Keņdzežina-Kozle	Kędzierzyn-Koźle
Frēdriks Modins	Fredrik Modin
Stara Ļubovņa	Stará Ľubovňa
Žurominas apriņķis	Powiat de Żuromin
Kristaps Valters	Kristaps Valters
Doņecas akmeņogļu baseins	Donbass
Kordiljeri	Cordillère américaine
Vilksa Zeme	Terre de Wilkes
Karpača	Karpacz
Sergejs Zubovs	Sergueï Zoubov
Olimpiskie medaļnieki hokejā	Liste des médaillés olympiques en hockey sur glace
Tomašovas apriņķis (Lodza)	Powiat de Tomaszów Mazowiecki
The Long Road	The Long Road
Būkāna	Bukan
Elgina marmors	Marbres d'Elgin
Tekstilrūpniecība	Industrie textile
Skempe	Skępe
Into the Rush	Into the Rush
Asche zu Asche	Asche zu Asche
Malborkas apriņķis	Powiat de Malbork
Braņska	Brańsk
Dienvidrietumu reģions	Région du Sud-Ouest (Cameroun)
Iracionāls skaitlis	Nombre irrationnel
Hey Jude	Hey Jude
Running Scared	Running Scared
Dalmatika	Dalmatique
2008. gada referendums par grozījumiem Satversmē	Référendum letton du 2 août 2008
Pšasnišas apriņķis	Powiat de Przasnysz
Cetonia	Cetonia
Rī ezers	Lough Ree
Bloņe	Błonie (Varsovie-ouest)
Engel	Engel (chanson)
Princeses Ranhillas krasts	Terre de la Princesse-Ragnhild
Aplikatūra	Doigté
1983. gada Tour de France	Tour de France 1983
Mi-2	Mil Mi-2
Antracita	Antratsyt
IKAROS	IKAROS
Kosmiskā aparāta virzīšana	Propulsion spatiale
Radzimina	Radzymin
Sociālā mijiedarbība	Interaction (sciences sociales)
Dorels Raits	Dorell Wright
Tizen	Tizen
Veličkas apriņķis	Powiat de Wieliczka
Otas astes pingvīni	Pygoscelis
Jānis Bērziņš (militārpersona)	Ian Berzine
Meja Mūra	Maya Moore
Binokulārā redze	Vision binoculaire
Bezspuru astoņkāji	Incirrina
Naraganseti	Narragansetts
Anti Niemi	Antti Niemi (hockey sur glace)
Mindless Self Indulgence	Mindless Self Indulgence
Anti Pīlstrems	Antti Pihlström
Portugāles koloniālais karš	Guerres coloniales portugaises
Riteņbraukšana 2008. gada Vasaras Olimpiskajās spēlēs — Sievietes, individuālais brauciens	Contre-la-montre féminin de cyclisme sur route aux Jeux olympiques d'été de 2008
Uzbekistānas aviolīnijas	Uzbekistan Airways
Jonišķu rajona pašvaldība	Municipalité du district de Joniškis
Bārta (upe)	Bartuva
Mants Savens	Mantas Savėnas
FV101 Scorpion	FV-101 Scorpion
Vienkristālshēma	Système sur une puce
Hesco bastions	Hesco bastion
Āfrikas čempionāts basketbolā	Championnat d'Afrique de basket-ball masculin
Integrētā kopnes struktūra	Poutre (station spatiale internationale)
Austrālijas ģenerālgubernatori	Gouverneur général d'Australie
Ridge Racer Unbounded	Ridge Racer Unbounded
Sojuz TMA-15M	Soyouz TMA-15M
Marhaneca	Marhanets
Ostrolenkas apriņķis	Powiat d'Ostrołęka
FIFA Pasaules kauss pludmales futbolā	Coupe du monde de football de plage
Ziemeļu renesanse	Renaissance nordique
Dover	Dover
Salpu klase	Thaliacea
Nova Demba	Nowa Dęba
Mehiko katedrāle	Cathédrale Métropolitaine de Mexico
Ātrslidošana 1924. gada Ziemas Olimpiskajās spēlēs	Patinage de vitesse aux Jeux olympiques de 1924
Lesko	Lesko (ville)
RE	RE
Bagraškels	Lac Bosten
Koronovo	Koronowo
Vloščova	Włoszczowa
Octopus	Octopus
Pirates of the Sea	Pirates of the Sea
Samteņi	Satyrinae
Visoke Tatri	Vysoké Tatry (ville)
Krasnijluča	Krasnyï Loutch
Seržs Sargsjans	Serge Sargsian
1973. gada Tour de France	Tour de France 1973
Konīdijas	Conidie
Anvera	Île Anvers
Japānas futbola izlase 2010. gada Pasaules kausa finālturnīrā	Équipe du Japon de football à la Coupe du monde 2010
Patria (uzņēmums)	Patria
Radivojs Koračs	Radivoj Korać
Lietuvas basketbola līga	Championnat de Lituanie de basket-ball
Taizemes pilsētu uzskaitījums	Villes de Thaïlande
Makss Čiltons	Max Chilton
Kallaste	Kallaste
Indijas mangusts	Herpestes edwardsii
One Love	One Love (album de David Guetta)
Luāra	Loire (homonymie)
Falabella	Falabella
Prjevidzas apriņķis	District de Prievidza
Ležajska	Leżajsk
Bacillus anthracis	Bacillus anthracis
Farmācija	Pharmacie
1995. gada Tour de France	Tour de France 1995
2013. gads sportā	2013 en sport
Stērstes	Emberiza
Sīvā bērzlape	Russule émétique
Kaišadore	Kaišiadorys
Fotoluminiscence	Photoluminescence
Anestezioloģija	Anesthésie-réanimation
Vēršantilopju apakšdzimta	Alcelaphinae
All We Know Is Falling	All We Know Is Falling
Racjonža	Raciąż
Anšlavs Eglītis	Anšlavs Eglītis
Efektivitāte (ekonomika)	Efficacité
Voznesenska	Voznessensk
Konrāds I	Conrad Ier
HC Pardubice	HC Pardubice
Moņku apriņķis	Powiat de Mońki
CJM Bourges Basket	Tango Bourges Basket
Every Day Is Exactly the Same	Every Day Is Exactly the Same
Karloss Agilera Martins	Carlos Aguilera Marín
Neste Oil	Neste Oil
Krīts (nozīmju atdalīšana)	Kreda
Apache licence	Licence Apache
Olšina	Olszyna
Pērkons (mitoloģija)	Perkūnas
Rina	Ryn
Hirosimas prefektūra	Préfecture de Hiroshima
Apalačikola	Apalachicola (fleuve)
Likerta skala	Échelle de Likert
Arukila	Aruküla (Raasiku)
Daugavpils Mārtiņa Lutera evaņģēliski luteriskā baznīca	Église luthérienne de Daugavpils
Ape	Ape (Lettonie)
2013. gada Eiropas čempionāts basketbolā	Championnat d'Europe de basket-ball 2013
Šķidrais skābeklis	Oxygène liquide
Aperta sindroms	Syndrome d'Apert
Greiema Zeme	Terre de Graham
Apikāls līdzskanis	Consonne apicale
Melnais akmeņtārtiņš	Tournepierre noir
2013. gada Eiropas čempionāts basketbolā sievietēm	Championnat d'Europe de basket-ball féminin 2013
Adēra rags	Cap Adare
Dainis Ozols	Dainis Ozols
Staru izsekošana	Lancer de rayon
Ziemeļīrijas Futbola asociācija	Association irlandaise de football
Aleksandrs Barkovs	Aleksander Barkov
Aleksandrs Čaks	Aleksandrs Čaks
Klāni	Roselière
Terminators (filmu sērija)	Terminator (série de films)
Aleksandrs Koroļuks	Aleksandr Koroliouk
Mobilā lietotne	Application mobile
Deisms	Déisme
Glicīns	Glycine (acide aminé)
Aleksandrs Tarasovs	Alexandre Tarassov
Gruzijas—Krievijas bruņotais konflikts 2008. gadā	Deuxième guerre d'Ossétie du Sud
Nomierināšanas politika	Politique d'apaisement
Tundželi ils	Tunceli (province)
Aleksandrs Popovs	Alexandre Popov
Teisms	Théisme
Zosu apakšdzimta	Anserinae
Pūķis Baisulis	Zmeï
Kauja pie Omuļiem	Bataille de Hummelshof
Aleksandra Kosteņuka	Alexandra Kosteniouk
Heterobasidion	Heterobasidion
Aleksejs Tereščenko	Alekseï Terechtchenko
Pseidovektors	Pseudovecteur
Irbes šaurums	Détroit d'Irbe
Ponta	Pont (région)
Aleksandrs Pētersons	Alexander Petersson
Augutis	Sternorrhyncha
Selīna Dimerka	Céline Dumerc
Emīlija Gomisa	Émilie Gomis
Džrū Holidejs	Jrue Holiday
Demjens Lilārds	Damian Lillard
Aleksiāņu kongregācija	Alexiens
Alfa magnētiskais spektrometrs	Spectromètre magnétique Alpha
Austrālijas regbija izlase	Équipe d'Australie de rugby à XV
Alfa Romeo F1	Alfa Romeo (Formule 1)
Nacionālās basketbola asociācijas drafts	Draft NBA
Paškaitējums	Automutilation
Volkswagen New Beetle	Volkswagen New Beetle
Oksirinkhosa	Oxyrhynque
Attieksme	Attitude (psychologie)
Asterisk	Asterisk (logiciel)
Tērauda vīrs	Man of Steel
Klasteru analīze	Partitionnement de données
Ares V	Ares V
Psihodēliskais transs	Trance psychédélique
Opel Kadett	Opel Kadett
Dzīvo miroņu nakts	La Nuit des morts-vivants
Segžokleņi	Entognatha
Gutācija	Guttation
DH	Échange de clés Diffie-Hellman
Pērļainā mušmire	Amanite rougissante
Atlasa ciedrs	Cedrus atlantica
2006. gada Eiropas čempionāts vieglatlētikā	Championnats d'Europe d'athlétisme 2006
Austrālijas Nacionālā bibliotēka	Bibliothèque nationale australienne
Zoločiva	Zolotchiv
Arabata strēle	Flèche d'Arabat
Zeltactiņas	Chrysopidae
Ragbi	Rugby (Angleterre)
Uvulārs līdzskanis	Consonne uvulaire
Mercury-Redstone 3	Mercury-Redstone 3
Uzputenis	Mousse (cuisine)
Vostok (kosmosa kuģis)	Vostok (vaisseau spatial)
Nacionālais vēstures piemineklis	National Historic Landmark
Transformeri	Transformer
Staipekņu ģints	Lycopodium
Monoklīnā singonija	Système cristallin monoclinique
ER diagrammas	Modèle entité-association
Termogrāfija	Thermographie
Sniegbaltīte un mednieks	Blanche-Neige et le Chasseur
Miles Away	Miles Away
Ūdeņraža bumba	Bombe H
Tīklenes atslāņošanās	Décollement de rétine
Dāņu Igaunija	Estonie danoise
Fotometrija	Photométrie (optique)
Know Your Enemy	Know Your Enemy (chanson de Green Day)
Krabjēdājronis	Phoque crabier
2012. gada Austrālijas atklātais čempionāts tenisā	Open d'Australie 2012
Hiperoni	Hypéron
2014. gada FIFA Pasaules kausa kvalifikācija — CONCACAF zona	Éliminatoires de la Coupe du monde de football 2014 : zone Amérique du Nord, Amérique centrale et Caraïbes
Maitri	Base antarctique Maitri
Dienvidsudānas futbola izlase	Équipe du Soudan du Sud de football
Bharati	Base antarctique Bharati
Citādie	Divergent (roman)
Mordviešu valodas	Langues mordves
Gravis	Accent grave
Grafikas dizainers	Graphiste
Hoverla	Hoverla
Prāta Vētra	Brainstorm (groupe letton)
Āzijas vēsture	Histoire de l'Asie
Garumzīme	Macron
Daniels da Mota	Daniel da Mota
Kolona (Panama)	Colón (ville du Panama)
45 (skaitlis)	45 (nombre)
Unreal Tournament	Unreal Tournament
Autodesk	Autodesk
Ungārijas hokeja izlase	Équipe de Hongrie de hockey sur glace
Pēterburgas Mākslas akadēmja	Académie russe des beaux-arts
Simple Plan (albums)	Simple Plan (album)
Ozorkova	Ozorków
Lapblusiņas	Psyllidae
Braslava	Braslaw
STS-129	STS-129
Riteņbraukšana 2008. gada Vasaras Olimpiskajās spēlēs — Vīrieši, BMX	BMX masculin aux Jeux olympiques d'été de 2008
Pucka	Puck (Pologne)
Parastā bērzubeka	Bolet rude
Degu ģints	Octodon
Ņisko apriņķis	Powiat de Nisko
Darba aizsardzība	Santé et sécurité au travail
Darba valoda	Langue de travail
Godolfīna arābu zirgs	Godolphin Arabian
Hors catégorie	Hors catégorie
Borts	Bordée
Stūršens	Storsjön
Arbeloss	Arbelos
2010. gada UCI pasaules rangs	Calendrier mondial UCI 2010
SKS 38. ekspedīcija	Expédition 38 (ISS)
Ogre (upe)	Ogre (rivière)
Leonīds Kučma	Leonid Koutchma
Lēne	Län
Vormsi	Vormsi
Latvijas Futbola federācija	Fédération de Lettonie de football
Bulgārijas Futbola savienība	Fédération de Bulgarie de football
Maķedonijas Futbola federācija	Fédération de Macédoine de football
COROT-7b	CoRoT-7 b
Intermediate eXperimental Vehicle	Intermediate eXperimental Vehicle
Džons Maikls Grīns	John Green (écrivain)
Muztagata	Mustagh Ata
Guitar Hero: Aerosmith	Guitar Hero: Aerosmith
Taktsmērs	Pulsation (solfège)
Darvina zorro	Renard de Darwin
The Best of Both Worlds (dziesma)	The Best of Both Worlds (chanson)
Kapibaru apakšdzimta	Hydrochaeridae
Nogaju orda	Horde Nogaï
1979.—1980. gada NBA sezona	Saison NBA 1979-1980
Numismātika	Numismatique
Drošības caurums	Vulnérabilité (informatique)
Teratoloģija	Tératologie
Eiropas savvaļas ēzelis	Hydrontin
Glogovas apriņķis	Powiat de Głogów
Džonatans Kviks	Jonathan Quick
Fedčenko šļūdonis	Glacier Fedtchenko
Austrālijas somaiņi	Australidelphia
Rumānijas Futbola federācija	Fédération roumaine de football
Celebration	Celebration (album)
Ziemeļamerikas kakomiclijs	Bassariscus astutus
Supermoto	Supermotard
Līlends Melvins	Leland D. Melvin
Swan Song Records	Swan Song Records
Waking Up in Vegas	Waking Up in Vegas
Astēnija	Asthénie
Parastā žultsbeka	Tylopilus felleus
Žarnovicas apriņķis	District de Žarnovica
Gaismas stars	Rayon lumineux
Hormozgāna	Hormozgan
Juraja Dobrilas Pulas universitāte	Université Juraj Dobrila de Pula
VIA Technologies	VIA Technologies
Japāņu etiķete	Politesse dans la culture japonaise
Komoru salas	Archipel des Comores
Allods	Alleu
SPAS-12	Franchi SPAS 12
Mars Observer	Mars Observer
Motorola Solutions	Motorola Solutions
Cikāžveidīgie	Cicadomorpha
2000. gada Pasaules čempionāts šosejas riteņbraukšanā	Championnats du monde de cyclisme sur route 2000
Cilvēkpērtiķi un cilvēks	Hominidae
Zilās aras	Anodorhynchus
UCI WorldTour	UCI World Tour
Lietuvas bruņotie spēki	Forces armées lituaniennes
Ariel 1	Ariel 1
Boleslavecas apriņķis	Powiat de Bolesławiec
Dzeržoņovas apriņķis	Powiat de Dzierżoniów
Guras apriņķis	Powiat de Góra
Kežmarokas apriņķis	District de Kežmarok
Tukums	Tukums
Jeleņa Guras apriņķis	Powiat de Jelenia Góra
Bistre	Bystré (district de Svitavy)
Vostok-3	Vostok 3
Javoras apriņķis	Powiat de Jawor
Uvulārs nazāls līdzskanis	Consonne occlusive nasale uvulaire voisée
Nejaukais es 2	Moi, moche et méchant 2
Kamenna Guras apriņķis	Powiat de Kamienna Góra
Kvinna Fabreja	Quinn Fabray
Klodzko apriņķis	Powiat de Kłodzko
Fuksa dzegužpirkstīte	Orchis de Fuchs
Lauči	Fulica
Japānas sieviešu basketbola izlase	Équipe du Japon de basket-ball féminin
ATSC	Advanced Television Systems Committee
Horvātijas sieviešu basketbola izlase	Équipe de Croatie de basket-ball féminin
Mīlestība (filma)	Amour (film, 2012)
Me Against the World	Me Against the World
2009. gada CONCACAF Zelta kauss	Gold Cup 2009
Laga	Loch (bateau)
Seišelu futbola izlase	Équipe des Seychelles de football
Arctovski	Base antarctique Arctowski
Skujkoku ligzdu koksngrauzis	Rhagium inquisitor
Hranice	Hranice
1934. gada Pasaules čempionāts šosejas riteņbraukšanā	Championnats du monde de cyclisme sur route 1934
Krievu—turku karš (1735—1739)	Guerre austro-russo-turque de 1735-1739
Krāslava	Krāslava
TM-XML	TM-XML
United Airlines reiss 93	Vol 93 United Airlines
Traidens	Traidenis
Stenševa	Stęszew
Novosibirskas @@@u0026Sibirj"	Sibir Novossibirsk
Lielais Klusā okeāna atkritumu plankums	Vortex de déchets du Pacifique nord
Atlantijas divīzija (NBA)	Division Atlantique de la NBA
Eiropas autoceļš E75	Route européenne 75
Jakubs Šindels	Jakub Šindel
Kartalas rajons	Kartal (Istanbul)
Žovti Vodi	Jovti Vody
Jekaterinburgas @@@u0026Avtomobilist"	Avtomobilist Iekaterinbourg
Oborņiki	Oborniki
Slupca	Słupca
Kīčīkčekmedžes rajons	Küçükçekmece
Mendzižeča	Międzyrzecz
Džona Rosa Robertsona kauss	Coupe J. Ross Robertson
Ordžonikidze (pilsēta)	Ordjonikidze (oblast de Dnipropetrovsk)
1988. gada Tour de France	Tour de France 1988
Ezervaboļu dzimta	Noteridae
Mūziķis	Musicien
Omid	Omid (satellite)
Perejaslava-Hmeļnicka	Pereïaslav-Khmelnytskyï
Dienvidaustrumu divīzija (NBA)	Division Sud-Est de la NBA
Ylvis	Ylvis
Hoščno	Choszczno
Raiens Keslers	Ryan Kesler
1985. gada NHL drafts	Repêchage d'entrée dans la LNH 1985
Kartuzi	Kartuzy
Štuma	Sztum
Rotmistrs	Rittmeister
Blotsvens	Sven de Suède
Resursu rezervēšanas protokols	Resource Reservation Protocol
Misliboža	Myślibórz
Čluhova	Człuchów
Kempno	Kępno
Novomoskovska (Ukraina)	Novomoskovsk (Ukraine)
MySQL Workbench	MySQL Workbench
Sineļnikove	Synelnykove
MK	MK
