Aphrika	Afrique
Juan Antonio Pezet	Juan Antonio Pezet
Villa Rivero	Villa Rivero
Suona	Suona
Puerto Villarroel	Puerto Villaroel
Wanuku pruwinsya	Province de Huánuco
Los Olivos distritu	Los Olivos (district)
Ponciano Corral	Ponciano Corral
Puerto Busch	Puerto Busch
Pedro Pablo Bermúdez	Pedro Pablo Bermúdez
Saqtaq mayu	Río Santa
Walaq	Leptodactylus pentadactylus
Kawsachikuy	Nutrition
San José Chikitus	San José de Chiquitos
Phirriñaphi	Ferreñafe
Wanta	Huanta
Aksu	Jupe
Sinta	Ruban
Caine mayu	Río Caine
Utulu	Coq
Francisco de Luna Pizarro	Francisco Xavier de Luna Pizarro
Hak'u wayaqa	Courbaril
Willka Qhichwa	Vallée sacrée des Incas
Bètlòc pukara	Château de Bellocq
Intillama	Paresseux
Lamas pruwinsya	Province de Lamas
Zamora llaqta	Zamora (Équateur)
Siluli ch'in pacha	Désert Siloli
Sichura pruwinsya	Province de Sechura
Talara pruwinsya	Province de Talara
Noel Nicola	Noel Nicola
Killawat'a	Isla de la Luna
Tapukuq sutip rantin	Outil interrogatif
Piruwpaq Huñu	Union pour le Pérou
José Carvallo	José Carvallo
Apulu	Apolo (Bolivie)
Ch'allapata (Uru Uru)	Challapata
San Borja	San Fracisco de Borja
Paraqas mama llaqta risirwa	Réserve nationale de Paracas
Hugo Sotil	Hugo Sotil
Wayñu	Huayno
Waranway	Tecoma
Wankapampa	Huancabamba
Atakama Puna	Puna
Manu pruwinsya	Province de Manu
Chorrillos distritu	Chorrillos
Pedro Diez Canseco	Pedro Diez Canseco
José Balta	José Balta
Miguel de San Román	Miguel de San Román
Chakrarahu	Chacraraju
Antonio Gutiérrez	Antonio Gutiérrez de la Fuente
Garcilaso rahu	Pyramide de Garcilaso
Atun challwa	Thunnus
Qañawa	Chenopodium pallidicaule
Chiway	Chivay
Mullintu	Mollendo
Francisco Solano (santu)	François Solano
Miguel Loayza	Miguel Loayza
Oscar Ibañez	Óscar Ibáñez
Ch'uñu	Chuño
Sergio Markarián	Sergio Markarián
Muyska simi	Muisca (langue)
Francisco García Calderón	Francisco García Calderón
Musk'uru	Ustilago
Sangolquí	Sangolquí
Chinchaysuyu	Chinchay Suyu
Pinkuyllu	Pinquillo
Elephanti	Elephantidae
Bora simi	Bora (langue)
Rosario Fernández	Rosario Fernández
Yukamani	Yucamane
Alto Larán distritu	District d'Alto Larán
San Bartolo distritu	San Bartolo (district)
Vazgen Manukyan	Vazgen Manoukian
Puka Pukara	Puca Pucará
José de la Riva Agüero	José de la Riva Agüero y Sánchez Boquete
Hanan Pima simi	O'odham
Francisco del Rosario Sánchez	Francisco del Rosario Sánchez
Yara	Dunalia
Quyllur Rit'i	Qoyllurit'i
Akatanqa	Scarabaeinae
Juan Mercier	Juan Ignacio Mercier
Kutu-kutu (Aloysia gratissima)	Aloysia gratissima
Quri liwtu	Lys des Incas
Ronald Raldes Balcazar	Ronald Raldes
Willington Ortiz	Willington Ortiz
Carlos García-Bedoya	Carlos García-Bedoya
Chakas	Chacas
Pampa Galeras - Bárbara D'Achille mama llaqta risirwa	Réserve nationale Pampas Galeras-Bárbara d'Achille
Felipe Pinglo Alva	Felipe Pinglo Alva
Wañuy iskadrun	Escadron de la mort
Benedicta Boccoli	Benedicta Boccoli
Asnaq qucha (Chinchay Lipis)	Laguna Hedionda
John Harold Lozano	Harold Lozano
Tuqti	Noyer
Montecristi kiti	Montecristi (canton)
Jorge Rivero	Jorge Rivero
William Chiroque	William Chiroque
Jonaspa qillqasqan	Jonas
Turu pisqu	Coracine ornée
Runa llaqta	Peuple
Thuta	Tineidae
Panu takana rimaykuna	Langues pano-tacananes
Willkawaman	Vilcashuaman
Elba de Pádua Lima	Elba de Pádua Lima
Usuma	Bunchosia argentea
Aspero	Aspero
Tanka taruka	Daguet nain
La Victoria distritu	La Victoria (Lima)
Kiskis	Quizquiz
Ranrapallqa	Ranrapalca
Universidade do Estado de Minas Gerais	Universidade do Estado de Minas Gerais
Joaquín Crespo	Joaquín Crespo
Chinchirkuma	Mutisia
Héctor Veira	Héctor Veira
Simón Díaz	Simón Díaz
Trujillo	Trujillo
Carlos Lobatón	Carlos Lobatón
Salah Assad	Salah Assad
Laq'a Jawira	Río Laca Jahuira
Q'iswa chaka	Pont de corde inca
Achuar	Achuar
Ankasti	Ancasti
Parawa mayu	Río Paraguá
Juan Carlos Oblitas	Juan Carlos Oblitas
Tsaphiki simi	Tsafiqui
Barranca, Lima	Barranca (Pérou)
Jorge Bermúdez	Jorge Bermúdez
Chulli llaqta	Juli (Pérou)
Chapalachi simi	Cayapa
Awapit simi	Awa pit
El Brujo	El Brujo
Sillustani	Sillustani
Carlos Fermín Fitzcarrald	Carlos Fitzcarrald
Chabuca Granda	Chabuca Granda
La Polla Records	La Polla Records
Cirilo Rivarola	Cirilo Antonio Rivarola
Alfonso Barrantes Lingán	Alfonso Barrantes Lingán
Gabriela Pérez del Solar	Gabriela Pérez del Solar
Puruchuku	Puruchuco
Alberto Terry	Alberto Terry
Naska siq'ikuna	Géoglyphes de Nazca
Hatun charapa	Podocnemis expansa
Li Ming	Li Ming (football)
Jorge Newbery	Jorge Newbery
José de la Riva Agüero y Osma	José de la Riva-Agüero y Osma
San Isidro distritu	San Isidro (district)
Giancarlo Carmona	Giancarlo Carmona
Sofía Mulanovich	Sofía Mulánovich
Melchor Ocampo	Melchor Ocampo
Pululawa	Pululahua
Pawshi	Mitu
Waqra phuku	Corne (musique)
Kaingang simi	Kaingang (langue)
Humint'a	Humita
Wahibo simi	Sikuani
Jorge Wilstermann antanka pampa	Aéroport international Jorge Wilstermann
Yana khuyaq	Hirondelle à ventre brun
Shipipu simi	Shipibo-conibo
Yvette Chauviré	Yvette Chauviré
Felipe Pardo	Felipe Pardo y Aliaga
Kanila sach'a	Cannelier de Ceylan
Allwiya	Technique
Inga	Inga (ethnie)
Luis Conejo	Luis Gabelo Conejo
Lan wiqi	Croton lechleri
Wamanpinta	Chuquiraga
Husqa	Dalea
Wach'i raya	Plesiotrygon iwamae
Waranqu	Prosopis pallida
Tanla	Leporinus
Khiñi	Colletia
Hatun kawallu chupa	Equisetum giganteum
Qiwin	Gevuina avellana
Masanki	Astrocaryum
Chañar	Geoffroea decorticans
Kupisu	Podocnemis sextuberculata
Sipán	Sipán
Wakamayu charapa	Peltocephalus dumerilianus
Khani-khani	Salpichroa origanifolia
Waka rinri	Arisaema triphyllum
Tipa	Tipuana tipu
Wilka	Anadenanthera colubrina
Pashin	Hoplias malabaricus
Pana qachu	Pennisetum clandestinum
Sapara runa	Zápara
Suway	Vol (droit)
Tala	Celtis ehrenbergiana
Qhaya-qhaya	Solanum americanum
Conrad Bain	Conrad Bain
Luis Cruzado	Luis Cruzado
Los Bunkers	Los Bunkers
Qaqa	Crag
San Pedro (nina urqu)	San Pedro (Antofagasta)
Severo Fernández Alonso Caballero	Severo Fernández Alonso Caballero
Wambyanu simi	Guambiano
Ancón distritu	District d'Ancón
Ballestas wat'akuna	Îles Ballestas
Bahía de Caráquez	Bahía de Caráquez
Tapichi mayu	Río Tapiche
Payun Matru	Payún Matrú
Manu mayu	Río Manú
Martín Tovar	Martín Tovar y Tovar
's-Hertogenbosch	Bois-le-Duc
Francisco García Calderón Rey	Francisco García Calderón Rey
Punku p'anqa: Simi kapchiy	Portail:Littérature
Hanan Purus mamallaqta wari kancha	Parc national Alto Purús
Akaray	Acaray
Aphru-buliwiyanu runa	Afro-Boliviens
ANPE	Agencia de Noticias Plurinacional del Ecuador
Camilo Torres	Camilo Torres Tenorio
Truhillu distritu	District de Trujillo
Antawayllacha distritu	Andahuaylillas
Anduwa simi	Andoa
Antara	Antara (instrument)
Antonio Cisneros	Antonio Cisneros
Trucha	Salmo trutta
Tuyur	Orage
Araona runa	Araona (peuple)
Rurrenabaque antanka pampa	Aéroport de Rurrenabaque
Raqch'i	Raqchi
Sarumilla	Zarumilla
Bartolomé Herrera	Bartolomé Herrera
Ese'eqha	Esse Ejja
Baure runa	Baure (peuple)
Luyu-luyu	Schinus polygamus
K'allma	Branche (botanique)
Llawq'a	Lumbricidae
Puka wantuq	Brugmansia sanguinea
Kanichana runa	Canichana (peuple)
Kutawasi qhichwa	Canyon de Cotahuasi
Qarawayllu distritu	Carabayllo
Qarapulka	Carapulca
Kawiña	Cavineño
Katiguriya:Kultura	Catégorie:Culture
Katiguriya:Allpa pacha	Catégorie:Continent
Charkana distritu	Charcana
Chipin	Chepén
Chiman runa	Chimane
Chipaya runa	Chipayas
Chuta	Chota
Chumpi distritu	Chumpi
Montanerpa pukaran	Château de Montaner
Cieneguilla distritu	Cieneguilla
Chulukanas distritu	Circonscription de Chulucunas
Ese'eqha simi	Ese 'ejja
Piruwpa iskarapilan	Cocarde péruvienne
Piki Mach'ay	Pikimachay
Piruw Llamk'aqkuna Sapsi Tantanakuy	Confédération générale des travailleurs du Pérou
Qullasuyu Ayllukunap Markakunap Mamallaqta Kunaqnin	Conseil national des Ayllus et Markas du Qullasuyu
Uchpa kusituy	Uchpa
T'urpi	Mouvement de rotation
Daniel Hernández	Daniel Hernández
Saqawaya	Tambo Quemado
Pampa Luxsar	Pampa Luxsar
De Facto Cadre Dub	De Facto (groupe de musique)
K'atma	Degré (mathématiques)
Yuthu papa	Solanum berthaultii
Wichi simi	Wichi (langue)
Chuqupi distritu	District de Chocope
Wanchaku distritu	District de Huanchaco
Lima distritu	District de Lima
Naska distritu	District de Nazca
Dolores Cacuango	Dolores Cacuango
Sao Shwe Thaik	Sao Shwe Thaik
Tomás Monje Gutiérrez	Tomás Monje Gutiérrez
Manuel Murillo	Manuel Murillo Toro
Mojanda	Mojanda
Tránsito Amaguaña	Tránsito Amaguaña
Eduardo Abaroa	Eduardo Abaroa
Penarc/qillqasqankuna	Edward Bancroft
Kuraray mayu	Río Curaray
Musu runa	Moxos
Gholam Hossein Mazloumi	Gholam Hossein Mazloumi
Siwas	Sihuas
Utusku	Otuzco
Satipu	Satipo
Pedro Paulet	Pedro Paulet
Kañapa qucha	Lagune Cañapa
Lurumayu qucha	Lagune Loromayu
Kalina qucha	Lagune Kalina
Wayaqi	Guayaques
Illampu chullunku qucha	Lagune glaciaire
Yanaqa (mawk'a llaqta)	Yanaca
Wamuwis qucha	Laguna de la Cocha
Mindo kitilli	Mindo
10 watakuna	Années 10
Linsur	Linzor
Santiago mayu (Marañun)	Río Santiago (Marañón)
Inampari mayu	Río Inambari
Yanisha simi	Yanesha
Ikwadurpi Indihina runa llaqtakuna	Peuples indigènes d'Équateur
Kayapo simi	Kayapo (langue)
Os Resentidos	Os Resentidos
Pran	Pran
Mansirichi punku	Pongo de Manseriche
Qumlik simi	Toba (langue)
Takana rimaykuna	Langues tacananes
Paray mit'a	Saison humide
Inka yachay tarpuy	Civilisations andines
Pansaliyu	Panzaleo
Playas (Ikwadur)	Playas
Sara García	Sara García
Atawallpa Apu Inka	Juan Santos Atahualpa
Xavier Navarròt	Xavier Navarrot
Piruwpi rimaykuna	Langues au Pérou
Sumaku	Sumaco
K'ara qucha	Lagune Kara
Sinru qillqa:Kamri suyupi munisipyukuna	Liste des communautés du pays de Galles
Yine simi	Yine
Challwiri kachi qucha	Salar de Chalviri
Challwiri q'umir qucha	Laguna Salada (Bolivie)
Pillihan	Huperzia saururus
Laram Q'awani	Isluga
Mandioré qucha	Lagune Mandioré
Ubinas distritu	Ubinas
Yaku mayu	Rio Iaco
Chandless mayu	Rio Chandless
Víctor Manuel	Víctor Manuel
San Mateo distritu	San Mateo de Huanchor
Julio Alemán	Julio Alemán
Takana simi	Tacana
Niwaqli simi	Nivaklé
Kiliwa simi	Kiliwa
Wikipidiya:Qillqa suti	Wikipédia:Conventions sur les titres
José Sebastián de Goyeneche	José Sebastián de Goyeneche y Barreda
Juan José Oré	Juan José Oré
Tuhu	Taupe
Kayampi runa	Kayambis
Kichwa runa	Kichwas
Kullawa	Kullawa
Khunurana rit'i urqu (Raya walla)	Kunurana
Churup qucha	Lac Churup
La Gaiba qucha	Lagune La Gaiba
Sichura	Sechura
Punku p'anqa: Quyllur yachay	Portail:Astronomie
Punku p'anqa: Taki kapchiy	Portail:Musique
Rasa	Race humaine
Sinru qillqa:Inlatirra suyupi wat'akuna	Liste des îles d'Angleterre
Kulli	Pourpre
Punku p'anqa: Allpa saywachi	Portail:Géographie
Libido kusituy	Líbido
Manuel Alejandro	Manuel Alejandro
Manuel Posada	Manuel Posada y Garduño
Manuel de Bernardo Alvarez	Manuel de Bernardo Álvarez
Joaquín Cordero	Joaquín Cordero
Wiririma	Astrocaryum jauari
Llut'ariy	Magnétisme
Martha Chávez	Martha Chávez
Tinaku	Indigofera suffruticosa
María Cano	María Cano
C. Everett Koop	C. Everett Koop
Q'illu akwa	Nectandra
Wayu	Fruit (alimentation humaine)
Wakilla llaqta	Huaquillas
Mowima	Movima (peuple)
Kimsa Chata (Buliwya-Chili)	Nevados de Quimsachata
Wiru llaqta	Virú (ville)
Chuntu	Pyramide
Llapa ruru kancha	Paradis
Pasaje	Pasaje
Misk'i wiru	Saccharum officinarum
Putana	Putana
Upyana qiru	Qero
Kilintaña	Quilindaña
Kachiqucha Yuraqyaku mama llaqta risirwa	Réserve nationale Salinas y Aguada Blanca
Killaqa mayu (Arhintina - Buliwya)	Río La Quiaca
Qalti	Sigesbeckia orientalis
Siryono	Sirionó (peuple)
Buliwyapi Ramsar k'itikuna	Sites Ramsar en Bolivie
Siwi (sut'ichana)	Siwi (homonymie)
Hump'i	Sueur
Takana runa	Tacana (peuple)
Tuqush	Tocosh
Tunay Q'asa	Tunay Kassa
Wisk'acha	Viscache
Yawarkucha	Yahuarcocha
Ángel Clemente Rojas	Ángel Clemente Rojas
Q'upu	Érismature des Andes
Katiguriya:Makiyasiy	Catégorie:Volley-ball
Katiguriya:Makiyasiy (Mama llaqta)	Catégorie:Volley-ball par pays
Katiguriya:Makiyasiq	Catégorie:Joueur de volley-ball
Anna Rita Del Piano	Anna Rita Del Piano
Parun qucha	Lac Parón
Katiguriya:Buliwyapi runa llaqta	Catégorie:Groupe ethnique de Bolivie
Chakakuq	Poutre (construction)
Andres Tupaq Amaru	Andrés Túpac Amaru
Wiruti	Javelot
Micaela Bastidas	Micaela Bastidas
Iñuku wisnu	Masse atomique
María Lupita García	Maria Guadalupe Garcia Zavala
Kusuri	Cormoran
Plantilla:Cita	Modèle:Citation
Katiguriya:Alimanyayuq	Catégorie:Personnalité allemande
Katiguriya:Hukllachasqa Amirika Suyukunayuq	Catégorie:Personnalité américaine
Katiguriya:Ransiyayuq	Catégorie:Personnalité française
Plantilla:QhapaqChunkana	Modèle:Diagramme d'échecs
Katiguriya:Simi kapchiy (Alimanya)	Catégorie:Littérature de langue allemande
Katiguriya:Italyayuq	Catégorie:Personnalité italienne
Katiguriya:Mayu (Iwrupa)	Catégorie:Cours d'eau d'Europe
Katiguriya:Taripay amachaq (Hukllachasqa Amirika Suyukuna)	Catégorie:Avocat américain
Katiguriya:Urqu (Iwrupa)	Catégorie:Montagne d'Europe
Katiguriya:Piluta hayt'aq (Alimanya)	Catégorie:Footballeur allemand
Katiguriya:Llimphiq (Alimanya)	Catégorie:Peintre allemand
Katiguriya:Mama llaqta	Catégorie:Pays
Katiguriya:Musiku	Catégorie:Économie
Wikipidiya:Kamachiq	Wikipédia:Administrateur
Katiguriya:Chilipi runa llaqta	Catégorie:Groupe ethnique du Chili
Katiguriya:Ikwadurpi runa llaqta	Catégorie:Groupe ethnique d'Équateur
Katiguriya:Runa llaqta	Catégorie:Groupe ethnique
Katiguriya:Pruphisyun	Catégorie:Métier
Katiguriya:Riqsisqa runa	Catégorie:Personnalité par métier
Katiguriya:Piruwpi runa llaqta	Catégorie:Groupe ethnique du Pérou
Katiguriya:Butanika	Catégorie:Botanique
Katiguriya:Kurku yachay	Catégorie:Anatomie
Katiguriya:Hampi yachay	Catégorie:Médecine
Katiguriya:Kawpay	Catégorie:Politique
Katiguriya:Yachachiy	Catégorie:Éducation
Katiguriya:Kapchiy	Catégorie:Art
Antikuna ruwli	Quercus humboldtii
Panathinaikos FC	Panathinaïkos (football)
Ihiptu	Égypte
Hatun chimpansi	Pan troglodytes
Katiguriya:2013	Catégorie:2013
Katiguriya:Pulitiku (Unriya)	Catégorie:Personnalité politique hongroise
Plantilla:Bot	Modèle:Bot
Pinocchio (kuyuchisqa siq'isqa)	Pinocchio (film, 1940)
Kanatá	Canada
Katiguriya:Unriya	Catégorie:Hongrie
Katiguriya:Bilhika	Catégorie:Belgique
Katiguriya:Chiksuyu	Catégorie:République tchèque
Katiguriya:Dansuyu	Catégorie:Danemark
Katiguriya:Istunya	Catégorie:Estonie
Katiguriya:Phinsuyu	Catégorie:Finlande
Katiguriya:Grisya	Catégorie:Grèce
Katiguriya:Litunya	Catégorie:Lettonie
Katiguriya:Islandya	Catégorie:Islande
Katiguriya:Luksimbur	Catégorie:Luxembourg
Katiguriya:Lituwa	Catégorie:Lituanie
Katiguriya:Malta	Catégorie:Malte
Katiguriya:Suysya	Catégorie:Suède
Katiguriya:Isluwakya	Catégorie:Slovaquie
Wikipedia:Ruraqpa hayñin	Wikipédia:Droit d'auteur
Katiguriya:Wikipidiya:Kusa qillqa	Catégorie:Article de qualité
Wikipidiya:Wikipidiyamanta	Wikipédia:À propos
Katiguriya:Chaqllisinchi yachaq	Catégorie:Chimiste
Sikuwani	Sicuani
Punku p'anqa: Yachay	Portail:Sciences
Achkash	Agneau
Katiguriya:Mama llaqta (Iwrupa)	Catégorie:Pays d'Europe
Katiguriya:Iwrupa	Catégorie:Europe
Chhulla	Gelée blanche
Plantilla:Plantillata llamk'achiy	Modèle:Documentation
Wikipidiya:Ayllupaq p'anqa	Wikipédia:Accueil de la communauté
Katiguriya:Wikipidiya:Ayllupaq p'anqa	Catégorie:Communauté Wikipédia
Katiguriya:Babel	Catégorie:Wikipédiens par langue
Wikipidiya:Pichqantin tiksi tunu	Wikipédia:Principes fondateurs
Wikipidiya:Mana hukllap qhawariyninlla	Wikipédia:Neutralité de point de vue
Abuta	Abuta
Sung Jae-ki	Sung Jae-ki
Alberto Moreno	Alberto Moreno Pérez
Waytasapa krus k'aspi	Brownea grandiceps
Champira	Astrocaryum chambira
Instituto Federal da Bahia	École polytechnique fédérale de Bahia
Plantilla:Softredirect	Modèle:Redirection douce
Plantilla:Champay	Modèle:Suppression Immédiate
Wiksachaki	Gastropoda
Llulla	Mensonge
Katiguriya:Hinitika	Catégorie:Génétique
Katiguriya:Simi	Catégorie:Langue
Yachay wayllukuq	Philosophe
Katiguriya:Wikipidiya	Catégorie:Wikipédia
Wikipedia:General disclaimer	Wikipédia:Avertissements généraux
Awqaq	Militaire
Katiguriya:Llaqta (Iwrupa)	Catégorie:Ville d'Europe
Katiguriya:Llaqta (Mama llaqta)	Catégorie:Ville ou commune par pays
CR Vasco da Gama	Club de Regatas Vasco da Gama
Plantilla:Navbox	Modèle:Méta palette de navigation
Pukaurqu (Chili)	Volcan Colorado
Montcadapa pukaran	Château de Moncade
Supaypa wasin tusuq	Danza de las tijeras
Kalawasa	Cucurbita
Uni runa	Cashibo
Tupi simi	Língua geral
Plantilla:!	Modèle:!
Plantilla:Tnavbar	Modèle:Tnavbar
Hukllachasqa Amirika Suyukunapi mama llaqta parkikuna	Liste des parcs nationaux des États-Unis
Plantilla:Unicode	Modèle:UCode
Plantilla:E	Modèle:X10
Plantilla:Clear	Modèle:Clr
Plantilla:Col-break	Modèle:Col-break
Plantilla:Col-begin	Modèle:Col-début
Plantilla:Col-end	Modèle:Col-fin
Wikipidiya:Lliw Wikipidiyapaq qillqanakuna	Wikipédia:Articles vitaux
Katiguriya:Aphrika	Catégorie:Afrique
Katiguriya:Anta situwa killa	Catégorie:Juillet
Katiguriya:Inti raymi killa	Catégorie:Juin
Plantilla:Babel	Modèle:Boîte Babel
Plantilla:Commons	Modèle:Commons
Plantilla:AFG	Modèle:Afghanistan
Plantilla:AGO	Modèle:Angola
Plantilla:Ikwadurpa markankuna	Modèle:Palette Subdivisions de l'Équateur
Plantilla:Stub	Modèle:Ébauche
Plantilla:Ruwaq:eo-1	Modèle:Utilisateur eo-1
Plantilla:Ruwaq:ca-1	Modèle:Utilisateur ca-1
Plantilla:Ruwaq:de	Modèle:Utilisateur de
Plantilla:Ruwaq:de-1	Modèle:Utilisateur de-1
Plantilla:Ruwaq:es	Modèle:Utilisateur es
Plantilla:Ruwaq:de-3	Modèle:Utilisateur de-3
Plantilla:Ruwaq:en-3	Modèle:Utilisateur en-3
Plantilla:Ruwaq:en-1	Modèle:Utilisateur en-1
Plantilla:Ruwaq:en-2	Modèle:Utilisateur en-2
Plantilla:Ruwaq:eo-2	Modèle:Utilisateur eo-2
Plantilla:Ruwaq:en-4	Modèle:Utilisateur en-4
Plantilla:Ruwaq:fi	Modèle:Utilisateur fi
Plantilla:Ruwaq:en	Modèle:Utilisateur en
Plantilla:Ruwaq:de-2	Modèle:Utilisateur de-2
Plantilla:Ruwaq:es-1	Modèle:Utilisateur es-1
Plantilla:Ruwaq:fi-1	Modèle:Utilisateur fi-1
Plantilla:Ruwaq:fr-1	Modèle:Utilisateur fr-1
Katiguriya:Kultura (Hukllachasqa Amirika Suyukuna)	Catégorie:Culture aux États-Unis
Katiguriya:Kultura (Mama llaqta)	Catégorie:Culture par pays
Katiguriya:Kawsaq	Catégorie:Vivant
Plantilla:Ruwaq:it-3	Modèle:Utilisateur it-3
Plantilla:Ruwaq:fr-2	Modèle:Utilisateur fr-2
Plantilla:Ruwaq:tr	Modèle:Utilisateur tr
Plantilla:Ruwaq:ja	Modèle:Utilisateur ja
Plantilla:Ruwaq:ja-1	Modèle:Utilisateur ja-1
Plantilla:User it-1	Modèle:Utilisateur it-1
Plantilla:Ruwaq:fr	Modèle:Utilisateur fr
Qusqu	Cuzco
Katiguriya:Taytakura (Mama llaqta)	Catégorie:Clergé catholique par nationalité
Katiguriya:Karu puriy	Catégorie:Tourisme
Katiguriya:Hatun puquy killa	Catégorie:Février
Katiguriya:1957	Catégorie:1957
Katiguriya:1949	Catégorie:1949
Katiguriya:1927	Catégorie:1927
Katiguriya:1919	Catégorie:1919
Katiguriya:Palama	Catégorie:Insecte
Plantilla:HRV	Modèle:Croatie
Katiguriya:Asarsuyu	Catégorie:Azerbaïdjan
Katiguriya:Asya	Catégorie:Asie
Katiguriya:Chili	Catégorie:Chili
Katiguriya:21 ñiqin pachakwata	Catégorie:XXIe siècle
Katiguriya:Lisuthu	Catégorie:Lesotho
Katiguriya:Urin Awya Yala	Catégorie:Amérique du Sud
Katiguriya:1930	Catégorie:1930
Katiguriya:1936	Catégorie:1936
Katiguriya:1947	Catégorie:1947
Katiguriya:1937	Catégorie:1937
Katiguriya:1940	Catégorie:1940
Katiguriya:1934	Catégorie:1934
Katiguriya:1960	Catégorie:1960
Katiguriya:1943	Catégorie:1943
Katiguriya:1951	Catégorie:1951
Katiguriya:1942	Catégorie:1942
Katiguriya:Suyu (Italya)	Catégorie:Région d'Italie
Katiguriya:1959	Catégorie:1959
Katiguriya:1938	Catégorie:1938
Katiguriya:1928	Catégorie:1928
Katiguriya:1913	Catégorie:1913
Katiguriya:1918	Catégorie:1918
Katiguriya:1954	Catégorie:1954
Katiguriya:Malasya	Catégorie:Malaisie
Katiguriya:1941	Catégorie:1941
Katiguriya:1955	Catégorie:1955
Katiguriya:1950	Catégorie:1950
Katiguriya:Mikhuna	Catégorie:Aliment
Katiguriya:1921	Catégorie:1921
Katiguriya:1977	Catégorie:1977
Katiguriya:1946	Catégorie:1946
Katiguriya:1948	Catégorie:1948
Katiguriya:1932	Catégorie:1932
Katiguriya:Piluta hayt'ay	Catégorie:Football
Katiguriya:1945	Catégorie:1945
Plantilla:Mod	Modèle:Mod
Katiguriya:1923	Catégorie:1923
Katiguriya:1935	Catégorie:1935
Katiguriya:1910	Catégorie:1910
Katiguriya:1917	Catégorie:1917
Katiguriya:1904	Catégorie:1904
Katiguriya:1926	Catégorie:1926
Katiguriya:1907	Catégorie:1907
Katiguriya:1914	Catégorie:1914
Katiguriya:1929	Catégorie:1929
Katiguriya:1920	Catégorie:1920
Katiguriya:1925	Catégorie:1925
Katiguriya:1905	Catégorie:1905
Katiguriya:1915	Catégorie:1915
Plantilla:Ruwaq:es-2	Modèle:Utilisateur es-2
Katiguriya:1908	Catégorie:1908
Katiguriya:1901	Catégorie:1901
Katiguriya:1903	Catégorie:1903
Katiguriya:1902	Catégorie:1902
Katiguriya:1900	Catégorie:1900
Katiguriya:1933	Catégorie:1933
Katiguriya:Simana	Catégorie:Jour de la semaine
Katiguriya:1912	Catégorie:1912
Plantilla:Killa uma siq'i	Modèle:Palette Mois
Katiguriya:Piluta hayt'ay klubkuna (Inlatirra)	Catégorie:Club anglais de football
Katiguriya:Piluta hayt'ay klubkuna (Ispaña)	Catégorie:Club espagnol de football
Katiguriya:1952	Catégorie:1952
Plantilla:Llaqtawillay Piruw	Modèle:Country data Pérou
Katiguriya:Tantanakuy	Catégorie:Organisation
Katiguriya:Piluta hayt'ay klubkuna (Alimanya)	Catégorie:Club allemand de football
Plantilla:Killapacha	Modèle:Palette Éphéméride
Katiguriya:1911	Catégorie:1911
Katiguriya:1922	Catégorie:1922
Plantilla:ITA	Modèle:Italie
Katiguriya:1924	Catégorie:1924
Katiguriya:1906	Catégorie:1906
Katiguriya:Piluta hayt'ay klubkuna	Catégorie:Club de football
Plantilla:GEO	Modèle:Géorgie
Plantilla:BU	Modèle:Bolivie
Plantilla:MEX	Modèle:Mexique
Katiguriya:Ruwaq:fr-1	Catégorie:Utilisateur fr-1
Plantilla:Country showdata	Modèle:Country showdata
Plantilla:Image label	Modèle:Image label
Plantilla:MAR	Modèle:Maroc
Plantilla:MDG	Modèle:Madagascar
Ispana ukhu	Latrines
Plantilla:PSE	Modèle:État de Palestine
Plantilla:SVK	Modèle:Slovaquie
Plantilla:TWN	Modèle:Taïwan
Plantilla:EGY	Modèle:Égypte
Plantilla:KGZ	Modèle:Kirghizistan
Plantilla:MYT	Modèle:Mayotte
Katiguriya:Wiñay kawsay (Hukllachasqa Amirika Suyukuna)	Catégorie:Histoire des États-Unis
Plantilla:ISR	Modèle:Israël
Plantilla:STP	Modèle:Sao Tomé-et-Principe
Plantilla:VEN	Modèle:Venezuela
Plantilla:UKR	Modèle:Ukraine
Plantilla:PHL	Modèle:Philippines
Plantilla:ROU	Modèle:Roumanie
Plantilla:BHR	Modèle:Bahreïn
Plantilla:TUR	Modèle:Turquie
Katiguriya:Pulitika rakiy (Hukllachasqa Qhapaq Suyu)	Catégorie:Subdivision du Royaume-Uni
Plantilla:DJI	Modèle:Djibouti
Plantilla:BRN	Modèle:Brunei
Plantilla:PCN	Modèle:Îles Pitcairn
Plantilla:Kusa qillqa	Modèle:Article de qualité
Plantilla:Han simipi	Modèle:Chinois
Katiguriya:Paqarisqa 1875	Catégorie:Naissance en 1875
Katiguriya:Paqarisqa 1856	Catégorie:Naissance en 1856
Katiguriya:Gana	Catégorie:Ghana
Katiguriya:Paris	Catégorie:Paris
Katiguriya:Ruwaq:en-4	Catégorie:Utilisateur en-4
Katiguriya:Tuqu	Catégorie:Togo
Katiguriya:Ruwaq:en	Catégorie:Utilisateur en
Katiguriya:Ruwaq:zh	Catégorie:Utilisateur zh
Katiguriya:Hurwatsuyu	Catégorie:Croatie
Katiguriya:Ruwaq:en-2	Catégorie:Utilisateur en-2
Katiguriya:Wañusqa 1902	Catégorie:Décès en 1902
Katiguriya:Qhapaq (Ransiya)	Catégorie:Roi de France
Katiguriya:Wiñay kawsay (Mama llaqta)	Catégorie:Histoire par pays
Katiguriya:Uma kamayuq (Israyil)	Catégorie:Premier ministre d'Israël
