Naakaii Łizhiní Bikéyah	Afrique
Tsáʼásziʼ bideeʼí	Yucca baccata
Łéʼétsoh beeniʼíhoniitaahígíí	Cavia
Naʼashǫ́ʼii dichʼízhii	Phrynosoma
Chéłchaaʼ bikʼosnézí	Scarabée girafe
Ásaaʼ neiyéhii	Meloidae
Naʼashǫ́ʼiitsoh łitsooígíí	Conolophus subcristatus
Shádiʼááhdę́ę́ʼ tiníléí	Lézard perlé
Sahdii Bisí (Tsé Nástánii)	Parc national de Petrified Forest
Tsé Bighánílíní	Antelope Canyon
Naakaii Dootłʼizhii bimósí ałchinígíí	Chat rubigineux
Naʼashǫ́ʼiiłchííʼ dootłʼizhígíí	Agama mwanzae
Kʼaabizhii	Mammillaria
Dahiitį́hídą́ą́ʼtsoh	Castilleja
Wálázhini	Messor (genre)
Dlǫ́ʼbéʼézhóóʼ	Aristide (plante)
Chʼil abeʼéntsxaaí	Asclepias tuberosa
Ndilkal (chʼil)	Cucurbita foetidissima
Chʼįdą́ą́ʼ	Céanothe
Jáád neishoodí (łeyiʼdi bighanígíí)	Sphex
Dáʼághálii	Crotalaria
Chʼał bikʼos ádinígíí	Nasikabatrachus sahyadrensis
Níłtsą́goʼ	Pleocomidae
Jéí náyoogisii	Echinocereus
Tłʼohtah náshdóí	Leopardus pajeros
Tsídii naʼałkǫ́ʼígíí	Fratercula
Tsisteeł diyogí	Matamata
Łóóʼ adishishí ntsxaaígíí	Raie manta
Tónteel bibąąh hóyáanii	Neophocaena phocaenoides
Naakaii Łizhiní Bikéyahdę́ę́ʼ tsétah dibé	Mouflon à manchettes
Náhookǫsdę́ę́ʼ dlǫ́ʼii	Martes americana
Naalʼeełí naashchʼąąʼígíí	Canard branchu
Tsinlátah nahatʼeʼiitsoh	Dendrolagus
Tsin naaʼeeł łóó beeʼháʼhaalʼééłiʼ	Chalutier
Chʼosh biyaʼ	Strepsiptera
Táłtłʼááh chʼosh	Dytique
Gáagii dinéʼiʼ	Crows
Shádiʼááhdę́ę́ʼ tábąąstííntsoh	Otarie à crinière
Táłtłʼááh álééh	Grand Héron
Tsísʼnáłtsooítsoh	Vespa (insecte)
Táłtłʼááh naakaii náásééł yił aheełtʼéhii	Stomatopoda
Náátsʼózídę́ę́ʼ tsiiłtsooí	Faisan doré
Bisóodi Danilínígíí	Suines
Gólízhii noodǫ́zígíí	Mouffette rayée
Tsinlátah naʼashǫ́ʼiitsoh	Iguana delicatissima
Tó bichʼosh (séigoʼ nahalinígíí)	Nèpe
Naʼastsʼǫǫsí bijaaʼntsxaaígíí	Macrotis lagotis
Tsʼání	Geai des pinèdes
Chʼééh digháhii bitsʼaʼ yilzhólí	Trionychidae
Chį́į́shghą́ʼiiłgaii	Sittelle à poitrine blanche
Hastiin Diego de Landa	Diego de Landa
Hastiin Biʼééʼ Łichíiʼii	Kit Carson
Tábąąstííntsoh (Akééháshį́į́dę́ę́ʼígíí)	Otarie de Californie
Mósí bizaʼazis hólóní	Dasyurus
Tségad	Selaginella
Naaʼołí	Haricot (homonymie)
Tsįyaalzhahí	Épervier brun
Hashtłʼishdi chʼééh digháhii	Kinosternidae
Yaaʼ nahachagiígíí	Siphonaptera
Kéʼ łizhiní	Confédération des Pieds-Noirs
Tábąąsdísí áłtsʼíísí	Chevalier grivelé
Náátsʼózídę́ę́ʼ toohjįʼ ndiigaii	Aigrette de Chine
Łóóʼtsoh (Ałtsʼáʼáztiin)	Baleine (homonymie)
Dlǫ́ʼii łizhiní	Putois à pieds noirs
Wóláchííʼ yildeełí łizhin dóó łigaígíí	Tamandua
Lókʼaatah bisóodi	Potamochoerus larvatus
Hodíłchʼil tłʼízí	Capricornis sumatraensis
Hakʼaz Dineʼé Bikéyahdę́ę́ʼ tábąąstííntsoh	Lion de mer de Steller
Dziłtah dlǫ́ʼii	Belette de montagne
Naayééʼ tsídiitsoh	Dinornithidae
Atseełtsoii	Buse à queue rousse
Tóniłhę́ęshii (dééł)	Grue blanche
Naaltsoos Mormon Wolyéhígíí	Livre de Mormon
Téél halchíʼí	Merle d'Amérique
Dlǫ́ʼátah néʼéshjaaʼ	Chevêche des terriers
Naʼashǫ́ʼii bijáád ádinígíí	Amphisbaenia
Naʼatłʼoʼii (chʼosh)	Embioptera
Dííłdzid yiyání	Staphylinidae
Tsintah łéʼétsoh	Neotoma
Kʼiishzhinii (tsin)	Charme de Caroline
Tʼiisbáí	Peuplier faux-tremble
Yáhashjool yázhí	Petit Blongios
Tłʼéeʼgo mágí	Douroucouli
Náʼagéédíchilí	Neurotrichus gibbsii
Tsʼíʼii jáádnézí	Tipulidae
Chʼil ditsʼozíłchííʼ	Ramboutan
Mágíłtsooí bináázhiní	Saïmiri commun
Taʼneeskʼání	Cantaloup
Tsídiiłtsooí bitʼaʼ łizhinígíí	Chardonneret jaune
Tsʼíʼii noodǫ́zí	Aedes albopictus
Bitseeʼ yee adiłhałii yázhí	Caimaninae
Anaasází	Anasazis
Chʼééh digháhiitsoh	Chelonoidis nigra
Tsineeshbízhii	Grimpereau brun
Yeenaʼałkǫ́ʼíłániichilí	Remipedia
Naʼnízhoozhí Bił Hahoodzo	Comté de McKinley
Mąʼii Deeshgiizh Bił Hahoodzo	Comté de Sandoval
Naatoohí Bił Hahoodzo	Comté de Cibola
Tábąąstííntsoh łikizhígíí	Phoca largha
Ooljééʼ yiikááʼ nandahí	Alunissage
Toohjįʼ noołnahii yázhí	Héron vert
Báshdo	Barstow (Californie)
Łóóʼ hashkéhé bíchį́į́hnézí	Requin-lutin
Tłʼiishtsiiʼí (łóóʼ)	Channidae
Chéłchaaʼ bideeneezígíí	Dynaste Hercule
Déłí	Grue du Canada
Ąąʼąʼiiłbáhí	Pie bleue
Tsétah chaaʼ	Aplodontia rufa
Sighóla	Socorro (Nouveau-Mexique)
Chéłchaaʼ disxǫsígíí	Buprestidae
Naalʼeełí dootłʼizhí	Sarcelle à ailes bleues
Béíyózhin	Païutes
Tsin naabąąs	Chariot bâché
Dlǫ́tsʼósí łichííʼígíí	Galidia elegans
2010 yihahígíí bílaʼashdlaʼii náóltahígíí	Recensement des États-Unis de 2010
Jádídlǫ́ʼii	Troglodyte familier
Yaayááhalzhiin	Bruant à gorge noire
Tséʼédǫ́ʼii	Muscidae
Chʼagiitsoh	Carouge à tête jaune
Dahsání dah Yikahjí Tsin Deigházhígíí	Hystricomorpha
Gad niʼeełí	Genévrier des Rocheuses
Níyolgi naʼałkǫ́ʼígíí (tónteel tsídii)	Pelecanoididae
Tsinaʼayąʼii biyázhí	Zoraptera
Sóól dichʼíizhii	Érable nain
Tseekʼi nástánii	Ammospermophilus
Tłʼízíʼilí	Angora (race caprine)
Naatooh Sikʼaiʼí	Grants (Nouveau-Mexique)
Tsooʼtsʼiní (łóóʼ)	Osteoglossidae
Tsinaʼayąʼii	Termite
Náʼagéédí bíchį́į́h sǫʼ nahalinígíí	Condylura cristata
Naaléełchííʼ	Conure à gros bec
Naaʼahóóhai disxǫsígíí	Lophophorus
Tsįyaatsiiłchííʼ	Moucherolle vermillon
Náhookǫsdę́ę́ʼ tsétah dibé	Mouflon de Dall
Níłtsą́goʼ łichííʼígíí (chʼil abeʼé bichʼosh)	Tetraopes tetrophthalmus
Naʼnízhoozhí	Gallup (Nouveau-Mexique)
Neeshchʼíínímazí	Noisette
Łóóʼ binááʼtsohí	Priacanthidae
Tsisteeł bikʼosneezígíí	Chelidae
Kilim	Kilim
Táłtłʼááh wónitłʼizí	Aselle
Naatsisʼáán bińdíshchííʼ	Pin flexible
Chąąneiłhizii	Histeridae
Tʼáyaałtso	Pic chrysoïde
Nákʼeʼnáʼijiní	Sittelle à poitrine rousse
Ałtaʼneetsʼéhii	Xanthium
Wáláchíʼétah nahachagiichilí	Myrmecophilidae
Yáhashjool yił aheełtʼéhii	Caurale soleil
Tsintah bisóoditsoh	Hylochoerus meinertzhageni
Zééjíjinii	Kamichi à collier
Naʼashǫ́ʼii hááʼáchʼiidí	Gambelia
Kááʼtsʼiní ditłʼooígíí	Chaetophractus
Naalkʼįhíchilí (bizaʼazis hólónígíí)	Acrobate pygmée
Dlǫ́ʼii yił aheełtʼéhii łibáhígíí	Herpestes edwardsii
Adijiłii yił aheełtʼéhí	Echinops telfairi
Łóóʼ hashkéhé bitseeneezígíí	Requin-renard commun
Chį́į́shłigaií dóó Naalʼeełítsoh	Anserinae
Jádí biniiʼtsʼózí	Alcelaphus buselaphus
Tábąąh jádí	Kobus ellipsiprymnus
Jádí binááʼ dį́įʼii	Hirola
Tó wónaanídę́ę́ʼ dlǫ́ʼáyázhí	Souslik d'Europe
Ásáí Dineʼé Bikéyahdę́ę́ʼ mąʼiitsoh	Canis lupus arabs
Dlǫ́iitsoh bíchį́į́hdzísgaiígíí	Paguma larvata
Aniłtʼánii yázhí	Psyllidae
Chʼał mágí nahalinii	Phyllomedusa sauvagii
Sǫʼ tsisteeł	Astrochelys radiata
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ tązhii	Talégalle de Latham
Mąʼii dootłʼizhí	Bassariscus astutus
Táłkááʼ dilwoʼítsʼóóz	Hydrometridae
Chʼoshtsoh bíláshgaantsohí łikizhígíí	Enoplometopus
Łeʼesoołii (nahachaʼígíí)	Archaeognatha
Tóidoozohii bidaaʼ łigaiígíí	Fulica
Chéłchaaʼtsoh	Dynastinae
Wódisxǫsí	Scutelleridae
Kʼaalógiitsoh disxǫsígíí	Morpho
Tsisteeł hashkéhé	Chelydridae
Tsilhazésii	Tyran à gorge cendrée
Naʼastsʼǫǫsí bizaʼazis hólóní	Antechinus
Wáláchííʼ	Myrmica rubra
Tsídiidą́ą́ʼ	Phlox (flore)
Wóniłchxoní	Pentatomidae
Tsiikʼánii (tsídii)	Ombrette africaine
Nahatʼeʼii niłchxoní	Hypsiprymnodon moschatus
Náátsʼózídę́ę́ʼ tsiidootłʼizhii	Argus géant
Ábishjaaʼ (daadánígíí)	Liste de champignons comestibles
Tábąąh bisóodiłchíiʼii	Potamochoerus porcus
Kéyah Dańlínídę́ę́ʼ naalʼeełí	Canard des Philippines
Tiníléítsoh naʼałkǫ́ʼígíí	Varan malais
Kézhoozhʼilí (tsin yigházhígíí)	Ctenodactylidae
Jádí bideeneezígíí	Oryx
Beehai	Jicarillas
Dáádílí łikizhígíí	Cromileptes altivelis
Tsísʼná náʼagéédígíí	Anthophorini
Mágíłbáhí	Cercopithecus mitis
Jaaʼditłʼoʼí naalkʼįhígíí (bizaʼazis hólónígíí)	Petauroides volans
Nahatʼeʼiitsoh yázhí	Thylogale
Tóshchíín / Naadą́ą́ʼ dootłʼizhí	Gaudes
Kʼiiłtsoii	Ericameria nauseosa
Séí tiníléítsoh	Varanus gouldii
Dlǫ́ʼii yił aheełtʼéhítsʼózí	Mangouste rouge
Łóóʼ bigháhootʼíní	Ambassidae
Tónhidigaii	Silverton (Colorado)
Chʼosh áłtʼą́ą́ʼígíí	Lygaeidae
Dééłtsoh	Outarde kori
Shádiʼááhdę́ę́ʼ dahsání	Coendou prehensilis
Nahatʼeʼiitsoh Danilínígíí	Macropodiformes
Zahalánii	Moqueur
Dlǫ́ʼii bitseenézí	Mustela frenata
Kéyahígíí nidineesdzaʼ	Dust Bowl
Nahachagii dootłʼizhí	Tettigoniidae
Tsé Bíyah Aniiʼáhí	Chaco Canyon
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ biyázhí neiyéhé	Trichosurus vulpecula
Naaʼahóóhaiłbáhí	Perdix (genre)
Tsísʼnádą́ą́ʼ	Gaillardia
Jeeshóóʼ ałchozhígíí	Palmiste africain
Łóóʼ adiłdoní	Toxotes
Dlǫ́ʼii yił aheełtʼéhii łitsxooígíí	Mangouste jaune
Naakaii Łizhiní Bikéyahdę́ę́ʼ nahatʼeʼii	Pedetes capensis
Táłtłʼááh chʼosh chʼééh digháhii bitsʼaʼ ádinígíí	Nudibranchia
Tiníléítsoh noodǫ́zígíí	Varan du Nil
Naʼashǫ́ʼii bideewozhii	Uromastyx
Chʼał ntsxaaígíí	Conraua goliath
Tééh naaʼahóóhaitʼą́ʼí	Francolinus
Naalʼeełí (bílaʼashdlaʼii bilį́į́ʼ)	Canard domestique
Yáhashjool	Butor d'Amérique
Dlǫ́ʼii yił aheełtʼéhii yázhí	Helogale parvula
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ tábąąstííntsoh	Lion de mer australien
Mąʼiiłtsooí yázhí	Renard nain
Gałbáhí	Sylvilagus
Tsékááʼgóó naagháhii (chʼosh)	Mantophasmatodea
Tłʼohtahilzhahí	Cariamidae
Táłtłʼááh tsxilghááhtsoh	Cryptobranchidae
Dibé dághaaʼígíí	Capricornis crispus
Chʼééh digháhii bitsiiʼntsxaaígíí	Platysternon megacephalum
Tsékʼi naʼałkǫ́ʼii	Desman des Pyrénées
Naʼastsʼǫǫsítsoh (chʼosh yildeełígíí)	Almiqui paradoxal
Tsídiiłtsooí	Paruline jaune
Chʼagii	Carouge à épaulettes
Łéʼétsoh diwozhí	Grand gymnure
Łéʼétsoh bizaʼazis hólóní	Dasyuroides byrnei
Dlǫ́ʼiitsoh noodǫ́zígíí	Civette palmiste à bandes
Tábąąstííntsoh łizhin dóó łigaiígíí	Histriophoca fasciata
Jeeshóóʼ bitsiiłgaiígíí	Vautour à tête blanche
Tábąądijádí	Pluvier kildir
Shádiʼááhdę́ę́ʼ niłchiis	Galictis
Naʼazísí	Geomyidae
Łeeyiʼ chʼał dichʼízhí	Rhinophrynus dorsalis
Naatsisʼáán	Navajo (montagne)
Táłtłʼááh naatʼáʼii	Dactylopteridae
Naakaii Dootłʼizhí Dabikéyah	Asie du Sud
Ńdaʼatʼaałii bideeʼ dahólónígíí	Pecora
Sháńdíín bitsʼą́ą́dę́ę́ʼ atsiniltłʼish álʼį́	Panneau solaire
Tsé noolchʼóshii	Troglodyte des canyons
Naaldlooshii	Quadrupède
Naaʼahóóhai bikeetsohígíí	Megapodius
Naʼashǫ́ʼii kááʼtsʼinígíí	Ouroborus cataphractus
Diltʼóshii	Baeolophus
Kinteel (Yootó Hahoodzo)	Aztec (Nouveau-Mexique)
Néʼétsah azeeʼ	Conyza canadensis
Naʼastsʼǫǫsí bitsʼohígíí	Hemicentetes
Atsá diłhiłígíí	Aigle noir (oiseau)
Ąąʼąʼii dootłʼizhígíí	Pirolle verte
Hastiin Dághaaʼ (Barboncito)	Barboncito
Bisóodi dághaaʼígíí	Sus barbatus
Iichʼąhii biyázhí	Aleyrodidae
Dólii	Merlebleu azuré
Kin Noodǫ́ǫ́z	Bernalillo
Hashtłʼishdi tádíʼnéehii	Oxudercinae
Tsiikʼánii (łóóʼ ooshgę́ęzhii)	Rhinobatidae
Biniiʼdootłʼizh	Glaucidium (oiseau)
Mágí biniiłgaígíí	Pithecia pithecia
Wónaʼałtéhii	Asilidae
Tłʼoh azihii	Ephedrales
Kʼaalógii bitʼaʼ disxǫsgo łikizhígíí	Riodinidae
Tiníléítsoh bikʼosnézí	Varan du désert
Shádiʼááhdę́ę́ʼ gahniiʼí ntsxaaígíí	Dolichotis
Łéʼétsoh bitseetłʼooígíí	Petromus typicus
Tsídii bizééʼ naashchʼąąʼí	Tragopan
Tábąąsdísíłbáí	Limnodromus
Dilzhę́ʼii	Geai de Steller
Mágí naashchʼąąʼígíí	Douc
Chʼosh naʼałkǫ́ʼí	Hydrophilidae
Tééh jádítsoh	Taurotragus
Łeeyiʼ bitiiní	Arvicolinae
Atsáłbáí	Faucon des prairies
Dáádílítsoh	Epinephelus lanceolatus
Tsétah bįįhchilí	Pudu
Tsʼánídílzhiʼí	Geai buissonnier
Iichʼąh	Convulsion
Kiisʼáanii	Pueblos
Jeeshóóʼ bitsiiłtsooí	Urubu à tête jaune
Dlǫ́ʼii noodǫ́zígíí	Poecilogale albinucha
Tiníléítsoh dootłʼizhígíí	Varanus prasinus
Yáázhłání (naaldlooshii)	Tenrec ecaudatus
Łéʼétsoh yił aheełtʼéhii	Octodontidae
Tábąąh łéʼétsoh	Hydromys chrysogaster
Ghą́ą́ʼdiʼilii (tsin yigházhígíí)	Lophiomys imhausi
Lókʼaaʼ yigházhígíí	Thryonomys
Tsídii bitʼaʼ dah adadootłʼizhígíí	Polyplectron
Dichin	Sous-alimentation
Dilchʼóshii	Junco
Chį́į́hʼadeeʼii (łóóʼ)	Polyodontidae
Hazéíntsxaaígíí	Ratufa
Kéyah Dańlínídę́ę́ʼ bisóodi bizęęs hastání	Sanglier des Visayas
Chąąneiłmaasii	Bousier
Dzílí	Épervier de Cooper
Chʼałniiʼí (łóóʼ)	Batrachoididae
Dah Naatʼaʼí Bééhoʼdílzin	Serment d'allégeance au drapeau des États-Unis
Tó bichʼosh (tsiiyaago naʼałkǫ́ʼígíí)	Notonectidae
Tónteel táshchozhii	Sterninae
Naʼastsʼǫǫsí noodǫ́zígíí	Lemniscomys
Tówoł	Taos
Kʼish biyaʼ dootłʼizhígíí	Galéruque de l'aulne
Dóliiłchííʼ	Merlebleu de l'Ouest
Łóóʼ binááʼ ádiní	Amblyopsidae
Tséłgaii Deezʼáhí	Bluff (Utah)
Aniłtʼánii (nahakʼízígíí)	Oecanthinae
Mágí bichį́į́łgaígíí	Cercopithecus ascanius
Tábąąh chʼosh	Saldidae
Naakaii Bikéyahdę́ę́ʼ bįįh yázhí	Mazama
Naʼashǫ́ʼii dootłʼizhí (naaldeehii)	Crotaphytus collaris
Naʼashǫ́ʼiiłbáhí	Dipsosaurus dorsalis
Dlǫ́tsʼósí noodǫ́zígíí	Galidictis grandidieri
Łéʼétsoh gahjaaʼígíí	Sauteur géant de Madagascar
Chʼoshtsoh bíláshgaanʼilí	Kiwa hirsuta
Anáʼálwoʼ:Bee hadítʼéhígíí	Aide:Sommaire
Táłtłʼááh chʼoshtsoh bideeneezí	Palinuridae
Táshchozhiizhiin	Moucherolle noir
Moháábii dinéʼiʼ	Mojaves
Néʼéshjaaʼkálii	Chevêchette des saguaros
Tsídii bitʼaʼ hózhóón	Paradisaea
Tiníléítsoh łikizhígíí	Varan Perenti
Tiníléítsoh bíchį́į́h dikʼání	Varanus albigularis
Tsé noolchʼóshiiłbáhí	Troglodyte des rochers
Chʼiyíítʼogii	Tyrannus
Dloziłgaii	Tamiasciurus
Tsísʼná dootłʼizhí	Chrysididae
Halchíítah	Painted Desert
Tsʼahchʼil	Sphaeralcea
Wóósitsʼílí	Cimex lectularius
Tsʼahgi naalnoodí	Sceloporus graciosus
Biizhii	Engoulevent d'Amérique
Tsidiłdǫǫhii	Megascops
Tsʼááhbįįh	Physaria
Łéʼétsoh binááʼ ádiní	Spalax
Tábąąh ndoochííʼ	Pirole verdâtre
Kǫʼ naʼałbąąsii hééł bee nágéhéʼ	Train de fret
Tádídíín dootłʼizh áłtsʼíísí	Campanula uniflora
Dlǫ́ʼiitsoh bizééʼ noodǫ́zí	Viverra tangalunga
Jaaʼabaní	Microchiroptera
Chʼosh chʼééh digháhii bideeʼ dį́įʼii	Stylommatophora
Wóláchííʼ yildeełí	Fourmilier
Niłchʼiʼ bee naalkaahiʼ	Geostationary Operational Environmental Satellite
Azeediłhiłí	Astragalus canadensis
Tséʼédǫ́ʼii łibáhígíí	Sarcophagidae
Hastiin Chʼil Haajiní (Manuelito)	Manuelito
Dlozishzhiin	Écureuil d'Abert
Tó Sido Háálį́	Pagosa Springs
Aniłtʼánii (naakaii náásééł nahalinígíí)	Mantispidae
Tsisteeł naʼazísí	Gopherus
Yoołgai (Hoozdoh Hahoodzo)	Superior (Arizona)
Kin Łání (Dibé Nitsaa Hahoodzo)	Durango (Colorado)
Tségháhoodzání	Window Rock
Tsé Yaatóhí	Cortez (Colorado)
Tótaʼ	Farmington (Nouveau-Mexique)
Táłtłʼááh chʼoshtsoh bideeteelí	Scyllaridae
Tséhootsooí	Fort Defiance (Arizona)
Lókʼaaʼdeeshjin	Keams Canyon
Tséyiʼ (Chʼínílį́įgiʼígíí)	Monument national du Canyon de Chelly
Chʼoshtsoh bíláshgaantsohí (tónteelgiʼígíí)	Nephropidae
Tábąąstííntsoh bighaaʼ díłchʼilígíí	Arctocephalinae
Kʼaiʼbisii	Grive fauve
Dlǫ́ʼiiłtsooí	Martes melampus
Táshchozhii dootłʼizhí	Hirondelle noire
Tsísʼnáłtsooí	Vespula
Azeeʼ hókánii łibáhígíí	Sonchus asper
Jélii łóóʼ daʼhólzhaʼígíí	Salpidae
Gólízhii binághah dah łigaiígíí	Mephitis macroura
Dloziłbáhí	Sciurus griseus
Nahatʼeʼii jáádnézí	Jaculus
Tsiiʼnteelí (łóóʼ)	Platycephalidae
Chíshí	Chiricahuas
Bikétłʼááh Hoolzhólígíí	Tylopoda
Chíshii Kʼíneeshbizhii	Paruline de Lucy
Táłtłʼááh séigoʼ bitsʼaʼígíí	Limulus polyphemus
Nááʼnoodǫ́ǫzii	Thlaspi
Tóidoozohii dootłʼizhígíí	Talève
Chʼagiiłbáhí	Molothrus
Jáád neishoodítsʼóóz	Ichneumonidae
Bitsiichįįshgahí	Cassenoix d'Amérique
Naʼashǫ́ʼii naatʼaʼí	Draco
Łeeyiʼ chʼosh bikágí ntłʼizí	Hippoidea
Gólízhii bíchį́į́h tʼáá łichíiʼii	Conepatus
Iichʼąhii naashchʼąąʼígíí	Chrysiridia rhipheus
Wóóseetsʼiniiniłhiní	Rhaphidophoridae
Ałchʼįʼ beʼastłʼóní	Tamal
Gólízhii yistłʼinígíí	Spilogale
Łóóʼchilí bitʼaʼ ádaadinígíí	Amphioxiformes
Biniiʼnoodǫ́zí (tsin yigázhígíí)	Lagostomus maximus
Tsísʼnátsoh diłhiłígíí	Xylocopa
Aniłtʼánii (bideeneezígíí)	Ascalaphidae
Shádiʼááhdę́ę́ʼ chʼoshtsoh bíláshgaantsohí	Parastacidae
Zábąąhnteelii (łóóʼ ooshgę́ęzhii)	Rhina ancylostoma
Gahjaaʼí bitseeneezígíí	Lagidium
Łitsooí (Yootó Hahoodzo)	Tierra Amarilla
Naaldlooshii Bikéshgaan Dahólónígíí	Ungulata
Nóódaʼí	Utes
Táłkááʼ dilwoʼí yázhí	Veliidae
Néʼézhiin	Pic à nuque rouge
Ginítsoh diłhiłí	Buse noire
Hoshdódii	Engoulevent bois-pourri
Chʼééh digháhii bitsʼaʼ dah deezʼáhí	Graptemys
Táłtłááh chʼoshyog	Nereididae
Dlǫ́ʼii yił aheełtʼéhii diłhiłígíí	Galerella pulverulenta
Chʼosh bitsʼaʼ doolghasígíí	Pectinidae
Chaatʼíní bichʼosh	Gastrophysa viridula
Ndilkal biyaʼ noodǫ́zígíí	Chrysomèle rayée du concombre
Iichʼąhii bitʼaʼ ahéédiníʼáhí	Eumorpha achemon
Tádídíín yiyání łizhinígíí	Timarcha
Chʼałdą́ą́ʼ bichʼosh	Crioceris
Niʼbéshjah	Amorpha
Yéʼiitsoh Bidił Niníyęęzh	El Malpais National Monument
Tsékʼi Naʼasdzooí (Yootó Hahoodzo)	El Morro National Monument
Tsídii bidaatsoh naashchʼąąʼí	Ramphastidae
Chʼał bikéshgaan hólóní	Xenopus
Tó bichʼosh (ałchozhígíí)	Corixidae
Tó wónaanídę́ę́ʼ nahashchʼidí	Meles
Wónitłʼizí nahalinígíí	Glomerida
Nahashchʼidí yił aheełtʼéhii yázhí	Melogale
Dáánézí (łóóʼ)	Centriscidae
Tłʼiish bichóhí	Crotalus cerastes
Tsékʼi yaʼiiʼáhii	Sphinx du tabac
Táłkááʼ sikaadí	Céraiste des champs
Táłtłʼááh chʼosh chʼééh digháhii bitsiiʼ dikʼání	Cephalaspidea
Dahtooʼ yinooghałii	Troglodyte des marais
Chʼó bidághaaʼ	Usnea dasypoga
Tsédááʼii	Oribatida
Hastiin Pavao Skalić	Paul Scalich
Atʼaʼ éljołí nahalinígíí (táłtłʼááh chʼosh)	Sabellidae
Tʼááłáhági átʼéego:Bééshbichʼahí	Catégorie:Allemagne
Tʼááłáhági átʼéego:Wááshindoon bikéyah ałhidadiidzooígíí	Catégorie:États-Unis
Táłtłʼááh kʼaaʼ (łóóʼ)	Fistulariidae
Tʼááłáhági átʼéego:Dibé diníí bikéyah	Catégorie:Espagne
Tʼááłáhági átʼéego:Naakaii Bikéyah	Catégorie:Mexique
Nteelbitʼąąłánígíí	Iris missouriensis
Naalkʼįhí bizaʼazis hólóní	Petaurus
Wóódeʼełchíhii	Coreidae
Naʼashǫ́ʼii diwozhígíí	Smaug giganteus
Choozhghalii	Icterus
Tsinlátah mąʼii	Bassaricyon
Tsiiyah wozhii	Sturnella
Chʼóyáázh nahalinígíí (táłtłʼááh chʼosh)	Spirobranchus giganteus
Chʼosh dichiłí bitsʼaʼígíí	Mytiloida
Naatsédlózii	Geococcyx
Kʼįįʼ łitsooítsoh	Mahonia fremontii
Tʼááłáhági átʼéego:Bidił daazdoígíí dóó daʼałtʼoʼígíí	Catégorie:Mammifère
Tʼááłáhági átʼéego:Naaldlooshii dadichʼízhii	Catégorie:Reptile
Tʼááłáhági átʼéego:Biyáázh Tsʼǫʼasánígíí	Catégorie:Amphibien
Tʼááłáhági átʼéego:Tsídii	Catégorie:Oiseau
Tʼááłáhági átʼéego:Chʼosh doo yitʼíinii dláádí dóó Ábishjaaʼ	Catégorie:Fungi
Tʼááłáhági átʼéego:Chʼil	Catégorie:Plante
Tʼááłáhági átʼéego:Nátʼą́ą́ʼ náháneʼ	Catégorie:Histoire
Tʼááłáhági átʼéego:Naʼalkaah	Catégorie:Sciences
Béégashii bideetsohí	Watusi
Cháʼoł	Pin à pignons
Dził Nááyisí	Monts Sandia
Góóhníinii	Havasupai
Tsísʼná disxǫsígíí	Euglossini
Łóóʼtsoh bizábąąh shiyishí	Eubalaena
Tʼiis Názbąs	Teec Nos Pos
Kiisʼáanii Naakáí yikʼéʼ daʼdéísdlį́į́h	Révolte des Pueblos
Tsin bizęęs	Polyporus
Táłtłʼááh chʼosh chʼééh digháhii bikeeʼ nteelígíí	Naticidae
Dah yiskʼid	Terre-plein (architecture)
Táshchozhii ndiilkʼísii	Hirondelle à front blanc
Tsídiiłtsooiiłkizhígíí	Bruant de Baird
Neeshchʼííʼ biyaʼ	Hylobe
Hosh yiyání (níłtsą́goʼ)	Moneilema
Aniłtʼánii łibáhígíí	Nabidae
Wóótsʼóóz	Alydidae
Iichʼąhii	Hétérocères
Chʼoshtsoh yázhí bíláshgaantsohí	Galatheidae
Roman dinéʼiʼ	Rome antique
Maricopa dinéʼiʼ	Maricopas
Naadą́ą́ʼ bichʼosh	Chrysomèle des racines du maïs
Dlodziłgai bichʼil	Ipomopsis aggregata
Dził Bílátah Łitsooí	Sunset Crater Volcano National Monument
Azeeʼ ndootʼeezhí	Monarde ponctuée
Shádiʼááhdę́ę́ʼ tsékʼi dlǫ́ǫ́ʼ	Kerodon rupestris
Dziłíjiin	Black Mesa (Arizona)
Naabeehó	Nation navajo
Chʼoshtsoh bikágí diwozhí	Lithodidae
Tséʼnaa Naʼníʼáhí	Rainbow Bridge National Monument
Dilzhʼíʼ	Yavapais
Dáádílí ntsxaaígíí	Epinephelus itajara
Kégiizhí	Tohono O'odham
Chʼosh ałchozhii (iichʼąhii)	Mite des vêtements
Wóóchį́į́hnézí	Fulgoridae
Tsiitsʼiin łichíʼítsoh	Stenopelmatidae
Bitátʼahkin	Navajo National Monument
Tsintah bįįhchilí	Tragulus
Tʼiistsʼóóz	Peuplier à feuilles étroites
Tsékʼi naʼazólii	Sauromalus
Juan de Oñate	Juan de Oñate
Deezʼáahjįʼ	Walpi
Atsá	Aigle
Naʼashǫ́ʼiinteeltsxooí	Platysaurus imperator
Séíbéʼézhóóʼ	Muhlenbergia
Tsʼah	Artemisia tridentata
Dził Łigaii (Dibé Nitsaa Hahoodzo)	Monts San Juan
