אפריקע	Afrique
אמציה	Amasias
אסא	Asa (Juda)
הבל	Abel
אמון	Amon (Juda)
דזשעף גארדאן	Jeff Gordon
וואסילי גראסמאן	Vassili Grossman
באשיר זשומייעל	Bachir Gemayel
קאמאדיטי	Commodité
יוסף סערטשוק	Joseph Serchuk
זילבער (קאליר)	Gris argent
וואדיה סאאדעה	Wadih Saadeh
יגאל אלון	Yigal Allon
אלה	Éla
יגאל עמיר	Yigal Amir
יהויקים	Joaqim (roi de Juda)
הושע בן אלה	Osée (roi)
יוחנן הורקנוס דער ערשטער	Jean Hyrcan Ier
יהויכין	Joachin (roi de Juda)
טייהא קאקי	Taihō Kōki
בעל שם טוב	Baal Shem Tov
קהאליד שייך מוכאמעד	Khalid Cheikh Mohammed
ראש לימבאו	Rush Limbaugh
אנטיפטרוס	Antipater (Judée)
באב דאול	Bob Dole
על פרענקען	Al Franken
דן חלוץ	Dan Haloutz
מייקל דוקאקיס	Michael Dukakis
אלכסנדר ינאי	Alexandre Jannée
קריסטאפער דאד	Christopher Dodd
נתן הנביא	Nathan (prophète)
אלעקס זשאונס	Alex Jones
בערי גאלדוואטער	Barry Goldwater
חיים טאפאל	Chaim Topol
שעלדאן איידלסאהן	Sheldon Adelson
בועז מעודה	Boaz Mauda
הלל הזקן	Hillel Hazaken
פראכט	Transport de marchandises
גוש דן	Gush Dan
תל אביבער אוניווערסיטעט	Université de Tel Aviv
קסרי	Césarée
יאנואר 2006	Janvier 2006
שעדליץ	Siedlce
זאב זשאבאטינסקי	Vladimir Jabotinsky
לאנדאנער בארא פון סאטן	Borough londonien de Sutton
צאפ	Tresse
אבישג פון שונם	Abisag
טייף אפמאך	Accord de Taëf
אפשוואכן קריג	Guerre d'usure
עקאנאמיע פון דעם פאראייניגטן קעניגרייך	Économie du Royaume-Uni
בריגעל	Brzesko
אינטעריגאציע	Interrogatoire
שלאכט פון אאכן	Bataille d'Aix-la-Chapelle
אגענטור	Agence publique
קרית שמונה	Kiryat Shmona
שערן	Coiffure
עדגער בראנפמאן	Edgar Miles Bronfman
מרדכי אניעלעוויטש	Mordechaj Anielewicz
לאדזשער געטא	Ghetto de Łódź
קעזמארק	Kežmarok
האלדזן	Câlin
אמין זשומייעל	Amine Gemayel
מערץ 2006	Mars 2006
פעברואר 2006	Février 2006
דעל.איס.אס	Delicious
געלע לאטע	Étoile jaune
פרייהייט פון אינפארמאציע לעגיסלאציע	Liberté d'accès aux documents administratifs
קישקונהאלאש	Kiskunhalas
אברהם בים	Abraham Beame
אברהם יצחק הכהן קוק	Abraham Isaac Kook
ראצפערט	Újfehértó
פאראמעדיקער	Paramédic
אברהם סוצקעווער	Avrom Sutzkever
אברהם זכות	Abraham Zacuto
קבר	Enterrement
אויק פארק (אילינויס)	Oak Park (Illinois)
געמיט	Humeur
הר ציון	Mont Sion
נעאלאגן	Judaïsme néologue
פלוראליזם	Pluralisme
איבעראשונג	Surprise
טעכניאן	Technion
לבנון בארג	Mont Liban
זשאנסאן & זשאנסאן	Johnson & Johnson
קאסאם	Roquette Qassam
סיגעט	Sighetu Marmației
געזונט פארזיכערונג	Assurance maladie
אבו האמזא	Abou Hamza al Masri
יהודה אריסטובולוס דער ערשטער	Aristobule Ier
ראיעל קענעדיען מאונטעד פאליציי	Gendarmerie royale du Canada
הר המנוחות	Mont des Répits
M4a	MPEG-4 Part 14
ראפשיץ	Ropczyce
יהואחז	Joachaz (Juda)
נהרדעא	Nehardea
אלעקס יאקאבאוויטש	Alex Jacobowitz
שמעון בן שטח	Shimon ben Shetah
ראדני קינג	Rodney King
טאנגא	Tango (danse)
מוילאייזל הערש	Odocoileus hemionus
אר"י הקדוש	Isaac Louria
אחינועם ניני	Achinoam Nini
דעמאקראט	Démocrate
אייגנשאפט	Trait
אקטאן שטאט אונטערגרונט סטאנציע	Acton Town (métro de Londres)
לאנצהוט	Łańcut
פיליפוס	Philippe le Tétrarque
אדא	Ada (Voïvodine)
מוסקאט	Muscat (homonymie)
עדין שטיינזאלץ	Adin Steinsaltz
גאלדשטיין	Goldstein
אדמו"ר	Rebbe
יהודה אריסטובולוס דער צווייטער	Aristobule II
יוחנן הורקנוס דער צווייטער	Hyrcan II
מתתיהו אנטיגונוס דער צווייטער	Antigone II Mattathiah
שאול מופז	Shaul Mofaz
מענדעלע מוכר ספרים	Mendele Moicher Sforim
יגאל ידין	Yigaël Yadin
חיים נחמן ביאליק	Haïm Nahman Bialik
שמעון התרסי	Simon (hasmonéen)
נפתלי הערץ אימבער	Naftali Hertz Imber
מוכאמאד סאאיד אל-סאהאף	Mohamed Saïd al-Sahhaf
אדוניהו	Adonias
אמנון	Amnon
מארעק גרעכוטא	Marek Grechuta
מישעל אאון	Michel Aoun
מהר"ל מפראג	Juda Loew ben Bezalel
גראף	Graphe
פעדרא דע בעטאנקור	Pedro de San José Betancur
קעניג מענעליק	Ménélik Ier
ווויטעך טוקא	Vojtech Tuka
שליוואוויץ	Slivovitz
יו-עס קאסטומס ענד בארדער פראטעקשן	Service des douanes et de la protection des frontières des États-Unis
נייטרע טייך	Nitra (rivière)
גוגל רידער	Google Reader
ארדשיר	Ardachîr Ier
מעמאריעל דעי	Memorial Day
עמלק	Amalek
אקוואמארין (קאליר)	Aigue-marine (couleur)
בייבל קריטיק	Histoire de la recherche sur l'Ancien Testament
העכסטע געריכט פון טשילע	Cour suprême du Chili
יוסף דוב הלוי סאלאווייטשיק	Joseph B. Soloveitchik
סעקלהיד	Săcueni
טשיטאגאנג	Chittagong
דרעטל	Agrafe (papeterie)
מעמד הר סיני	Mont Sinaï
יעקב ישראל קאניעווסקי	Yaakov Yisrael Kanievsky
שינאווא	Sieniawa (ville)
וויליאם באקלי	William F. Buckley, Jr.
אתגר קרת	Etgar Keret
לואיס קארוואלאן	Luis Corvalán
דאדולא	Dadullah
שב"כ	Service de sécurité intérieure israélien
באשרייבנדיקע סטאטיסטיק	Statistique descriptive
איגאר פאווליוק	Ihor Pavliouk
אחד העם	Ahad Ha'Am
זשאק ליפשיץ	Chaim Jacob Lipchitz
רבי יהודה הנשיא	Juda Hanassi
טאני ראבינס	Anthony Robbins
על שארפטאן	Al Sharpton
ברוך גאלדשטיין	Baruch Goldstein
וואליד זשומבלאט	Walid Joumblatt
שלום אש	Sholem Asch
לואיס ליבי	Lewis Libby
דזשאן קארזיין	Jon Corzine
מסורה (טעקסט)	Texte massorétique
ארגאניש עסן	Aliment biologique
שבועה	Serment
מנחם מענדל שניאורסאהן	Menachem Mendel Schneerson
סקאטש וויסקי	Scotch whisky
כראניש	Chronique (médecine)
ארטאדאקס	Orthodoxie
חול המועד	Hol Hamoëd
קאבל אינטערנעט	Modem câble
קאנסטרוקציע	Construction
פלמ"ח	Palmah
מאזיר	Mazyr
פויקער	Batteur
מאדיאר-לאפאש	Târgu Lăpuș
היט ענד ראן	Délit de fuite en France
שלעשין	Ślesin
קאשמיר באן	Kashmir Railway
ה'תשס"ז	5767 (année hébraïque)
תלמוד ירושלמי	Talmud de Jérusalem
גריצע	Grójec (ville)
אגדה	Aggada
װיקיפּעדיע:נאכפאלג ליסטע	Aide:Liste de suivi
װיקיפּעדיע:באוועגן	Aide:Comment renommer une page
טורקיז (באדייטן)	Turquoise
אגודת ישראל	Agoudat Israel
פערספעקטיוו	Perspective
סקול בארד	Commission scolaire
בג"ץ	Cour suprême d'Israël
ישראל פאליציי הויפטקווארטיר	Direction nationale de la police israélienne
האלבקיילעך	Hémisphère (géographie)
אחיתופל	Achitophel
דין	Law
סובסטאנץ	Substance (homonymie)
תל אביב לייכטע באן	Métro léger de Tel Aviv
ירושלים לייכטע באנען	Tramway de Jérusalem
סובסטיטוט	Substitute (homonymie)
קאמאדא גרופע	Comodo
עד שולץ	Ed Schultz
לאפעראמיד	Lopéramide
עסצילאטאפראם	Escitalopram
יצחק לייבוש פרץ	Isaac Leib Peretz
מנחם נחום טווערסקי	Menahem Nahoum de Tchernobyl
ReadyBoost	ReadyBoost
וויקטאר נעקראסאוו	Viktor Nekrassov
10000 (נומער)	10 000 (nombre)
וויאלעט	Violet
ראזע	Rose (couleur)
פרשת בשלח	Beshala'h
אפער וועסט סייד	Upper West Side
נצרת	Nazareth
ראדעוויץ	Rădăuți
שמחת תורה	Sim'hat Torah
מכבי אשדוד	Maccabi Ashdod (basket-ball)
מאנטיסעלא	Monticello (New York)
27 (נומער)	27 (nombre)
35 (נומער)	35 (nombre)
64 (נומער)	64 (nombre)
99 (נומער)	99 (nombre)
עדגארדא מארטארא	Affaire Mortara
ראבערט וואגנער	Robert F. Wagner Jr.
כתב עברי	Alphabet paléo-hébraïque
נינעט טאייעב	Ninet Tayeb
איה כורם	Aya Korem
סינטיא אזיק	Cynthia Ozick
סטענלי פישער	Stanley Fischer
אמ"ן	Aman (renseignement)
אפער איסט סייד	Upper East Side
רובי ריוולין	Reuven Rivlin
הפועל חיפה	Hapoël Haïfa
ליטאני טייך	Litani
מיני ישראל	Mini Israël
ארפכשד	Arpakshad
מאיא פּליסעצקאיא	Maïa Plissetskaïa
בנימין	Benjamin (Bible)
גאלאנטא	Galanta
בענדין	Będzin
סאהא	SoHo
פאריזער קלוב	Club de Paris
Cbc	Société Radio-Canada
ווייט פלעינס, ניו יארק	White Plains (New York)
נאריש און נארישער	Dumb and Dumber
סינדי שעהין	Cindy Sheehan
עתליה	Athalie
ברעזנא	Brezno
עיפאק	American Israel Public Affairs Committee
היסטאריע פון טעכנאלאגיע	Histoire des techniques
הימל ליניע	Panorama urbain
עמאקא	Amoco
קאנווענץ פאר קינדער-רעכט	Convention relative aux droits de l'enfant
שרית חדד	Sarit Hadad
Thalys	Thalys
שלמה מיכאלס	Solomon Mikhoels
פיער זשומייעל	Pierre Gemayel
מאקס וויינרייך	Max Weinreich
יעקב דורי	Yaakov Dori
חירם קעניג פון צור	Hiram Ier
עד קאטש	Ed Koch
סאעמו טאיאדא	Soemu Toyoda
דייוויד דינקינס	David Dinkins
שמאי הזקן	Shammaï
יוסף קארו	Joseph Karo
חיים בר-לב	Haïm Bar-Lev
דוד האלבערשטאם (שרייבער)	David Halberstam
שמואל הנגיד	Samuel ibn Nagrela
עדמונד זשיימס דע ראטשילד	Edmond de Rothschild
עובדיה יוסף	Ovadia Yosef
דוד אלעזר	David Elazar
נחמן מברסלב	Nahman de Bratslav
אתי אנקרי	Etti Ankri
מאלי פיקאן	Molly Picon
ניר בארקאט	Nir Barkat
ברוריה	Brouria
רודאלף ווערבע	Rudolf Vrba
הרוגי מלכות פונעם ראטנפארבאנד	Nuit des poètes assassinés
גלעד צוקערמאן	Ghil'ad Zuckermann
מאטיאס ריים	Matthias Reim
פראסטיץ	Prostějov
אנדרע בואקלער	André Boisclair
אורי לופאליאנסקי	Uri Lupolianski
טאמי לאפיד	Tomy Lapid
אידענטיטעט גניבות	Usurpation d'identité
חדרה	Hadera
דע בירס	De Beers
סידור	Siddour
סייף	Coffre-fort
עמיר פרץ	Amir Peretz
מאקס נארדוי	Max Nordau
השכלה	Haskala
אמוראים	Amoraïm
פינקטלעכע וויסנשאפטן	Sciences exactes
פסיכאלאגיע פון מוזיק	Psychologie de la musique
באפאר	Forteresse de Beaufort
אמשינאוו	Mszczonów
די לוסטיגע אלמנה	Die lustige Witwe
קאריטיבע פוטבאל גרופע	Coritiba Foot Ball Club
אמסטערדאם (שיף)	Amsterdam (voilier)
אמסטערדאם (באדייטן)	Amsterdam (homonymie)
אמסטערדאם (שטאט), ניו יארק	Amsterdam (New York)
בילד	Image
הידראגען עקאנאמיע	Économie hydrogène
מערב וועלט	Société occidentale
רוקן ביין	Colonne vertébrale
אלבאם	Album (musique)
ראציאנאליזם	Rationalisme
Windows 98	Windows 98
פּלאַנאָיסע	Planoise
גווען סטעפעני	Gwen Stefani
קעלי קלערקסאן	Kelly Clarkson
וואל-מארט	Walmart
סוניס	Sunnisme
פאלא פערנאנדעס	Paula Fernandes
Windows 2000	Windows 2000
שינדלערס ליסטע	La Liste de Schindler
מיסטער בין	Mr Bean
אויטאנאמיע	Autonomie
נאציאנאלער הימען פון טשילע	Hymne national du Chili
Windows Me	Windows Me
סקינהעד	Skinhead
אוואירו	Aveiro
CRM	Gestion de la relation client
איסטמאן קאדאק	Kodak
פידלער אויפן דאך	Un violon sur le toit
חסד	Gentillesse
אביעקט	Objet (philosophie)
Maxthon	Maxthon
בצלאל אקאדעמיע פאר מאדעלירונג און קונסט	École des beaux-arts de Bezalel
סוכה	Soukka
חשמונאים	Hasmonéens
אייער ליקער	Advocaat
רשימה:פרוכט	Liste de fruits comestibles
קרית מלאכי	Kiryat-Malakhi
טאמעס און פריינט	Thomas et ses amis
עדות המזרח	Juifs mizrahim
שטילקייט	Silence
הומנא	Humenné
זשאני וואקער	Johnnie Walker
מעלה אדומים	Ma'aleh Adumim
פאלאנגען	Phalanges libanaises
עבר	Eber
ווייכביין	Cartilage
פאלשע געלט	Contrefaçon
גוי	Goy
געהיימע דינסט פון די פאראייניגטע שטאטן	United States Secret Service
אניקשט	Anykščiai
פראטאפלאנעטארישער דיסק	Disque protoplanétaire
סופר	Sofer sta@@@u0026m
אריק איינשטיין	Arik Einstein
אחרונים	Aharonim
שטריימל	Schtreimel
וועגן מאפע	Feuille de route pour la paix
היקעמע	Pachyrhizus erosus
גערשטן	Hordeum
טורנהאם גרין אונטערגרונט סטאנציע	Turnham Green (métro de Londres)
זאבלאטאוו	Zabolotiv
זשאבינקע	Jabinka
רי"ף	Isaac ben Jacob Alfassi
הושענא רבא	Hoshanna Rabba
ברוקלין נעיווי יארד	New York Navy Yard
ראש פינה	Rosh Pina
טריאו	Treo
איוואן גאל	Yvan Goll
שמואל שטראשון	Samuel Strashun
מיידיי	Mayday : Alerte maximum
בלאט שניידער בין	Megachilidae
אליגאטאר	Alligator
סאפיע (באדייטן)	Sophia
טישטיך	Nappe de table
עתניאל בן קנז	Othoniel
דאמינעטריקס	Dominatrice
יידישער וועלט קאנגרעס	Congrès juif mondial
ה'תרצ"ג	5693 (année hébraïque)
אלישע בן אבויה	Elisha ben Avouya
פארזארג	Stock
בערבעין	Bourbon (eau-de-vie)
אברהם ישעיהו קארעליץ	Avrohom Yeshaya Karelitz
29 (נומער)	29 (nombre)
סאמאטאר	Somotor
מארך ביין	Moelle osseuse
ביקור חולים	Bikkour Holim
שניאור זלמן פון לאדי	Shneur Zalman de Liadi
משה ארענס	Moshe Arens
פלאטילע	Flottille
הלל (דאווענען)	Hallel
דראט	Fil métallique
הורדוס פון כאלקיס	Hérode de Chalcis
20/20 זעהקראפט	Acuité visuelle
פוד סטעמפס	Supplemental Nutrition Assistance Program
שמעון בר יוחאי	Shimon bar Yohaï
אלי ישי	Eli Yishaï
בעני גאנץ	Benny Gantz
רודאלף קאסטנער	Rudolf Kastner
ישראל יהושע זינגער	Israel Joshua Singer
שאן הענעטי	Sean Hannity
רעי נעיגין	Ray Nagin
קאנסטאנטין כאבענסקי	Constantin Khabenski
דזשייקאב דזשאוויץ סענטער	Jacob K. Javits Convention Center
וועטשערע	Souper
חנינא בן דוסא	Hanina ben Dossa
קלימאקס (געשעניש)	Acmé
מייפל סטארי	MapleStory
זענטא	Senta
באליידיגונג	Insulte
יעקב יהושע פאלק	Jacob Joshua Falk
יהונתן אייבעשיץ	Jonathan Eybeschutz
לעא פולד	Leo Fuld
שמואל זיגלבוים	Samuel Zygelbojm
אנטי-פעמיניזם	Antiféminisme
פרשת משפטים	Mishpatim
מגן דוד אדום	Magen David Adom
מעזשילאבריץ	Medzilaborce
ישראל ראדיא און טעלעוויזיע אויטאריטעט	Israel Broadcasting Authority
באזעצונג	Colonie israélienne
שביל ישראל	Israël National Trail
אנטי ציוניזם	Antisionisme
באסקין-ראבינס	Baskin-Robbins
מזל טוב	Mazal Tov
תרח	Terah
ריטשע	Ricse
28 (נומער)	28 (nombre)
סערעט	Siret (Suceava)
נאטאליי הארלער	Natalie Horler
ה'תשצ"ו	5796 (année hébraïque)
אוניווערסיטעט פון חיפה	Université de Haïfa
ה'תשל"ח	5738 (année hébraïque)
כעמיקער	Chimiste
יוכבד	Yokébed
עליה אין ארץ ישראל	Alya
הילטאן האטעלס	Hilton Hotels & Resorts
ה'תש"ח	5708 (année hébraïque)
באלעסטיגן	Maltraitance
38 (נומער)	38 (nombre)
מירון	Meron
האנדל	Commerce
מקור ראשון	Makor Rishon
אהוד מנור	Ehud Manor
פּאַן-אייראפעישער פארבאנד	Union paneuropéenne internationale
ראדיא גא גא	Radio Ga Ga
האנד טארמאז	Frein de stationnement
שטעטל	Shtetl
בשן	Bachân
ראבערט קאטשאריאן	Robert Kotcharian
אפטייקעריי	Pharmacie
זבולן	Zabulon
לייב קוויטקא	Leib Kvitko
האלאנד פארק אונטערגרונט סטאנציע	Holland Park (métro de Londres)
רשימה:יידישע שפראכן	Langues juives
שמואל בוטח	Shmuley Boteach
ה'תשמ"א	5741 (année hébraïque)
טעיזם	Théisme
פראבלעם	Problème
אנטוישונג	Déception
באונטי האנטערס	Chasseur de primes
פאו'ס געזעץ	Loi de Poe
שטעלונג	Attitude (psychologie)
הגדה של פסח	Haggada
מנחם אלון	Menachem Elon
ראובן	Ruben (Bible)
דינער (סעודה)	Banquet
סווינגינג	Échangisme
לעבן פארזיכערונג	Assurance-vie
ניו יארק דיילי ניוז	New York Daily News
45 (נומער)	45 (nombre)
קאני איילענד	Coney Island
שולד	Culpabilité (émotion)
צה"ל היסטאריע מוזיי	Batei HaOsef
קאמפיוטער שפראכן	Langage informatique
מיישא	Kiskunmajsa
קעטסקילס	Montagnes Catskill
ארקאדי גיידאמאק	Arcadi Gaydamak
קאמפאט	Compote
אלכסנדר דער צווייטער	Alexandre II (Hasmonéen)
קארל לוץ	Carl Lutz
מוזיקער	Musicien
גזירת ת"ח ות"ט	Soulèvement de Khmelnytsky
נטורי קרתא	Neturei Karta
חשוון	Heshvan
קישקעריש	Kiskőrös
בונדיזם	Union générale des travailleurs juifs
קווינסוויי אונטערגרונט סטאנציע	Queensway (métro de Londres)
המן	Haman (Bible)
יששכר	Issachar
נאסאד	Năsăud
חיים רמון	Haïm Ramon
הארא	Hora (danse)
ציעשינאוו	Cieszanów
רחביה	Réhavia
פיל קאמיסיע	Commission Peel
אנגעשטעלטער	Emploi
מיטאג	Dîner
זשיבוי	Jibou
ישראל מאיר לאו	Yisrael Meir Lau
יואל טייטלבוים	Joël Teitelbaum
פנחס לבון	Pinhas Lavon
אלעקסאנדער, פוילן	Aleksandrów Łódzki
קערעסטיר	Bodrogkeresztúr
אריסטובולוס דער דריטער	Aristobule III
ה'תשמ"ג	5743 (année hébraïque)
ליסטע פון לענדער אן קיין מיליטער	Liste des pays qui ne possèdent pas d'armée
קנישין	Knyszyn (ville)
פריימעריס	Élection primaire
איוואניטש	Ivanytchi
סדר נשים	Ordre Nashim
יצחק אבינו	Isaac
קליינווארדיין	Kisvárda
וויסנשאפט מוזיי	Science Museum de Londres
הענרי דער זיבעטער פון ענגלאנד	Henri VII (roi d'Angleterre)
טעלאנגאנע	Télangana
אקספארד צירקוס אונטערגרונט סטאנציע	Oxford Circus (métro de Londres)
בורשטין (קאליר)	Ambre (couleur)
בערלין זאאלאגישער גארטן באן סטאנציע	Gare de Berlin Zoologischer Garten
טראנספארט פאר לאנדאן	Transport for London
אנוש	Énosh
ניקאלשבורג	Mikulov
שלמה גורן	Shlomo Goren
קינדערטראנספארט	Kindertransport
ניו יארק מעטראפאליטען שטח	Grand New York
אומבאוועגלעכע גיטער	Bien immobilier
קערפער פלעק	Nævus mélanocytaire
ריינקייט	Propreté
ה'תרפ"ב	5682 (année hébraïque)
ברוסט פיין	Douleur thoracique
לאנדאנער בארא פון גריניטש	Borough royal de Greenwich
דער ציוניסטישער קאנגרעס	Congrès sioniste
קעטאלאגיע	Cétologie
1992 לאס אנדזשעלעס ראיאטן	Émeutes de 1992 à Los Angeles
פאניק אטאקע	Attaque de panique
עבענזע	Camp de concentration d'Ebensee
ראנאלד לאודער	Ronald Lauder
דזשוסעפע אטאלענגי	Giuseppe Ottolenghi
משה סופר	Hatam Sofer
יידישע מיליטערישע פאראייניקונג	ŻZW
אדעס רציחה	Massacres d'Odessa
יצחק קאצענעלסאן	Ytshak Katzenelson
אוויטש פאמיליע	Famille Ovitz
עוויאן קאנפערענץ	Conférence d'Évian (1938)
ווילנער געטא	Ghetto de Vilnius
יעדוואבנער פאגראם	Massacre de Jedwabne
עמנואל רינגלבלום	Emanuel Ringelblum
לעמבערגער געטא	Ghetto de Lvov
מרדכי געבירטיג	Mordechai Gebirtig
קוואדראט קילאמעטער	Kilomètre carré
גליד	Organe
80 (נומער)	80 (nombre)
21 (נומער)	21 (nombre)
22 (נומער)	22 (nombre)
70 (נומער)	70 (nombre)
50 (נומער)	50 (nombre)
לימפאטישע סיסטעם	Système lymphatique
41 (נומער)	41 (nombre)
34 (נומער)	34 (nombre)
33 (נומער)	33 (nombre)
47 (נומער)	47 (nombre)
31 (נומער)	31 (nombre)
32 (נומער)	32 (nombre)
44 (נומער)	44 (nombre)
46 (נומער)	46 (nombre)
49 (נומער)	49 (nombre)
48 (נומער)	48 (nombre)
37 (נומער)	37 (nombre)
39 (נומער)	39 (nombre)
36 (נומער)	36 (nombre)
81 (נומער)	81 (nombre)
69 (נומער)	69 (nombre)
0.999...	Développement décimal de l'unité
בית"ר	Betar
ש. אנ-סקי	Shalom Anski
200 (נומער)	200 (nombre)
מערב דייטשלאנד	Allemagne de l'Ouest
טעידע נאציאנאלער פארק	Parc national du Teide
כרמלית (חיפה)	Carmelit
144 (נומער)	144 (nombre)
קאסטקא	Costco
121 (נומער)	121 (nombre)
אריסטובולוס דער פערטער	Aristobule IV
196 (נומער)	196 (nombre)
169 (נומער)	169 (nombre)
סט פאנקראס באן סטאנציע	Gare de Saint-Pancras
מגילה	Volumen
שפעטלער	Moqueur
שוויגער	Belle-mère
אפמאך פון פאריז (1951)	Traité de Paris (1951)
נארלס בארקלי	Gnarls Barkley
64 באזע	Base64
גרעסטע שטעט אינעם אייראפעישן פארבאנד	Liste des villes de l'Union européenne par population
שותפות	Partenariat
לאשאנץ	Lučenec
כהן	Cohen (judaïsme)
לאנדאנער בארא פון סאדארק	Borough londonien de Southwark
אסטראווצע	Ostrowiec Świętokrzyski
אינטערנאציאנאלער אינסטיטוט פאר קאנטער־טעראריזם	Institut international pour la Recherche sur le Terrorisme
קדיש	Kaddish
אסתר	Esther (Bible)
דען רעדער	Dan Rather
יוסף טרומפעלדאר	Joseph Trumpeldor
אביב גפן	Aviv Geffen
משה מאנטיפיארי	Moïse Montefiore
חפץ חיים	Hofetz Haïm
טאני סנאו	Tony Snow
משה קארדאווערא	Moïse Cordovero
מייקל טשערטאף	Michael Chertoff
רד"ק	David Kimhi
מנשה בן ישראל	Manasse ben Israël
יעקב ישראל דעהאן	Jacob Israël de Haan
מאלטע פערסאן	Malte Persson
רבן יוחנן בן זכאי	Yoḥanan ben Zakkaï
יצחק כדורי	Itzhak Kadouri
יצחק שדה	Yitzhak Sadeh
סאמיר דזשאדזשא	Samir Geagea
פנואל	Penouel
Windows Mail	Microsoft Windows Mail
ווימבלדאן	Wimbledon (Londres)
אינטימיטעט	Intimité
ה'תר"ד	5604 (année hébraïque)
בן גוריון אוניווערסיטעט פונעם נגב	Université Ben Gourion du Néguev
ליובאוויטש	Dynastie hassidique Habad-Loubavitch
נאנאש	Hajdúnánás
עשרה בטבת	10 Tevet
וואלקאוויסק	Vawkavysk
ה'ת"ש	5700 (année hébraïque)
אז	Oz (série télévisée)
מסכת אבות	Pirke Avot
נירן איבערפלאנץ	Transplantation rénale
מתנגדים	Mitnagdim
תלמוד תורה	Heder
שאדיק	Szadek
לאַכערייַקע	Sketch
אטוואצק	Otwock
װיקיפּעדיע:מיטא	Wikipédia:Meta
170 (נומער)	170 (nombre)
פישטראן	Huile de foie de morue
דאראג	Dorog
ל"ג בעומר	Lag Ba'omer
ט"ו בשבט	Tou Bichvat
דריטע שינע	Troisième rail
ערבות	Cautionnement
ספירת העומר	Décompte de l'omer
מארגארעטין	Marghita
סטראפקאוו	Stropkov
טאפלישאן	Topoľčany
מארטין לוטער קינג דיי	Martin Luther King Day
ניו יארק מאראטאן	Marathon de New York
דאקטאר (פילאסאפיע)	Philosophiæ doctor
לידער שרייבער	Auteur-compositeur
זיי װעלן ניט דורכגײן!	No pasarán (slogan)
קראלי	Carei
וועטעראן'ס טאג	Veterans Day
טראדיציע	Massorah
Directory Service	Annuaire
אויטאנאמישע רעפובליק פון קרים	République autonome de Crimée
דיים	Pièce d'un dime de dollar américain
אגרת ירמיהו	Épître de Jérémie
אגער	Étalon (cheval)
גערטנעריי	Jardinier
אוניווערסיטעט פון די אנדן (ווענעזועלע)	Université des Andes (Venezuela)
פרעקווענץ (סטאטיסטיק)	Fréquence (statistiques)
יזרעאל טאל	Vallée de Jezreel
עלקוש	Olkusz
טרייבעקע	Tribeca
פראגראם	Programme
פאות	Papillotes
דרום אזיע	Asie du Sud
וויליאמסבורג, ברוקלין	Williamsburg (Brooklyn)
זונפאנעל	Panneau solaire
דויערהאפטיקייט	Endurance
אידישע געמיינדע	Kahal
עדה החרדית	Edah Haredit
רעכט	Droits et libertés
פיוט	Piyyout
מרדכי בן דוד	Mordechai ben David
קאפאוואר	Kapuvár
פירמע	Compagnie (entreprise)
מייל ענד אונטערגרונט סטאנציע	Mile End (métro de Londres)
מארבל ארטש אונטערגרונט סטאנציע	Marble Arch (métro de Londres)
ה'תרכ"ו	5626 (année hébraïque)
קרעיגסליסט	Craigslist
באלמאז אויוואראש	Balmazújváros
דעפארטמענט פון שטאט פון די פאראייניגטע שטאטן	Département d'État des États-Unis
חלה	Hallah
בעלגישע מאנארכיע	Liste des chefs de l'État belge
מרדכי בנעט	Mordekhaï Benet
ברעזשאן	Berejany
מאור עינים (ר' עזריה מן האדומים)	Azaria di Rossi
ספרינג וועלי	Spring Valley (New York)
וואטערלו באן סטאנציע	Gare de Londres Waterloo
בית התפוצות	Beth Hatefutsoth
סאבאטאזש (פילם)	Sabotage (film)
טענענבוים היטער	Gardiens des Cèdres
עבספליט אינטערנאציאנאלע באן סטאנציע	Gare d'Ebbsfleet International
אילינג בראדוויי באן סטאנציע	Ealing Broadway (métro de Londres)
ליווערפול סטריט סטאנציע	Gare de Liverpool Street
טאבעלע פון קלאוויאטור דורכוועגן	Tableau des raccourcis clavier
בירזש	Biržai
באלקאן ביט באקס	Balkan Beat Box
באנק-מאנומענט באן סטאנציע	Bank and Monument (métro de Londres)
חרם	Herem
ברוך שלום אשלג	Baruch Ashlag
מסכת בבא בתרא	Baba Batra
מסכת בבא קמא	Baba Kama
42 (נומער)	42 (nombre)
בער סטערנס	Bear Stearns
רעספיראטאר (מעדיצין)	Respirateur artificiel
איגנאראנץ	Ignorance
געאמעטרישע פארעם	Forme (géométrie)
בלינצע	Blini
גאניק	Porche (architecture)
רשימה:כעמיקער	Liste de chimistes
שווארצע	Noir (humain)
פרשת בראשית	Bereshit (parasha)
ליריקער	Parolier
שלחן ערוך	Choulhan Aroukh
האליפאקס	Halifax (Angleterre)
קילאמעטער	Kilomètre
Windows Sidebar	Volet Windows
טעמע	Sujet (philosophie)
חווה	Ève
בית דין	Beth din
ווייט לעיק	Bethel (New York)
בעטנל גרין אונטערגרונט סטאנציע	Bethnal Green (métro de Londres)
יודענראט	Judenrat
באניהאד	Bonyhád
הייזעריג	Dysphonie
גורא הומארא	Gura Humorului
קאאליציע	Gouvernement de coalition
גאלער	Aspic (gastronomie)
זשורי	Jury
געאגראפיע פון כינע	Géographie de la Chine
גימטריא	Gematria
קאלאנסקאפי	Coloscopie
קארפאטשיא	Carpaccio
אידיאל	Idéal (homonymie)
לבן	Laban
